ur,sr
pʊʃ,pʊʃ
pʊθ,pʊθ
pɔp,pɔp
pɔt,pɔt
pɔk,pɔk
pɔf,pɔf
pɔs,pɔs
pɔʃ,pɔʃ
pɔθ,pɔθ
pib,pip
pid,pit
pig,pik
piv,pif
piz,pis
piʒ,piʃ
pið,piθ
peɪb,peɪp
peɪd,peɪt
peɪg,peɪk
peɪv,peɪf
peɪz,peɪs
peɪʒ,peɪʃ
peɪð,peɪθ
pub,pup
pud,put
pug,puk
puv,puf
puz,pus
puʒ,puʃ
puð,puθ
poʊb,poʊp
poʊd,poʊt
poʊg,poʊk
poʊv,poʊf
poʊz,poʊs
poʊʒ,poʊʃ
poʊð,poʊθ
pɪb,pɪp
pɪd,pɪt
pɪg,pɪk
pɪv,pɪf
pɪz,pɪs
pɪʒ,pɪʃ
pɪð,pɪθ
pɛb,pɛp
pɛd,pɛt
pɛg,pɛk
pɛv,pɛf
pɛz,pɛs
pɛʒ,pɛʃ
pɛð,pɛθ
pʊb,pʊp
pʊd,pʊt
pʊg,pʊk
pʊv,pʊf
pʊz,pʊs
pʊʒ,pʊʃ
pʊð,pʊθ
pɔb,pɔp
pɔd,pɔt
pɔg,pɔk
pɔv,pɔf
pɔz,pɔs
pɔʒ,pɔʃ
pɔð,pɔθ
tip,tip
tit,tit
tik,tik
tif,tif
tis,tis
tiʃ,tiʃ
tiθ,tiθ
teɪp,teɪp
teɪt,teɪt
teɪk,teɪk
teɪf,teɪf
teɪs,teɪs
teɪʃ,teɪʃ
teɪθ,teɪθ
tup,tup
tut,tut
tuk,tuk
tuf,tuf
tus,tus
tuʃ,tuʃ
tuθ,tuθ
toʊp,toʊp
toʊt,toʊt
toʊk,toʊk
toʊf,toʊf
toʊs,toʊs
toʊʃ,toʊʃ
toʊθ,toʊθ
tɪp,tɪp
tɪt,tɪt
tɪk,tɪk
tɪf,tɪf
tɪs,tɪs
tɪʃ,tɪʃ
tɪθ,tɪθ
tɛp,tɛp
tɛt,tɛt
tɛk,tɛk
tɛf,tɛf
tɛs,tɛs
tɛʃ,tɛʃ
tɛθ,tɛθ
tʊp,tʊp
tʊt,tʊt
tʊk,tʊk
tʊf,tʊf
tʊs,tʊs
tʊʃ,tʊʃ
tʊθ,tʊθ
tɔp,tɔp
tɔt,tɔt
tɔk,tɔk
tɔf,tɔf
tɔs,tɔs
tɔʃ,tɔʃ
tɔθ,tɔθ
tib,tip
tid,tit
tig,tik
tiv,tif
tiz,tis
tiʒ,tiʃ
tið,tiθ
teɪb,teɪp
teɪd,teɪt
teɪg,teɪk
teɪv,teɪf
teɪz,teɪs
teɪʒ,teɪʃ
teɪð,teɪθ
tub,tup
tud,tut
tug,tuk
tuv,tuf
tuz,tus
tuʒ,tuʃ
tuð,tuθ
toʊb,toʊp
toʊd,toʊt
toʊg,toʊk
toʊv,toʊf
toʊz,toʊs
toʊʒ,toʊʃ
toʊð,toʊθ
tɪb,tɪp
tɪd,tɪt
tɪg,tɪk
tɪv,tɪf
tɪz,tɪs
tɪʒ,tɪʃ
tɪð,tɪθ
tɛb,tɛp
tɛd,tɛt
tɛg,tɛk
tɛv,tɛf
tɛz,tɛs
tɛʒ,tɛʃ
tɛð,tɛθ
tʊb,tʊp
tʊd,tʊt
tʊg,tʊk
tʊv,tʊf
tʊz,tʊs
tʊʒ,tʊʃ
tʊð,tʊθ
tɔb,tɔp
tɔd,tɔt
tɔg,tɔk
tɔv,tɔf
tɔz,tɔs
tɔʒ,tɔʃ
tɔð,tɔθ
kip,kip
kit,kit
kik,kik
kif,kif
kis,kis
kiʃ,kiʃ
kiθ,kiθ
keɪp,keɪp
keɪt,keɪt
keɪk,keɪk
keɪf,keɪf
keɪs,keɪs
keɪʃ,keɪʃ
keɪθ,keɪθ
kup,kup
kut,kut
kuk,kuk
kuf,kuf
kus,kus
kuʃ,kuʃ
kuθ,kuθ
koʊp,koʊp
koʊt,koʊt
koʊk,koʊk
koʊf,koʊf
koʊs,koʊs
koʊʃ,koʊʃ
koʊθ,koʊθ
kɪp,kɪp
kɪt,kɪt
kɪk,kɪk
kɪf,kɪf
kɪs,kɪs
kɪʃ,kɪʃ
kɪθ,kɪθ
kɛp,kɛp
kɛt,kɛt
kɛk,kɛk
kɛf,kɛf
kɛs,kɛs
kɛʃ,kɛʃ
kɛθ,kɛθ
kʊp,kʊp
kʊt,kʊt
kʊk,kʊk
kʊf,kʊf
kʊs,kʊs
kʊʃ,kʊʃ
kʊθ,kʊθ
kɔp,kɔp
kɔt,kɔt
kɔk,kɔk
kɔf,kɔf
kɔs,kɔs
kɔʃ,kɔʃ
kɔθ,kɔθ
kib,kip
kid,kit
kig,kik
kiv,kif
kiz,kis
kiʒ,kiʃ
kið,kiθ
keɪb,keɪp
keɪd,keɪt
keɪg,keɪk
keɪv,keɪf
keɪz,keɪs
keɪʒ,keɪʃ
keɪð,keɪθ
kub,kup
kud,kut
kug,kuk
kuv,kuf
kuz,kus
kuʒ,kuʃ
kuð,kuθ
koʊb,koʊp
koʊd,koʊt
koʊg,koʊk
koʊv,koʊf
koʊz,koʊs
koʊʒ,koʊʃ
koʊð,koʊθ
kɪb,kɪp
kɪd,kɪt
kɪg,kɪk
kɪv,kɪf
kɪz,kɪs
kɪʒ,kɪʃ
kɪð,kɪθ
kɛb,kɛp
kɛd,kɛt
kɛg,kɛk
kɛv,kɛf
kɛz,kɛs
kɛʒ,kɛʃ
kɛð,kɛθ
kʊb,kʊp
kʊd,kʊt
kʊg,kʊk
kʊv,kʊf
kʊz,kʊs
kʊʒ,kʊʃ
kʊð,kʊθ
kɔb,kɔp
kɔd,kɔt
kɔg,kɔk
kɔv,kɔf
kɔz,kɔs
kɔʒ,kɔʃ
kɔð,kɔθ
bip,bip
bit,bit
bik,bik
bif,bif
bis,bis
biʃ,biʃ
biθ,biθ
beɪp,beɪp
beɪt,beɪt
beɪk,beɪk
beɪf,beɪf
beɪs,beɪs
beɪʃ,beɪʃ
beɪθ,beɪθ
bup,bup
but,but
buk,buk
buf,buf
bus,bus
buʃ,buʃ
buθ,buθ
boʊp,boʊp
boʊt,boʊt
boʊk,boʊk
boʊf,boʊf
boʊs,boʊs
boʊʃ,boʊʃ
boʊθ,boʊθ
bɪp,bɪp
bɪt,bɪt
bɪk,bɪk
bɪf,bɪf
bɪs,bɪs
bɪʃ,bɪʃ
bɪθ,bɪθ
bɛp,bɛp
bɛt,bɛt
bɛk,bɛk
bɛf,bɛf
bɛs,bɛs
bɛʃ,bɛʃ
bɛθ,bɛθ
bʊp,bʊp
bʊt,bʊt
bʊk,bʊk
bʊf,bʊf
bʊs,bʊs
bʊʃ,bʊʃ
bʊθ,bʊθ
bɔp,bɔp
bɔt,bɔt
bɔk,bɔk
bɔf,bɔf
bɔs,bɔs
bɔʃ,bɔʃ
bɔθ,bɔθ
bib,bip
bid,bit
big,bik
biv,bif
biz,bis
biʒ,biʃ
bið,biθ
beɪb,beɪp
beɪd,beɪt
beɪg,beɪk
beɪv,beɪf
beɪz,beɪs
beɪʒ,beɪʃ
beɪð,beɪθ
bub,bup
bud,but
bug,buk
buv,buf
buz,bus
buʒ,buʃ
buð,buθ
boʊb,boʊp
boʊd,boʊt
boʊg,boʊk
boʊv,boʊf
boʊz,boʊs
boʊʒ,boʊʃ
boʊð,boʊθ
bɪb,bɪp
bɪd,bɪt
bɪg,bɪk
bɪv,bɪf
bɪz,bɪs
bɪʒ,bɪʃ
bɪð,bɪθ
bɛb,bɛp
bɛd,bɛt
bɛg,bɛk
bɛv,bɛf
bɛz,bɛs
bɛʒ,bɛʃ
bɛð,bɛθ
bʊb,bʊp
bʊd,bʊt
bʊg,bʊk
bʊv,bʊf
bʊz,bʊs
bʊʒ,bʊʃ
bʊð,bʊθ
bɔb,bɔp
bɔd,bɔt
bɔg,bɔk
bɔv,bɔf
bɔz,bɔs
bɔʒ,bɔʃ
bɔð,bɔθ
dip,dip
dit,dit
dik,dik
dif,dif
dis,dis
diʃ,diʃ
diθ,diθ
deɪp,deɪp
deɪt,deɪt
deɪk,deɪk
deɪf,deɪf
deɪs,deɪs
deɪʃ,deɪʃ
deɪθ,deɪθ
dup,dup
dut,dut
duk,duk
duf,duf
dus,dus
duʃ,duʃ
duθ,duθ
doʊp,doʊp
doʊt,doʊt
doʊk,doʊk
doʊf,doʊf
doʊs,doʊs
doʊʃ,doʊʃ
doʊθ,doʊθ
dɪp,dɪp
dɪt,dɪt
dɪk,dɪk
dɪf,dɪf
dɪs,dɪs
dɪʃ,dɪʃ
dɪθ,dɪθ
dɛp,dɛp
dɛt,dɛt
dɛk,dɛk
dɛf,dɛf
dɛs,dɛs
dɛʃ,dɛʃ
dɛθ,dɛθ
dʊp,dʊp
dʊt,dʊt
dʊk,dʊk
dʊf,dʊf
dʊs,dʊs
dʊʃ,dʊʃ
dʊθ,dʊθ
dɔp,dɔp
dɔt,dɔt
dɔk,dɔk
dɔf,dɔf
dɔs,dɔs
dɔʃ,dɔʃ
dɔθ,dɔθ
dib,dip
did,dit
dig,dik
div,dif
diz,dis
diʒ,diʃ
dið,diθ
deɪb,deɪp
deɪd,deɪt
deɪg,deɪk
deɪv,deɪf
deɪz,deɪs
deɪʒ,deɪʃ
deɪð,deɪθ
dub,dup
dud,dut
dug,duk
duv,duf
duz,dus
duʒ,duʃ
duð,duθ
doʊb,doʊp
doʊd,doʊt
doʊg,doʊk
doʊv,doʊf
doʊz,doʊs
doʊʒ,doʊʃ
doʊð,doʊθ
dɪb,dɪp
dɪd,dɪt
dɪg,dɪk
dɪv,dɪf
dɪz,dɪs
dɪʒ,dɪʃ
dɪð,dɪθ
dɛb,dɛp
dɛd,dɛt
dɛg,dɛk
dɛv,dɛf
dɛz,dɛs
dɛʒ,dɛʃ
dɛð,dɛθ
dʊb,dʊp
dʊd,dʊt
dʊg,dʊk
dʊv,dʊf
dʊz,dʊs
dʊʒ,dʊʃ
dʊð,dʊθ
dɔb,dɔp
dɔd,dɔt
dɔg,dɔk
dɔv,dɔf
dɔz,dɔs
dɔʒ,dɔʃ
dɔð,dɔθ
gip,gip
git,git
gik,gik
gif,gif
gis,gis
giʃ,giʃ
giθ,giθ
geɪp,geɪp
geɪt,geɪt
geɪk,geɪk
geɪf,geɪf
geɪs,geɪs
geɪʃ,geɪʃ
geɪθ,geɪθ
gup,gup
gut,gut
guk,guk
guf,guf
gus,gus
guʃ,guʃ
guθ,guθ
goʊp,goʊp
goʊt,goʊt
goʊk,goʊk
goʊf,goʊf
goʊs,goʊs
goʊʃ,goʊʃ
goʊθ,goʊθ
gɪp,gɪp
gɪt,gɪt
gɪk,gɪk
gɪf,gɪf
gɪs,gɪs
gɪʃ,gɪʃ
gɪθ,gɪθ
gɛp,gɛp
gɛt,gɛt
gɛk,gɛk
gɛf,gɛf
gɛs,gɛs
gɛʃ,gɛʃ
gɛθ,gɛθ
gʊp,gʊp
gʊt,gʊt
gʊk,gʊk
gʊf,gʊf
gʊs,gʊs
gʊʃ,gʊʃ
gʊθ,gʊθ
gɔp,gɔp
gɔt,gɔt
gɔk,gɔk
gɔf,gɔf
gɔs,gɔs
gɔʃ,gɔʃ
gɔθ,gɔθ
gib,gip
gid,git
gig,gik
giv,gif
giz,gis
giʒ,giʃ
gið,giθ
geɪb,geɪp
geɪd,geɪt
geɪg,geɪk
geɪv,geɪf
geɪz,geɪs
geɪʒ,geɪʃ
geɪð,geɪθ
gub,gup
gud,gut
gug,guk
guv,guf
guz,gus
guʒ,guʃ
guð,guθ
goʊb,goʊp
goʊd,goʊt
goʊg,goʊk
goʊv,goʊf
goʊz,goʊs
goʊʒ,goʊʃ
goʊð,goʊθ
gɪb,gɪp
gɪd,gɪt
gɪg,gɪk
gɪv,gɪf
gɪz,gɪs
gɪʒ,gɪʃ
gɪð,gɪθ
gɛb,gɛp
gɛd,gɛt
gɛg,gɛk
gɛv,gɛf
gɛz,gɛs
gɛʒ,gɛʃ
gɛð,gɛθ
gʊb,gʊp
gʊd,gʊt
gʊg,gʊk
gʊv,gʊf
gʊz,gʊs
gʊʒ,gʊʃ
gʊð,gʊθ
gɔb,gɔp
gɔd,gɔt
gɔg,gɔk
gɔv,gɔf
gɔz,gɔs
gɔʒ,gɔʃ
gɔð,gɔθ
fip,fip
fit,fit
fik,fik
fif,fif
fis,fis
fiʃ,fiʃ
fiθ,fiθ
feɪp,feɪp
feɪt,feɪt
feɪk,feɪk
feɪf,feɪf
feɪs,feɪs
feɪʃ,feɪʃ
feɪθ,feɪθ
fup,fup
fut,fut
fuk,fuk
fuf,fuf
fus,fus
fuʃ,fuʃ
fuθ,fuθ
foʊp,foʊp
foʊt,foʊt
foʊk,foʊk
foʊf,foʊf
foʊs,foʊs
foʊʃ,foʊʃ
foʊθ,foʊθ
fɪp,fɪp
fɪt,fɪt
fɪk,fɪk
fɪf,fɪf
fɪs,fɪs
fɪʃ,fɪʃ
fɪθ,fɪθ
fɛp,fɛp
fɛt,fɛt
fɛk,fɛk
fɛf,fɛf
fɛs,fɛs
fɛʃ,fɛʃ
fɛθ,fɛθ
fʊp,fʊp
fʊt,fʊt
fʊk,fʊk
fʊf,fʊf
fʊs,fʊs
fʊʃ,fʊʃ
fʊθ,fʊθ
fɔp,fɔp
fɔt,fɔt
fɔk,fɔk
fɔf,fɔf
fɔs,fɔs
fɔʃ,fɔʃ
fɔθ,fɔθ
fib,fip
fid,fit
fig,fik
fiv,fif
fiz,fis
fiʒ,fiʃ
fið,fiθ
feɪb,feɪp
feɪd,feɪt
feɪg,feɪk
feɪv,feɪf
feɪz,feɪs
feɪʒ,feɪʃ
feɪð,feɪθ
fub,fup
fud,fut
fug,fuk
fuv,fuf
fuz,fus
fuʒ,fuʃ
fuð,fuθ
foʊb,foʊp
foʊd,foʊt
foʊg,foʊk
foʊv,foʊf
foʊz,foʊs
foʊʒ,foʊʃ
foʊð,foʊθ
fɪb,fɪp
fɪd,fɪt
fɪg,fɪk
fɪv,fɪf
fɪz,fɪs
fɪʒ,fɪʃ
fɪð,fɪθ
fɛb,fɛp
fɛd,fɛt
fɛg,fɛk
fɛv,fɛf
fɛz,fɛs
fɛʒ,fɛʃ
fɛð,fɛθ
fʊb,fʊp
fʊd,fʊt
fʊg,fʊk
fʊv,fʊf
fʊz,fʊs
fʊʒ,fʊʃ
fʊð,fʊθ
fɔb,fɔp
fɔd,fɔt
fɔg,fɔk
fɔv,fɔf
fɔz,fɔs
fɔʒ,fɔʃ
fɔð,fɔθ
sip,sip
sit,sit
sik,sik
sif,sif
sis,sis
siʃ,siʃ
siθ,siθ
seɪp,seɪp
seɪt,seɪt
seɪk,seɪk
seɪf,seɪf
seɪs,seɪs
seɪʃ,seɪʃ
seɪθ,seɪθ
sup,sup
sut,sut
suk,suk
suf,suf
sus,sus
suʃ,suʃ
suθ,suθ
soʊp,soʊp
soʊt,soʊt
soʊk,soʊk
soʊf,soʊf
soʊs,soʊs
soʊʃ,soʊʃ
soʊθ,soʊθ
sɪp,sɪp
sɪt,sɪt
sɪk,sɪk
sɪf,sɪf
sɪs,sɪs
sɪʃ,sɪʃ
sɪθ,sɪθ
sɛp,sɛp
sɛt,sɛt
sɛk,sɛk
sɛf,sɛf
sɛs,sɛs
sɛʃ,sɛʃ
sɛθ,sɛθ
sʊp,sʊp
sʊt,sʊt
sʊk,sʊk
sʊf,sʊf
sʊs,sʊs
sʊʃ,sʊʃ
sʊθ,sʊθ
sɔp,sɔp
sɔt,sɔt
sɔk,sɔk
sɔf,sɔf
sɔs,sɔs
sɔʃ,sɔʃ
sɔθ,sɔθ
sib,sip
sid,sit
sig,sik
siv,sif
siz,sis
siʒ,siʃ
sið,siθ
seɪb,seɪp
seɪd,seɪt
seɪg,seɪk
seɪv,seɪf
seɪz,seɪs
seɪʒ,seɪʃ
seɪð,seɪθ
sub,sup
sud,sut
sug,suk
suv,suf
suz,sus
suʒ,suʃ
suð,suθ
soʊb,soʊp
soʊd,soʊt
soʊg,soʊk
soʊv,soʊf
soʊz,soʊs
soʊʒ,soʊʃ
soʊð,soʊθ
sɪb,sɪp
sɪd,sɪt
sɪg,sɪk
sɪv,sɪf
sɪz,sɪs
sɪʒ,sɪʃ
sɪð,sɪθ
sɛb,sɛp
sɛd,sɛt
sɛg,sɛk
sɛv,sɛf
sɛz,sɛs
sɛʒ,sɛʃ
sɛð,sɛθ
sʊb,sʊp
sʊd,sʊt
sʊg,sʊk
sʊv,sʊf
sʊz,sʊs
sʊʒ,sʊʃ
sʊð,sʊθ
sɔb,sɔp
sɔd,sɔt
sɔg,sɔk
sɔv,sɔf
sɔz,sɔs
sɔʒ,sɔʃ
sɔð,sɔθ
vip,vip
vit,vit
vik,vik
vif,vif
vis,vis
viʃ,viʃ
viθ,viθ
veɪp,veɪp
veɪt,veɪt
veɪk,veɪk
veɪf,veɪf
veɪs,veɪs
veɪʃ,veɪʃ
veɪθ,veɪθ
vup,vup
vut,vut
vuk,vuk
vuf,vuf
vus,vus
vuʃ,vuʃ
vuθ,vuθ
voʊp,voʊp
voʊt,voʊt
voʊk,voʊk
voʊf,voʊf
voʊs,voʊs
voʊʃ,voʊʃ
voʊθ,voʊθ
vɪp,vɪp
vɪt,vɪt
vɪk,vɪk
vɪf,vɪf
vɪs,vɪs
vɪʃ,vɪʃ
vɪθ,vɪθ
vɛp,vɛp
vɛt,vɛt
vɛk,vɛk
vɛf,vɛf
vɛs,vɛs
vɛʃ,vɛʃ
vɛθ,vɛθ
vʊp,vʊp
vʊt,vʊt
vʊk,vʊk
vʊf,vʊf
vʊs,vʊs
vʊʃ,vʊʃ
vʊθ,vʊθ
vɔp,vɔp
vɔt,vɔt
vɔk,vɔk
vɔf,vɔf
vɔs,vɔs
vɔʃ,vɔʃ
vɔθ,vɔθ
vib,vip
vid,vit
vig,vik
viv,vif
viz,vis
viʒ,viʃ
við,viθ
veɪb,veɪp
veɪd,veɪt
veɪg,veɪk
veɪv,veɪf
veɪz,veɪs
veɪʒ,veɪʃ
veɪð,veɪθ
vub,vup
vud,vut
vug,vuk
vuv,vuf
vuz,vus
vuʒ,vuʃ
vuð,vuθ
voʊb,voʊp
voʊd,voʊt
voʊg,voʊk
voʊv,voʊf
voʊz,voʊs
voʊʒ,voʊʃ
voʊð,voʊθ
vɪb,vɪp
vɪd,vɪt
vɪg,vɪk
vɪv,vɪf
vɪz,vɪs
vɪʒ,vɪʃ
vɪð,vɪθ
vɛb,vɛp
vɛd,vɛt
vɛg,vɛk
vɛv,vɛf
vɛz,vɛs
vɛʒ,vɛʃ
vɛð,vɛθ
vʊb,vʊp
vʊd,vʊt
vʊg,vʊk
vʊv,vʊf
vʊz,vʊs
vʊʒ,vʊʃ
vʊð,vʊθ
vɔb,vɔp
vɔd,vɔt
vɔg,vɔk
vɔv,vɔf
vɔz,vɔs
vɔʒ,vɔʃ
vɔð,vɔθ
zip,zip
zit,zit
zik,zik
zif,zif
zis,zis
ziʃ,ziʃ
ziθ,ziθ
zeɪp,zeɪp
zeɪt,zeɪt
zeɪk,zeɪk
zeɪf,zeɪf
zeɪs,zeɪs
zeɪʃ,zeɪʃ
zeɪθ,zeɪθ
zup,zup
zut,zut
zuk,zuk
zuf,zuf
zus,zus
zuʃ,zuʃ
zuθ,zuθ
zoʊp,zoʊp
zoʊt,zoʊt
zoʊk,zoʊk
zoʊf,zoʊf
zoʊs,zoʊs
zoʊʃ,zoʊʃ
zoʊθ,zoʊθ
zɪp,zɪp
zɪt,zɪt
zɪk,zɪk
zɪf,zɪf
zɪs,zɪs
zɪʃ,zɪʃ
zɪθ,zɪθ
zɛp,zɛp
zɛt,zɛt
zɛk,zɛk
zɛf,zɛf
zɛs,zɛs
zɛʃ,zɛʃ
zɛθ,zɛθ
zʊp,zʊp
zʊt,zʊt
zʊk,zʊk
zʊf,zʊf
zʊs,zʊs
zʊʃ,zʊʃ
zʊθ,zʊθ
zɔp,zɔp
zɔt,zɔt
zɔk,zɔk
zɔf,zɔf
zɔs,zɔs
zɔʃ,zɔʃ
zɔθ,zɔθ
zib,zip
zid,zit
zig,zik
ziv,zif
ziz,zis
ziʒ,ziʃ
zið,ziθ
zeɪb,zeɪp
zeɪd,zeɪt
zeɪg,zeɪk
zeɪv,zeɪf
zeɪz,zeɪs
zeɪʒ,zeɪʃ
zeɪð,zeɪθ
zub,zup
zud,zut
zug,zuk
zuv,zuf
zuz,zus
zuʒ,zuʃ
zuð,zuθ
zoʊb,zoʊp
zoʊd,zoʊt
zoʊg,zoʊk
zoʊv,zoʊf
zoʊz,zoʊs
zoʊʒ,zoʊʃ
zoʊð,zoʊθ
zɪb,zɪp
zɪd,zɪt
zɪg,zɪk
zɪv,zɪf
zɪz,zɪs
zɪʒ,zɪʃ
zɪð,zɪθ
zɛb,zɛp
zɛd,zɛt
zɛg,zɛk
zɛv,zɛf
zɛz,zɛs
zɛʒ,zɛʃ
zɛð,zɛθ
zʊb,zʊp
zʊd,zʊt
zʊg,zʊk
zʊv,zʊf
zʊz,zʊs
zʊʒ,zʊʃ
zʊð,zʊθ
zɔb,zɔp
zɔd,zɔt
zɔg,zɔk
zɔv,zɔf
zɔz,zɔs
zɔʒ,zɔʃ
zɔð,zɔθ
ʃip,ʃip
ʃit,ʃit
ʃik,ʃik
ʃif,ʃif
ʃis,ʃis
ʃiʃ,ʃiʃ
ʃiθ,ʃiθ
ʃeɪp,ʃeɪp
ʃeɪt,ʃeɪt
ʃeɪk,ʃeɪk
ʃeɪf,ʃeɪf
ʃeɪs,ʃeɪs
ʃeɪʃ,ʃeɪʃ
ʃeɪθ,ʃeɪθ
ʃup,ʃup
ʃut,ʃut
ʃuk,ʃuk
ʃuf,ʃuf
ʃus,ʃus
ʃuʃ,ʃuʃ
ʃuθ,ʃuθ
ʃoʊp,ʃoʊp
ʃoʊt,ʃoʊt
ʃoʊk,ʃoʊk
ʃoʊf,ʃoʊf
ʃoʊs,ʃoʊs
ʃoʊʃ,ʃoʊʃ
ʃoʊθ,ʃoʊθ
ʃɪp,ʃɪp
ʃɪt,ʃɪt
ʃɪk,ʃɪk
ʃɪf,ʃɪf
ʃɪs,ʃɪs
ʃɪʃ,ʃɪʃ
ʃɪθ,ʃɪθ
ʃɛp,ʃɛp
ʃɛt,ʃɛt
ʃɛk,ʃɛk
ʃɛf,ʃɛf
ʃɛs,ʃɛs
ʃɛʃ,ʃɛʃ
ʃɛθ,ʃɛθ
ʃʊp,ʃʊp
ʃʊt,ʃʊt
ʃʊk,ʃʊk
ʃʊf,ʃʊf
ʃʊs,ʃʊs
ʃʊʃ,ʃʊʃ
ʃʊθ,ʃʊθ
ʃɔp,ʃɔp
ʃɔt,ʃɔt
ʃɔk,ʃɔk
ʃɔf,ʃɔf
ʃɔs,ʃɔs
ʃɔʃ,ʃɔʃ
ʃɔθ,ʃɔθ
ʃib,ʃip
ʃid,ʃit
ʃig,ʃik
ʃiv,ʃif
ʃiz,ʃis
ʃiʒ,ʃiʃ
ʃið,ʃiθ
ʃeɪb,ʃeɪp
ʃeɪd,ʃeɪt
ʃeɪg,ʃeɪk
ʃeɪv,ʃeɪf
ʃeɪz,ʃeɪs
ʃeɪʒ,ʃeɪʃ
ʃeɪð,ʃeɪθ
ʃub,ʃup
ʃud,ʃut
ʃug,ʃuk
ʃuv,ʃuf
ʃuz,ʃus
ʃuʒ,ʃuʃ
ʃuð,ʃuθ
ʃoʊb,ʃoʊp
ʃoʊd,ʃoʊt
ʃoʊg,ʃoʊk
ʃoʊv,ʃoʊf
ʃoʊz,ʃoʊs
ʃoʊʒ,ʃoʊʃ
ʃoʊð,ʃoʊθ
ʃɪb,ʃɪp
ʃɪd,ʃɪt
ʃɪg,ʃɪk
ʃɪv,ʃɪf
ʃɪz,ʃɪs
ʃɪʒ,ʃɪʃ
ʃɪð,ʃɪθ
ʃɛb,ʃɛp
ʃɛd,ʃɛt
ʃɛg,ʃɛk
ʃɛv,ʃɛf
ʃɛz,ʃɛs
ʃɛʒ,ʃɛʃ
ʃɛð,ʃɛθ
ʃʊb,ʃʊp
ʃʊd,ʃʊt
ʃʊg,ʃʊk
ʃʊv,ʃʊf
ʃʊz,ʃʊs
ʃʊʒ,ʃʊʃ
ʃʊð,ʃʊθ
ʃɔb,ʃɔp
ʃɔd,ʃɔt
ʃɔg,ʃɔk
ʃɔv,ʃɔf
ʃɔz,ʃɔs
ʃɔʒ,ʃɔʃ
ʃɔð,ʃɔθ
ʒip,ʒip
ʒit,ʒit
ʒik,ʒik
ʒif,ʒif
ʒis,ʒis
ʒiʃ,ʒiʃ
ʒiθ,ʒiθ
ʒeɪp,ʒeɪp
ʒeɪt,ʒeɪt
ʒeɪk,ʒeɪk
ʒeɪf,ʒeɪf
ʒeɪs,ʒeɪs
