ur,sr
tʊd,tʊd
tʊg,tʊg
tʊv,tʊv
tʊz,tʊz
tʊʒ,tʊʒ
tʊð,tʊð
tɔb,tɔb
tɔd,tɔd
tɔg,tɔg
tɔv,tɔv
tɔz,tɔz
tɔʒ,tɔʒ
tɔð,tɔð
kip,kib
kit,kid
kik,kig
kif,kiv
kis,kiz
kiʃ,kiʒ
kiθ,kið
kep,keb
ket,ked
kek,keg
kef,kev
kes,kez
keʃ,keʒ
keθ,keð
kup,kub
kut,kud
kuk,kug
kuf,kuv
kus,kuz
kuʃ,kuʒ
kuθ,kuð
kop,kob
kot,kod
kok,kog
kof,kov
kos,koz
koʃ,koʒ
koθ,koð
kɪp,kɪb
kɪt,kɪd
kɪk,kɪg
kɪf,kɪv
kɪs,kɪz
kɪʃ,kɪʒ
kɪθ,kɪð
kɛp,kɛb
kɛt,kɛd
kɛk,kɛg
kɛf,kɛv
kɛs,kɛz
kɛʃ,kɛʒ
kɛθ,kɛð
kʊp,kʊb
kʊt,kʊd
kʊk,kʊg
kʊf,kʊv
kʊs,kʊz
kʊʃ,kʊʒ
kʊθ,kʊð
kɔp,kɔb
kɔt,kɔd
kɔk,kɔg
kɔf,kɔv
kɔs,kɔz
kɔʃ,kɔʒ
kɔθ,kɔð
kib,kib
kid,kid
kig,kig
kiv,kiv
kiz,kiz
kiʒ,kiʒ
kið,kið
keb,keb
ked,ked
keg,keg
kev,kev
kez,kez
keʒ,keʒ
keð,keð
kub,kub
kud,kud
kug,kug
kuv,kuv
kuz,kuz
kuʒ,kuʒ
kuð,kuð
kob,kob
kod,kod
kog,kog
kov,kov
koz,koz
koʒ,koʒ
koð,koð
kɪb,kɪb
kɪd,kɪd
kɪg,kɪg
kɪv,kɪv
kɪz,kɪz
kɪʒ,kɪʒ
kɪð,kɪð
kɛb,kɛb
kɛd,kɛd
kɛg,kɛg
kɛv,kɛv
kɛz,kɛz
kɛʒ,kɛʒ
kɛð,kɛð
kʊb,kʊb
kʊd,kʊd
kʊg,kʊg
kʊv,kʊv
kʊz,kʊz
kʊʒ,kʊʒ
kʊð,kʊð
kɔb,kɔb
kɔd,kɔd
kɔg,kɔg
kɔv,kɔv
kɔz,kɔz
kɔʒ,kɔʒ
kɔð,kɔð
bip,bib
bit,bid
bik,big
bif,biv
bis,biz
biʃ,biʒ
biθ,bið
bep,beb
bet,bed
bek,beg
bef,bev
bes,bez
beʃ,beʒ
beθ,beð
bup,bub
but,bud
buk,bug
buf,buv
bus,buz
buʃ,buʒ
buθ,buð
bop,bob
bot,bod
bok,bog
bof,bov
bos,boz
boʃ,boʒ
boθ,boð
bɪp,bɪb
bɪt,bɪd
bɪk,bɪg
bɪf,bɪv
bɪs,bɪz
bɪʃ,bɪʒ
bɪθ,bɪð
bɛp,bɛb
bɛt,bɛd
bɛk,bɛg
bɛf,bɛv
bɛs,bɛz
bɛʃ,bɛʒ
bɛθ,bɛð
bʊp,bʊb
bʊt,bʊd
bʊk,bʊg
bʊf,bʊv
bʊs,bʊz
bʊʃ,bʊʒ
bʊθ,bʊð
bɔp,bɔb
bɔt,bɔd
bɔk,bɔg
bɔf,bɔv
bɔs,bɔz
bɔʃ,bɔʒ
bɔθ,bɔð
bib,bib
bid,bid
big,big
biv,biv
biz,biz
biʒ,biʒ
bið,bið
beb,beb
bed,bed
beg,beg
bev,bev
bez,bez
beʒ,beʒ
beð,beð
bub,bub
bud,bud
bug,bug
buv,buv
buz,buz
buʒ,buʒ
buð,buð
bob,bob
bod,bod
bog,bog
bov,bov
boz,boz
boʒ,boʒ
boð,boð
bɪb,bɪb
bɪd,bɪd
bɪg,bɪg
bɪv,bɪv
bɪz,bɪz
bɪʒ,bɪʒ
bɪð,bɪð
bɛb,bɛb
bɛd,bɛd
bɛg,bɛg
bɛv,bɛv
bɛz,bɛz
bɛʒ,bɛʒ
bɛð,bɛð
bʊb,bʊb
bʊd,bʊd
bʊg,bʊg
bʊv,bʊv
bʊz,bʊz
bʊʒ,bʊʒ
bʊð,bʊð
bɔb,bɔb
bɔd,bɔd
bɔg,bɔg
bɔv,bɔv
bɔz,bɔz
bɔʒ,bɔʒ
bɔð,bɔð
dip,dib
dit,did
dik,dig
dif,div
dis,diz
diʃ,diʒ
diθ,dið
dep,deb
det,ded
dek,deg
def,dev
des,dez
deʃ,deʒ
deθ,deð
dup,dub
dut,dud
duk,dug
duf,duv
dus,duz
duʃ,duʒ
duθ,duð
dop,dob
dot,dod
dok,dog
dof,dov
dos,doz
doʃ,doʒ
doθ,doð
dɪp,dɪb
dɪt,dɪd
dɪk,dɪg
dɪf,dɪv
dɪs,dɪz
dɪʃ,dɪʒ
dɪθ,dɪð
dɛp,dɛb
dɛt,dɛd
dɛk,dɛg
dɛf,dɛv
dɛs,dɛz
dɛʃ,dɛʒ
dɛθ,dɛð
dʊp,dʊb
dʊt,dʊd
dʊk,dʊg
dʊf,dʊv
dʊs,dʊz
dʊʃ,dʊʒ
dʊθ,dʊð
dɔp,dɔb
dɔt,dɔd
dɔk,dɔg
dɔf,dɔv
dɔs,dɔz
dɔʃ,dɔʒ
dɔθ,dɔð
dib,dib
did,did
dig,dig
div,div
diz,diz
diʒ,diʒ
dið,dið
deb,deb
ded,ded
deg,deg
dev,dev
dez,dez
deʒ,deʒ
deð,deð
dub,dub
dud,dud
dug,dug
duv,duv
duz,duz
duʒ,duʒ
duð,duð
dob,dob
dod,dod
dog,dog
dov,dov
doz,doz
doʒ,doʒ
doð,doð
dɪb,dɪb
dɪd,dɪd
dɪg,dɪg
dɪv,dɪv
dɪz,dɪz
dɪʒ,dɪʒ
dɪð,dɪð
dɛb,dɛb
dɛd,dɛd
dɛg,dɛg
dɛv,dɛv
dɛz,dɛz
dɛʒ,dɛʒ
dɛð,dɛð
dʊb,dʊb
dʊd,dʊd
dʊg,dʊg
dʊv,dʊv
dʊz,dʊz
dʊʒ,dʊʒ
dʊð,dʊð
dɔb,dɔb
dɔd,dɔd
dɔg,dɔg
dɔv,dɔv
dɔz,dɔz
dɔʒ,dɔʒ
dɔð,dɔð
gip,gib
git,gid
gik,gig
gif,giv
gis,giz
giʃ,giʒ
giθ,gið
gep,geb
get,ged
gek,geg
gef,gev
ges,gez
geʃ,geʒ
geθ,geð
gup,gub
gut,gud
guk,gug
guf,guv
gus,guz
guʃ,guʒ
guθ,guð
gop,gob
got,god
gok,gog
gof,gov
gos,goz
goʃ,goʒ
goθ,goð
gɪp,gɪb
gɪt,gɪd
gɪk,gɪg
gɪf,gɪv
gɪs,gɪz
gɪʃ,gɪʒ
gɪθ,gɪð
gɛp,gɛb
gɛt,gɛd
gɛk,gɛg
gɛf,gɛv
gɛs,gɛz
gɛʃ,gɛʒ
gɛθ,gɛð
gʊp,gʊb
gʊt,gʊd
gʊk,gʊg
gʊf,gʊv
gʊs,gʊz
gʊʃ,gʊʒ
gʊθ,gʊð
gɔp,gɔb
gɔt,gɔd
gɔk,gɔg
gɔf,gɔv
gɔs,gɔz
gɔʃ,gɔʒ
gɔθ,gɔð
gib,gib
gid,gid
gig,gig
giv,giv
giz,giz
giʒ,giʒ
gið,gið
geb,geb
ged,ged
geg,geg
gev,gev
gez,gez
geʒ,geʒ
geð,geð
gub,gub
gud,gud
gug,gug
guv,guv
guz,guz
guʒ,guʒ
guð,guð
gob,gob
god,god
gog,gog
gov,gov
goz,goz
goʒ,goʒ
goð,goð
gɪb,gɪb
gɪd,gɪd
gɪg,gɪg
gɪv,gɪv
gɪz,gɪz
gɪʒ,gɪʒ
gɪð,gɪð
gɛb,gɛb
gɛd,gɛd
gɛg,gɛg
gɛv,gɛv
gɛz,gɛz
gɛʒ,gɛʒ
gɛð,gɛð
gʊb,gʊb
gʊd,gʊd
gʊg,gʊg
gʊv,gʊv
gʊz,gʊz
gʊʒ,gʊʒ
gʊð,gʊð
gɔb,gɔb
gɔd,gɔd
gɔg,gɔg
gɔv,gɔv
gɔz,gɔz
gɔʒ,gɔʒ
gɔð,gɔð
fip,fib
fit,fid
fik,fig
fif,fiv
fis,fiz
fiʃ,fiʒ
fiθ,fið
fep,feb
fet,fed
fek,feg
fef,fev
fes,fez
feʃ,feʒ
feθ,feð
fup,fub
fut,fud
fuk,fug
fuf,fuv
fus,fuz
fuʃ,fuʒ
fuθ,fuð
fop,fob
fot,fod
fok,fog
fof,fov
fos,foz
foʃ,foʒ
foθ,foð
fɪp,fɪb
fɪt,fɪd
fɪk,fɪg
fɪf,fɪv
fɪs,fɪz
fɪʃ,fɪʒ
fɪθ,fɪð
fɛp,fɛb
fɛt,fɛd
fɛk,fɛg
fɛf,fɛv
fɛs,fɛz
fɛʃ,fɛʒ
fɛθ,fɛð
fʊp,fʊb
fʊt,fʊd
fʊk,fʊg
fʊf,fʊv
fʊs,fʊz
fʊʃ,fʊʒ
fʊθ,fʊð
fɔp,fɔb
fɔt,fɔd
fɔk,fɔg
fɔf,fɔv
fɔs,fɔz
fɔʃ,fɔʒ
fɔθ,fɔð
fib,fib
fid,fid
fig,fig
fiv,fiv
fiz,fiz
fiʒ,fiʒ
fið,fið
feb,feb
fed,fed
feg,feg
fev,fev
fez,fez
feʒ,feʒ
feð,feð
fub,fub
fud,fud
fug,fug
fuv,fuv
fuz,fuz
fuʒ,fuʒ
fuð,fuð
fob,fob
fod,fod
fog,fog
fov,fov
foz,foz
foʒ,foʒ
foð,foð
fɪb,fɪb
fɪd,fɪd
fɪg,fɪg
fɪv,fɪv
fɪz,fɪz
fɪʒ,fɪʒ
fɪð,fɪð
fɛb,fɛb
fɛd,fɛd
fɛg,fɛg
fɛv,fɛv
fɛz,fɛz
fɛʒ,fɛʒ
fɛð,fɛð
fʊb,fʊb
fʊd,fʊd
fʊg,fʊg
fʊv,fʊv
fʊz,fʊz
fʊʒ,fʊʒ
fʊð,fʊð
fɔb,fɔb
fɔd,fɔd
fɔg,fɔg
fɔv,fɔv
fɔz,fɔz
fɔʒ,fɔʒ
fɔð,fɔð
sip,sib
sit,sid
sik,sig
sif,siv
sis,siz
siʃ,siʒ
siθ,sið
sep,seb
set,sed
sek,seg
sef,sev
ses,sez
seʃ,seʒ
seθ,seð
sup,sub
sut,sud
suk,sug
suf,suv
sus,suz
suʃ,suʒ
suθ,suð
sop,sob
sot,sod
sok,sog
sof,sov
sos,soz
soʃ,soʒ
soθ,soð
sɪp,sɪb
sɪt,sɪd
sɪk,sɪg
sɪf,sɪv
sɪs,sɪz
sɪʃ,sɪʒ
sɪθ,sɪð
sɛp,sɛb
sɛt,sɛd
sɛk,sɛg
sɛf,sɛv
sɛs,sɛz
sɛʃ,sɛʒ
sɛθ,sɛð
sʊp,sʊb
sʊt,sʊd
sʊk,sʊg
sʊf,sʊv
sʊs,sʊz
sʊʃ,sʊʒ
sʊθ,sʊð
sɔp,sɔb
sɔt,sɔd
sɔk,sɔg
sɔf,sɔv
sɔs,sɔz
sɔʃ,sɔʒ
sɔθ,sɔð
sib,sib
sid,sid
sig,sig
siv,siv
siz,siz
siʒ,siʒ
sið,sið
seb,seb
sed,sed
seg,seg
sev,sev
sez,sez
seʒ,seʒ
seð,seð
sub,sub
sud,sud
sug,sug
suv,suv
suz,suz
suʒ,suʒ
suð,suð
sob,sob
sod,sod
sog,sog
sov,sov
soz,soz
soʒ,soʒ
soð,soð
sɪb,sɪb
sɪd,sɪd
sɪg,sɪg
sɪv,sɪv
sɪz,sɪz
sɪʒ,sɪʒ
sɪð,sɪð
sɛb,sɛb
sɛd,sɛd
sɛg,sɛg
sɛv,sɛv
sɛz,sɛz
sɛʒ,sɛʒ
sɛð,sɛð
sʊb,sʊb
sʊd,sʊd
sʊg,sʊg
sʊv,sʊv
sʊz,sʊz
sʊʒ,sʊʒ
sʊð,sʊð
sɔb,sɔb
sɔd,sɔd
sɔg,sɔg
sɔv,sɔv
sɔz,sɔz
sɔʒ,sɔʒ
sɔð,sɔð
vip,vib
vit,vid
vik,vig
vif,viv
vis,viz
viʃ,viʒ
viθ,við
vep,veb
vet,ved
vek,veg
vef,vev
ves,vez
veʃ,veʒ
veθ,veð
vup,vub
vut,vud
vuk,vug
vuf,vuv
vus,vuz
vuʃ,vuʒ
vuθ,vuð
vop,vob
vot,vod
vok,vog
vof,vov
vos,voz
voʃ,voʒ
voθ,voð
vɪp,vɪb
vɪt,vɪd
vɪk,vɪg
vɪf,vɪv
vɪs,vɪz
vɪʃ,vɪʒ
vɪθ,vɪð
vɛp,vɛb
vɛt,vɛd
vɛk,vɛg
vɛf,vɛv
vɛs,vɛz
vɛʃ,vɛʒ
vɛθ,vɛð
vʊp,vʊb
vʊt,vʊd
vʊk,vʊg
vʊf,vʊv
vʊs,vʊz
vʊʃ,vʊʒ
vʊθ,vʊð
vɔp,vɔb
vɔt,vɔd
vɔk,vɔg
vɔf,vɔv
vɔs,vɔz
vɔʃ,vɔʒ
vɔθ,vɔð
vib,vib
vid,vid
vig,vig
viv,viv
viz,viz
viʒ,viʒ
við,við
veb,veb
ved,ved
veg,veg
vev,vev
vez,vez
veʒ,veʒ
veð,veð
vub,vub
vud,vud
vug,vug
vuv,vuv
vuz,vuz
vuʒ,vuʒ
vuð,vuð
vob,vob
vod,vod
vog,vog
vov,vov
voz,voz
voʒ,voʒ
voð,voð
vɪb,vɪb
vɪd,vɪd
vɪg,vɪg
vɪv,vɪv
vɪz,vɪz
vɪʒ,vɪʒ
vɪð,vɪð
vɛb,vɛb
vɛd,vɛd
vɛg,vɛg
vɛv,vɛv
vɛz,vɛz
vɛʒ,vɛʒ
vɛð,vɛð
vʊb,vʊb
vʊd,vʊd
vʊg,vʊg
vʊv,vʊv
vʊz,vʊz
vʊʒ,vʊʒ
vʊð,vʊð
vɔb,vɔb
vɔd,vɔd
vɔg,vɔg
vɔv,vɔv
vɔz,vɔz
vɔʒ,vɔʒ
vɔð,vɔð
zip,zib
zit,zid
zik,zig
zif,ziv
zis,ziz
ziʃ,ziʒ
ziθ,zið
zep,zeb
zet,zed
zek,zeg
zef,zev
zes,zez
zeʃ,zeʒ
zeθ,zeð
zup,zub
zut,zud
zuk,zug
zuf,zuv
zus,zuz
zuʃ,zuʒ
zuθ,zuð
zop,zob
zot,zod
zok,zog
zof,zov
zos,zoz
zoʃ,zoʒ
zoθ,zoð
zɪp,zɪb
zɪt,zɪd
zɪk,zɪg
zɪf,zɪv
zɪs,zɪz
zɪʃ,zɪʒ
zɪθ,zɪð
zɛp,zɛb
zɛt,zɛd
zɛk,zɛg
zɛf,zɛv
zɛs,zɛz
zɛʃ,zɛʒ
zɛθ,zɛð
zʊp,zʊb
zʊt,zʊd
zʊk,zʊg
zʊf,zʊv
zʊs,zʊz
zʊʃ,zʊʒ
zʊθ,zʊð
zɔp,zɔb
zɔt,zɔd
zɔk,zɔg
zɔf,zɔv
zɔs,zɔz
zɔʃ,zɔʒ
zɔθ,zɔð
zib,zib
zid,zid
zig,zig
ziv,ziv
ziz,ziz
ziʒ,ziʒ
zið,zið
zeb,zeb
zed,zed
zeg,zeg
zev,zev
zez,zez
zeʒ,zeʒ
zeð,zeð
zub,zub
zud,zud
zug,zug
zuv,zuv
zuz,zuz
zuʒ,zuʒ
zuð,zuð
zob,zob
zod,zod
zog,zog
zov,zov
zoz,zoz
zoʒ,zoʒ
zoð,zoð
zɪb,zɪb
zɪd,zɪd
zɪg,zɪg
zɪv,zɪv
zɪz,zɪz
zɪʒ,zɪʒ
zɪð,zɪð
zɛb,zɛb
zɛd,zɛd
zɛg,zɛg
zɛv,zɛv
zɛz,zɛz
zɛʒ,zɛʒ
zɛð,zɛð
zʊb,zʊb
zʊd,zʊd
zʊg,zʊg
zʊv,zʊv
zʊz,zʊz
zʊʒ,zʊʒ
zʊð,zʊð
zɔb,zɔb
zɔd,zɔd
zɔg,zɔg
zɔv,zɔv
zɔz,zɔz
zɔʒ,zɔʒ
zɔð,zɔð
ʃip,ʃib
ʃit,ʃid
ʃik,ʃig
ʃif,ʃiv
ʃis,ʃiz
ʃiʃ,ʃiʒ
ʃiθ,ʃið
ʃep,ʃeb
ʃet,ʃed
ʃek,ʃeg
ʃef,ʃev
ʃes,ʃez
ʃeʃ,ʃeʒ
ʃeθ,ʃeð
ʃup,ʃub
ʃut,ʃud
ʃuk,ʃug
ʃuf,ʃuv
ʃus,ʃuz
ʃuʃ,ʃuʒ
ʃuθ,ʃuð
ʃop,ʃob
ʃot,ʃod
ʃok,ʃog
ʃof,ʃov
ʃos,ʃoz
ʃoʃ,ʃoʒ
ʃoθ,ʃoð
ʃɪp,ʃɪb
ʃɪt,ʃɪd
ʃɪk,ʃɪg
ʃɪf,ʃɪv
ʃɪs,ʃɪz
ʃɪʃ,ʃɪʒ
ʃɪθ,ʃɪð
ʃɛp,ʃɛb
ʃɛt,ʃɛd
ʃɛk,ʃɛg
ʃɛf,ʃɛv
ʃɛs,ʃɛz
ʃɛʃ,ʃɛʒ
ʃɛθ,ʃɛð
ʃʊp,ʃʊb
ʃʊt,ʃʊd
ʃʊk,ʃʊg
ʃʊf,ʃʊv
ʃʊs,ʃʊz
ʃʊʃ,ʃʊʒ
ʃʊθ,ʃʊð
ʃɔp,ʃɔb
ʃɔt,ʃɔd
ʃɔk,ʃɔg
ʃɔf,ʃɔv
ʃɔs,ʃɔz
ʃɔʃ,ʃɔʒ
ʃɔθ,ʃɔð
ʃib,ʃib
ʃid,ʃid
ʃig,ʃig
ʃiv,ʃiv
ʃiz,ʃiz
ʃiʒ,ʃiʒ
ʃið,ʃið
ʃeb,ʃeb
ʃed,ʃed
ʃeg,ʃeg
ʃev,ʃev
ʃez,ʃez
ʃeʒ,ʃeʒ
ʃeð,ʃeð
ʃub,ʃub
ʃud,ʃud
ʃug,ʃug
ʃuv,ʃuv
ʃuz,ʃuz
ʃuʒ,ʃuʒ
ʃuð,ʃuð
ʃob,ʃob
ʃod,ʃod
ʃog,ʃog
ʃov,ʃov
ʃoz,ʃoz
ʃoʒ,ʃoʒ
ʃoð,ʃoð
ʃɪb,ʃɪb
ʃɪd,ʃɪd
ʃɪg,ʃɪg
ʃɪv,ʃɪv
ʃɪz,ʃɪz
ʃɪʒ,ʃɪʒ
ʃɪð,ʃɪð
ʃɛb,ʃɛb
ʃɛd,ʃɛd
ʃɛg,ʃɛg
ʃɛv,ʃɛv
ʃɛz,ʃɛz
ʃɛʒ,ʃɛʒ
ʃɛð,ʃɛð
ʃʊb,ʃʊb
ʃʊd,ʃʊd
ʃʊg,ʃʊg
ʃʊv,ʃʊv
ʃʊz,ʃʊz
ʃʊʒ,ʃʊʒ
ʃʊð,ʃʊð
ʃɔb,ʃɔb
ʃɔd,ʃɔd
ʃɔg,ʃɔg
ʃɔv,ʃɔv
ʃɔz,ʃɔz
ʃɔʒ,ʃɔʒ
ʃɔð,ʃɔð
ʒip,ʒib
ʒit,ʒid
ʒik,ʒig
ʒif,ʒiv
ʒis,ʒiz
ʒiʃ,ʒiʒ
ʒiθ,ʒið
ʒep,ʒeb
ʒet,ʒed
ʒek,ʒeg
ʒef,ʒev
ʒes,ʒez
ʒeʃ,ʒeʒ
ʒeθ,ʒeð
ʒup,ʒub
ʒut,ʒud
ʒuk,ʒug
ʒuf,ʒuv
ʒus,ʒuz
ʒuʃ,ʒuʒ
ʒuθ,ʒuð
ʒop,ʒob
ʒot,ʒod
ʒok,ʒog
ʒof,ʒov
ʒos,ʒoz
ʒoʃ,ʒoʒ
ʒoθ,ʒoð
ʒɪp,ʒɪb
ʒɪt,ʒɪd
ʒɪk,ʒɪg
ʒɪf,ʒɪv
ʒɪs,ʒɪz
ʒɪʃ,ʒɪʒ
ʒɪθ,ʒɪð
ʒɛp,ʒɛb
ʒɛt,ʒɛd
ʒɛk,ʒɛg
ʒɛf,ʒɛv
ʒɛs,ʒɛz
ʒɛʃ,ʒɛʒ
ʒɛθ,ʒɛð
ʒʊp,ʒʊb
ʒʊt,ʒʊd
ʒʊk,ʒʊg
ʒʊf,ʒʊv
ʒʊs,ʒʊz
ʒʊʃ,ʒʊʒ
ʒʊθ,ʒʊð
ʒɔp,ʒɔb
ʒɔt,ʒɔd
ʒɔk,ʒɔg
ʒɔf,ʒɔv
ʒɔs,ʒɔz
ʒɔʃ,ʒɔʒ
ʒɔθ,ʒɔð
ʒib,ʒib
ʒid,ʒid
ʒig,ʒig
ʒiv,ʒiv
ʒiz,ʒiz
ʒiʒ,ʒiʒ
ʒið,ʒið
ʒeb,ʒeb
ʒed,ʒed
ʒeg,ʒeg
ʒev,ʒev
ʒez,ʒez
ʒeʒ,ʒeʒ
ʒeð,ʒeð
ʒub,ʒub
ʒud,ʒud
ʒug,ʒug
ʒuv,ʒuv
ʒuz,ʒuz
ʒuʒ,ʒuʒ
ʒuð,ʒuð
ʒob,ʒob
ʒod,ʒod
ʒog,ʒog
ʒov,ʒov
ʒoz,ʒoz
ʒoʒ,ʒoʒ
ʒoð,ʒoð
ʒɪb,ʒɪb
ʒɪd,ʒɪd
ʒɪg,ʒɪg
ʒɪv,ʒɪv
ʒɪz,ʒɪz
ʒɪʒ,ʒɪʒ
ʒɪð,ʒɪð
ʒɛb,ʒɛb
ʒɛd,ʒɛd
ʒɛg,ʒɛg
ʒɛv,ʒɛv
ʒɛz,ʒɛz
ʒɛʒ,ʒɛʒ
ʒɛð,ʒɛð
ʒʊb,ʒʊb
ʒʊd,ʒʊd
ʒʊg,ʒʊg
ʒʊv,ʒʊv
ʒʊz,ʒʊz
ʒʊʒ,ʒʊʒ
ʒʊð,ʒʊð
ʒɔb,ʒɔb
ʒɔd,ʒɔd
ʒɔg,ʒɔg
ʒɔv,ʒɔv
ʒɔz,ʒɔz
ʒɔʒ,ʒɔʒ
ʒɔð,ʒɔð
θip,θib
θit,θid
θik,θig
θif,θiv
θis,θiz
θiʃ,θiʒ
θiθ,θið
θep,θeb
θet,θed
θek,θeg
θef,θev
θes,θez
θeʃ,θeʒ
θeθ,θeð
θup,θub
θut,θud
θuk,θug
θuf,θuv
θus,θuz
θuʃ,θuʒ
θuθ,θuð
θop,θob
θot,θod
θok,θog
θof,θov
θos,θoz
θoʃ,θoʒ
θoθ,θoð
θɪp,θɪb
θɪt,θɪd
θɪk,θɪg
θɪf,θɪv
θɪs,θɪz
θɪʃ,θɪʒ
θɪθ,θɪð
θɛp,θɛb
