ur_syll,sr_syll,ur_string,sr_string,ur_var,sr_var
o.θo,o.θo,oθo,oθo,oʊθoʊ,oʊθoʊ
o.ðo,o.ðo,oðo,oðo,oʊðoʊ,oʊðoʊ
o.ho,o.ho,oho,oho,oʊhoʊ,oʊhoʊ
i.mɪm,i.mɪm,imɪm,imɪm,imɪm,imɪm
i.mɪn,i.mɪn,imɪn,imɪn,imɪn,imɪn
i.mɪŋ,i.mɪŋ,imɪŋ,imɪŋ,imɪŋ,imɪŋ
i.mɪp,i.mɪp,imɪp,imɪp,imɪp,imɪp
i.mɪt,i.mɪt,imɪt,imɪt,imɪt,imɪt
i.mɪk,i.mɪk,imɪk,imɪk,imɪk,imɪk
i.mɪb,i.mɪb,imɪb,imɪb,imɪb,imɪb
i.mɪd,i.mɪd,imɪd,imɪd,imɪd,imɪd
i.mɪg,i.mɪg,imɪg,imɪg,imɪg,imɪg
i.mɪf,i.mɪf,imɪf,imɪf,imɪf,imɪf
i.mɪs,i.mɪs,imɪs,imɪs,imɪs,imɪs
i.mɪv,i.mɪv,imɪv,imɪv,imɪv,imɪv
i.mɪz,i.mɪz,imɪz,imɪz,imɪz,imɪz
i.mɪʃ,i.mɪʃ,imɪʃ,imɪʃ,imɪʃ,imɪʃ
i.mɪʒ,i.mɪʒ,imɪʒ,imɪʒ,imɪʒ,imɪʒ
i.mɪθ,i.mɪθ,imɪθ,imɪθ,imɪθ,imɪθ
i.mɪð,i.mɪð,imɪð,imɪð,imɪð,imɪð
i.nɪm,i.nɪm,inɪm,inɪm,inɪm,inɪm
i.nɪn,i.nɪn,inɪn,inɪn,inɪn,inɪn
i.nɪŋ,i.nɪŋ,inɪŋ,inɪŋ,inɪŋ,inɪŋ
i.nɪp,i.nɪp,inɪp,inɪp,inɪp,inɪp
i.nɪt,i.nɪt,inɪt,inɪt,inɪt,inɪt
i.nɪk,i.nɪk,inɪk,inɪk,inɪk,inɪk
i.nɪb,i.nɪb,inɪb,inɪb,inɪb,inɪb
i.nɪd,i.nɪd,inɪd,inɪd,inɪd,inɪd
i.nɪg,i.nɪg,inɪg,inɪg,inɪg,inɪg
i.nɪf,i.nɪf,inɪf,inɪf,inɪf,inɪf
i.nɪs,i.nɪs,inɪs,inɪs,inɪs,inɪs
i.nɪv,i.nɪv,inɪv,inɪv,inɪv,inɪv
i.nɪz,i.nɪz,inɪz,inɪz,inɪz,inɪz
i.nɪʃ,i.nɪʃ,inɪʃ,inɪʃ,inɪʃ,inɪʃ
i.nɪʒ,i.nɪʒ,inɪʒ,inɪʒ,inɪʒ,inɪʒ
i.nɪθ,i.nɪθ,inɪθ,inɪθ,inɪθ,inɪθ
i.nɪð,i.nɪð,inɪð,inɪð,inɪð,inɪð
i.pɪm,i.pɪm,ipɪm,ipɪm,ipɪm,ipɪm
i.pɪn,i.pɪn,ipɪn,ipɪn,ipɪn,ipɪn
i.pɪŋ,i.pɪŋ,ipɪŋ,ipɪŋ,ipɪŋ,ipɪŋ
i.pɪp,i.pɪp,ipɪp,ipɪp,ipɪp,ipɪp
i.pɪt,i.pɪt,ipɪt,ipɪt,ipɪt,ipɪt
i.pɪk,i.pɪk,ipɪk,ipɪk,ipɪk,ipɪk
i.pɪb,i.pɪb,ipɪb,ipɪb,ipɪb,ipɪb
i.pɪd,i.pɪd,ipɪd,ipɪd,ipɪd,ipɪd
i.pɪg,i.pɪg,ipɪg,ipɪg,ipɪg,ipɪg
i.pɪf,i.pɪf,ipɪf,ipɪf,ipɪf,ipɪf
i.pɪs,i.pɪs,ipɪs,ipɪs,ipɪs,ipɪs
i.pɪv,i.pɪv,ipɪv,ipɪv,ipɪv,ipɪv
i.pɪz,i.pɪz,ipɪz,ipɪz,ipɪz,ipɪz
i.pɪʃ,i.pɪʃ,ipɪʃ,ipɪʃ,ipɪʃ,ipɪʃ
i.pɪʒ,i.pɪʒ,ipɪʒ,ipɪʒ,ipɪʒ,ipɪʒ
i.pɪθ,i.pɪθ,ipɪθ,ipɪθ,ipɪθ,ipɪθ
i.pɪð,i.pɪð,ipɪð,ipɪð,ipɪð,ipɪð
i.tɪm,i.tɪm,itɪm,itɪm,itɪm,itɪm
i.tɪn,i.tɪn,itɪn,itɪn,itɪn,itɪn
i.tɪŋ,i.tɪŋ,itɪŋ,itɪŋ,itɪŋ,itɪŋ
i.tɪp,i.tɪp,itɪp,itɪp,itɪp,itɪp
i.tɪt,i.tɪt,itɪt,itɪt,itɪt,itɪt
i.tɪk,i.tɪk,itɪk,itɪk,itɪk,itɪk
i.tɪb,i.tɪb,itɪb,itɪb,itɪb,itɪb
i.tɪd,i.tɪd,itɪd,itɪd,itɪd,itɪd
i.tɪg,i.tɪg,itɪg,itɪg,itɪg,itɪg
i.tɪf,i.tɪf,itɪf,itɪf,itɪf,itɪf
i.tɪs,i.tɪs,itɪs,itɪs,itɪs,itɪs
i.tɪv,i.tɪv,itɪv,itɪv,itɪv,itɪv
i.tɪz,i.tɪz,itɪz,itɪz,itɪz,itɪz
i.tɪʃ,i.tɪʃ,itɪʃ,itɪʃ,itɪʃ,itɪʃ
i.tɪʒ,i.tɪʒ,itɪʒ,itɪʒ,itɪʒ,itɪʒ
i.tɪθ,i.tɪθ,itɪθ,itɪθ,itɪθ,itɪθ
i.tɪð,i.tɪð,itɪð,itɪð,itɪð,itɪð
i.kɪm,i.kɪm,ikɪm,ikɪm,ikɪm,ikɪm
i.kɪn,i.kɪn,ikɪn,ikɪn,ikɪn,ikɪn
i.kɪŋ,i.kɪŋ,ikɪŋ,ikɪŋ,ikɪŋ,ikɪŋ
i.kɪp,i.kɪp,ikɪp,ikɪp,ikɪp,ikɪp
i.kɪt,i.kɪt,ikɪt,ikɪt,ikɪt,ikɪt
i.kɪk,i.kɪk,ikɪk,ikɪk,ikɪk,ikɪk
i.kɪb,i.kɪb,ikɪb,ikɪb,ikɪb,ikɪb
i.kɪd,i.kɪd,ikɪd,ikɪd,ikɪd,ikɪd
i.kɪg,i.kɪg,ikɪg,ikɪg,ikɪg,ikɪg
i.kɪf,i.kɪf,ikɪf,ikɪf,ikɪf,ikɪf
i.kɪs,i.kɪs,ikɪs,ikɪs,ikɪs,ikɪs
i.kɪv,i.kɪv,ikɪv,ikɪv,ikɪv,ikɪv
i.kɪz,i.kɪz,ikɪz,ikɪz,ikɪz,ikɪz
i.kɪʃ,i.kɪʃ,ikɪʃ,ikɪʃ,ikɪʃ,ikɪʃ
i.kɪʒ,i.kɪʒ,ikɪʒ,ikɪʒ,ikɪʒ,ikɪʒ
i.kɪθ,i.kɪθ,ikɪθ,ikɪθ,ikɪθ,ikɪθ
i.kɪð,i.kɪð,ikɪð,ikɪð,ikɪð,ikɪð
i.bɪm,i.bɪm,ibɪm,ibɪm,ibɪm,ibɪm
i.bɪn,i.bɪn,ibɪn,ibɪn,ibɪn,ibɪn
i.bɪŋ,i.bɪŋ,ibɪŋ,ibɪŋ,ibɪŋ,ibɪŋ
i.bɪp,i.bɪp,ibɪp,ibɪp,ibɪp,ibɪp
i.bɪt,i.bɪt,ibɪt,ibɪt,ibɪt,ibɪt
i.bɪk,i.bɪk,ibɪk,ibɪk,ibɪk,ibɪk
i.bɪb,i.bɪb,ibɪb,ibɪb,ibɪb,ibɪb
i.bɪd,i.bɪd,ibɪd,ibɪd,ibɪd,ibɪd
i.bɪg,i.bɪg,ibɪg,ibɪg,ibɪg,ibɪg
i.bɪf,i.bɪf,ibɪf,ibɪf,ibɪf,ibɪf
i.bɪs,i.bɪs,ibɪs,ibɪs,ibɪs,ibɪs
i.bɪv,i.bɪv,ibɪv,ibɪv,ibɪv,ibɪv
i.bɪz,i.bɪz,ibɪz,ibɪz,ibɪz,ibɪz
i.bɪʃ,i.bɪʃ,ibɪʃ,ibɪʃ,ibɪʃ,ibɪʃ
i.bɪʒ,i.bɪʒ,ibɪʒ,ibɪʒ,ibɪʒ,ibɪʒ
i.bɪθ,i.bɪθ,ibɪθ,ibɪθ,ibɪθ,ibɪθ
i.bɪð,i.bɪð,ibɪð,ibɪð,ibɪð,ibɪð
i.dɪm,i.dɪm,idɪm,idɪm,idɪm,idɪm
i.dɪn,i.dɪn,idɪn,idɪn,idɪn,idɪn
i.dɪŋ,i.dɪŋ,idɪŋ,idɪŋ,idɪŋ,idɪŋ
i.dɪp,i.dɪp,idɪp,idɪp,idɪp,idɪp
i.dɪt,i.dɪt,idɪt,idɪt,idɪt,idɪt
i.dɪk,i.dɪk,idɪk,idɪk,idɪk,idɪk
i.dɪb,i.dɪb,idɪb,idɪb,idɪb,idɪb
i.dɪd,i.dɪd,idɪd,idɪd,idɪd,idɪd
i.dɪg,i.dɪg,idɪg,idɪg,idɪg,idɪg
i.dɪf,i.dɪf,idɪf,idɪf,idɪf,idɪf
i.dɪs,i.dɪs,idɪs,idɪs,idɪs,idɪs
i.dɪv,i.dɪv,idɪv,idɪv,idɪv,idɪv
i.dɪz,i.dɪz,idɪz,idɪz,idɪz,idɪz
i.dɪʃ,i.dɪʃ,idɪʃ,idɪʃ,idɪʃ,idɪʃ
i.dɪʒ,i.dɪʒ,idɪʒ,idɪʒ,idɪʒ,idɪʒ
i.dɪθ,i.dɪθ,idɪθ,idɪθ,idɪθ,idɪθ
i.dɪð,i.dɪð,idɪð,idɪð,idɪð,idɪð
i.gɪm,i.gɪm,igɪm,igɪm,igɪm,igɪm
i.gɪn,i.gɪn,igɪn,igɪn,igɪn,igɪn
i.gɪŋ,i.gɪŋ,igɪŋ,igɪŋ,igɪŋ,igɪŋ
i.gɪp,i.gɪp,igɪp,igɪp,igɪp,igɪp
i.gɪt,i.gɪt,igɪt,igɪt,igɪt,igɪt
i.gɪk,i.gɪk,igɪk,igɪk,igɪk,igɪk
i.gɪb,i.gɪb,igɪb,igɪb,igɪb,igɪb
i.gɪd,i.gɪd,igɪd,igɪd,igɪd,igɪd
i.gɪg,i.gɪg,igɪg,igɪg,igɪg,igɪg
i.gɪf,i.gɪf,igɪf,igɪf,igɪf,igɪf
i.gɪs,i.gɪs,igɪs,igɪs,igɪs,igɪs
i.gɪv,i.gɪv,igɪv,igɪv,igɪv,igɪv
i.gɪz,i.gɪz,igɪz,igɪz,igɪz,igɪz
i.gɪʃ,i.gɪʃ,igɪʃ,igɪʃ,igɪʃ,igɪʃ
i.gɪʒ,i.gɪʒ,igɪʒ,igɪʒ,igɪʒ,igɪʒ
i.gɪθ,i.gɪθ,igɪθ,igɪθ,igɪθ,igɪθ
i.gɪð,i.gɪð,igɪð,igɪð,igɪð,igɪð
i.fɪm,i.fɪm,ifɪm,ifɪm,ifɪm,ifɪm
i.fɪn,i.fɪn,ifɪn,ifɪn,ifɪn,ifɪn
i.fɪŋ,i.fɪŋ,ifɪŋ,ifɪŋ,ifɪŋ,ifɪŋ
i.fɪp,i.fɪp,ifɪp,ifɪp,ifɪp,ifɪp
i.fɪt,i.fɪt,ifɪt,ifɪt,ifɪt,ifɪt
i.fɪk,i.fɪk,ifɪk,ifɪk,ifɪk,ifɪk
i.fɪb,i.fɪb,ifɪb,ifɪb,ifɪb,ifɪb
i.fɪd,i.fɪd,ifɪd,ifɪd,ifɪd,ifɪd
i.fɪg,i.fɪg,ifɪg,ifɪg,ifɪg,ifɪg
i.fɪf,i.fɪf,ifɪf,ifɪf,ifɪf,ifɪf
i.fɪs,i.fɪs,ifɪs,ifɪs,ifɪs,ifɪs
i.fɪv,i.fɪv,ifɪv,ifɪv,ifɪv,ifɪv
i.fɪz,i.fɪz,ifɪz,ifɪz,ifɪz,ifɪz
i.fɪʃ,i.fɪʃ,ifɪʃ,ifɪʃ,ifɪʃ,ifɪʃ
i.fɪʒ,i.fɪʒ,ifɪʒ,ifɪʒ,ifɪʒ,ifɪʒ
i.fɪθ,i.fɪθ,ifɪθ,ifɪθ,ifɪθ,ifɪθ
