ur,sr
teɪd,teɪd
teɪg,teɪg
teɪv,teɪv
teɪz,teɪz
teɪʒ,teɪʒ
teɪð,teɪð
tub,tub
tud,tud
tug,tug
tuv,tuv
tuz,tuz
tuʒ,tuʒ
tuð,tuð
toʊb,toʊb
toʊd,toʊd
toʊg,toʊg
toʊv,toʊv
toʊz,toʊz
toʊʒ,toʊʒ
toʊð,toʊð
tɪb,tɪb
tɪd,tɪd
tɪg,tɪg
tɪv,tɪv
tɪz,tɪz
tɪʒ,tɪʒ
tɪð,tɪð
tɛb,tɛb
tɛd,tɛd
tɛg,tɛg
tɛv,tɛv
tɛz,tɛz
tɛʒ,tɛʒ
tɛð,tɛð
tʊb,tʊb
tʊd,tʊd
tʊg,tʊg
tʊv,tʊv
tʊz,tʊz
tʊʒ,tʊʒ
tʊð,tʊð
tɔb,tɔb
tɔd,tɔd
tɔg,tɔg
tɔv,tɔv
tɔz,tɔz
tɔʒ,tɔʒ
tɔð,tɔð
kip,kib
kit,kid
kik,kig
kif,kiv
kis,kiz
kiʃ,kiʒ
kiθ,kið
keɪp,keɪb
keɪt,keɪd
keɪk,keɪg
keɪf,keɪv
keɪs,keɪz
keɪʃ,keɪʒ
keɪθ,keɪð
kup,kub
kut,kud
kuk,kug
kuf,kuv
kus,kuz
kuʃ,kuʒ
kuθ,kuð
koʊp,koʊb
koʊt,koʊd
koʊk,koʊg
koʊf,koʊv
koʊs,koʊz
koʊʃ,koʊʒ
koʊθ,koʊð
kɪp,kɪb
kɪt,kɪd
kɪk,kɪg
kɪf,kɪv
kɪs,kɪz
kɪʃ,kɪʒ
kɪθ,kɪð
kɛp,kɛb
kɛt,kɛd
kɛk,kɛg
kɛf,kɛv
kɛs,kɛz
kɛʃ,kɛʒ
kɛθ,kɛð
kʊp,kʊb
kʊt,kʊd
kʊk,kʊg
kʊf,kʊv
kʊs,kʊz
kʊʃ,kʊʒ
kʊθ,kʊð
kɔp,kɔb
kɔt,kɔd
kɔk,kɔg
kɔf,kɔv
kɔs,kɔz
kɔʃ,kɔʒ
kɔθ,kɔð
kib,kib
kid,kid
kig,kig
kiv,kiv
kiz,kiz
kiʒ,kiʒ
kið,kið
keɪb,keɪb
keɪd,keɪd
keɪg,keɪg
keɪv,keɪv
keɪz,keɪz
keɪʒ,keɪʒ
keɪð,keɪð
kub,kub
kud,kud
kug,kug
kuv,kuv
kuz,kuz
kuʒ,kuʒ
kuð,kuð
koʊb,koʊb
koʊd,koʊd
koʊg,koʊg
koʊv,koʊv
koʊz,koʊz
koʊʒ,koʊʒ
koʊð,koʊð
kɪb,kɪb
kɪd,kɪd
kɪg,kɪg
kɪv,kɪv
kɪz,kɪz
kɪʒ,kɪʒ
kɪð,kɪð
kɛb,kɛb
kɛd,kɛd
kɛg,kɛg
kɛv,kɛv
kɛz,kɛz
kɛʒ,kɛʒ
kɛð,kɛð
kʊb,kʊb
kʊd,kʊd
kʊg,kʊg
kʊv,kʊv
kʊz,kʊz
kʊʒ,kʊʒ
kʊð,kʊð
kɔb,kɔb
kɔd,kɔd
kɔg,kɔg
kɔv,kɔv
kɔz,kɔz
kɔʒ,kɔʒ
kɔð,kɔð
bip,bib
bit,bid
bik,big
bif,biv
bis,biz
biʃ,biʒ
biθ,bið
beɪp,beɪb
beɪt,beɪd
beɪk,beɪg
beɪf,beɪv
beɪs,beɪz
beɪʃ,beɪʒ
beɪθ,beɪð
bup,bub
but,bud
buk,bug
buf,buv
bus,buz
buʃ,buʒ
buθ,buð
boʊp,boʊb
boʊt,boʊd
boʊk,boʊg
boʊf,boʊv
boʊs,boʊz
boʊʃ,boʊʒ
boʊθ,boʊð
bɪp,bɪb
bɪt,bɪd
bɪk,bɪg
bɪf,bɪv
bɪs,bɪz
bɪʃ,bɪʒ
bɪθ,bɪð
bɛp,bɛb
bɛt,bɛd
bɛk,bɛg
bɛf,bɛv
bɛs,bɛz
bɛʃ,bɛʒ
bɛθ,bɛð
bʊp,bʊb
bʊt,bʊd
bʊk,bʊg
bʊf,bʊv
bʊs,bʊz
bʊʃ,bʊʒ
bʊθ,bʊð
bɔp,bɔb
bɔt,bɔd
bɔk,bɔg
bɔf,bɔv
bɔs,bɔz
bɔʃ,bɔʒ
bɔθ,bɔð
bib,bib
bid,bid
big,big
biv,biv
biz,biz
biʒ,biʒ
bið,bið
beɪb,beɪb
beɪd,beɪd
beɪg,beɪg
beɪv,beɪv
beɪz,beɪz
beɪʒ,beɪʒ
beɪð,beɪð
bub,bub
bud,bud
bug,bug
buv,buv
buz,buz
buʒ,buʒ
buð,buð
boʊb,boʊb
boʊd,boʊd
boʊg,boʊg
boʊv,boʊv
boʊz,boʊz
boʊʒ,boʊʒ
boʊð,boʊð
bɪb,bɪb
bɪd,bɪd
bɪg,bɪg
bɪv,bɪv
bɪz,bɪz
bɪʒ,bɪʒ
bɪð,bɪð
bɛb,bɛb
bɛd,bɛd
bɛg,bɛg
bɛv,bɛv
bɛz,bɛz
bɛʒ,bɛʒ
bɛð,bɛð
bʊb,bʊb
bʊd,bʊd
bʊg,bʊg
bʊv,bʊv
bʊz,bʊz
bʊʒ,bʊʒ
bʊð,bʊð
bɔb,bɔb
bɔd,bɔd
bɔg,bɔg
bɔv,bɔv
bɔz,bɔz
bɔʒ,bɔʒ
bɔð,bɔð
dip,dib
dit,did
dik,dig
dif,div
dis,diz
diʃ,diʒ
diθ,dið
deɪp,deɪb
deɪt,deɪd
deɪk,deɪg
deɪf,deɪv
deɪs,deɪz
deɪʃ,deɪʒ
deɪθ,deɪð
dup,dub
dut,dud
duk,dug
duf,duv
dus,duz
duʃ,duʒ
duθ,duð
doʊp,doʊb
doʊt,doʊd
doʊk,doʊg
doʊf,doʊv
doʊs,doʊz
doʊʃ,doʊʒ
doʊθ,doʊð
dɪp,dɪb
dɪt,dɪd
dɪk,dɪg
dɪf,dɪv
dɪs,dɪz
dɪʃ,dɪʒ
dɪθ,dɪð
dɛp,dɛb
dɛt,dɛd
dɛk,dɛg
dɛf,dɛv
dɛs,dɛz
dɛʃ,dɛʒ
dɛθ,dɛð
dʊp,dʊb
dʊt,dʊd
dʊk,dʊg
dʊf,dʊv
dʊs,dʊz
dʊʃ,dʊʒ
dʊθ,dʊð
dɔp,dɔb
dɔt,dɔd
dɔk,dɔg
dɔf,dɔv
dɔs,dɔz
dɔʃ,dɔʒ
dɔθ,dɔð
dib,dib
did,did
dig,dig
div,div
diz,diz
diʒ,diʒ
dið,dið
deɪb,deɪb
deɪd,deɪd
deɪg,deɪg
deɪv,deɪv
deɪz,deɪz
deɪʒ,deɪʒ
deɪð,deɪð
dub,dub
dud,dud
dug,dug
duv,duv
duz,duz
duʒ,duʒ
duð,duð
doʊb,doʊb
doʊd,doʊd
doʊg,doʊg
doʊv,doʊv
doʊz,doʊz
doʊʒ,doʊʒ
doʊð,doʊð
dɪb,dɪb
dɪd,dɪd
dɪg,dɪg
dɪv,dɪv
dɪz,dɪz
dɪʒ,dɪʒ
dɪð,dɪð
dɛb,dɛb
dɛd,dɛd
dɛg,dɛg
dɛv,dɛv
dɛz,dɛz
dɛʒ,dɛʒ
dɛð,dɛð
dʊb,dʊb
dʊd,dʊd
dʊg,dʊg
dʊv,dʊv
dʊz,dʊz
dʊʒ,dʊʒ
dʊð,dʊð
dɔb,dɔb
dɔd,dɔd
dɔg,dɔg
dɔv,dɔv
dɔz,dɔz
dɔʒ,dɔʒ
dɔð,dɔð
gip,gib
git,gid
gik,gig
gif,giv
gis,giz
giʃ,giʒ
giθ,gið
geɪp,geɪb
geɪt,geɪd
geɪk,geɪg
geɪf,geɪv
geɪs,geɪz
geɪʃ,geɪʒ
geɪθ,geɪð
gup,gub
gut,gud
guk,gug
guf,guv
gus,guz
guʃ,guʒ
guθ,guð
goʊp,goʊb
goʊt,goʊd
goʊk,goʊg
goʊf,goʊv
goʊs,goʊz
goʊʃ,goʊʒ
goʊθ,goʊð
gɪp,gɪb
gɪt,gɪd
gɪk,gɪg
gɪf,gɪv
gɪs,gɪz
gɪʃ,gɪʒ
gɪθ,gɪð
gɛp,gɛb
gɛt,gɛd
gɛk,gɛg
gɛf,gɛv
gɛs,gɛz
gɛʃ,gɛʒ
gɛθ,gɛð
gʊp,gʊb
gʊt,gʊd
gʊk,gʊg
gʊf,gʊv
gʊs,gʊz
gʊʃ,gʊʒ
gʊθ,gʊð
gɔp,gɔb
gɔt,gɔd
gɔk,gɔg
gɔf,gɔv
gɔs,gɔz
gɔʃ,gɔʒ
gɔθ,gɔð
gib,gib
gid,gid
gig,gig
giv,giv
giz,giz
giʒ,giʒ
gið,gið
geɪb,geɪb
geɪd,geɪd
geɪg,geɪg
geɪv,geɪv
geɪz,geɪz
geɪʒ,geɪʒ
geɪð,geɪð
gub,gub
gud,gud
gug,gug
guv,guv
guz,guz
guʒ,guʒ
guð,guð
goʊb,goʊb
goʊd,goʊd
goʊg,goʊg
goʊv,goʊv
goʊz,goʊz
goʊʒ,goʊʒ
goʊð,goʊð
gɪb,gɪb
gɪd,gɪd
gɪg,gɪg
gɪv,gɪv
gɪz,gɪz
gɪʒ,gɪʒ
gɪð,gɪð
gɛb,gɛb
gɛd,gɛd
gɛg,gɛg
gɛv,gɛv
gɛz,gɛz
gɛʒ,gɛʒ
gɛð,gɛð
gʊb,gʊb
gʊd,gʊd
gʊg,gʊg
gʊv,gʊv
gʊz,gʊz
gʊʒ,gʊʒ
gʊð,gʊð
gɔb,gɔb
gɔd,gɔd
gɔg,gɔg
gɔv,gɔv
gɔz,gɔz
gɔʒ,gɔʒ
gɔð,gɔð
fip,fib
fit,fid
fik,fig
fif,fiv
fis,fiz
fiʃ,fiʒ
fiθ,fið
feɪp,feɪb
feɪt,feɪd
feɪk,feɪg
feɪf,feɪv
feɪs,feɪz
feɪʃ,feɪʒ
feɪθ,feɪð
fup,fub
fut,fud
fuk,fug
fuf,fuv
fus,fuz
fuʃ,fuʒ
fuθ,fuð
foʊp,foʊb
foʊt,foʊd
foʊk,foʊg
foʊf,foʊv
foʊs,foʊz
foʊʃ,foʊʒ
foʊθ,foʊð
fɪp,fɪb
fɪt,fɪd
fɪk,fɪg
fɪf,fɪv
fɪs,fɪz
fɪʃ,fɪʒ
fɪθ,fɪð
fɛp,fɛb
fɛt,fɛd
fɛk,fɛg
fɛf,fɛv
fɛs,fɛz
fɛʃ,fɛʒ
fɛθ,fɛð
fʊp,fʊb
fʊt,fʊd
fʊk,fʊg
fʊf,fʊv
fʊs,fʊz
fʊʃ,fʊʒ
fʊθ,fʊð
fɔp,fɔb
fɔt,fɔd
fɔk,fɔg
fɔf,fɔv
fɔs,fɔz
fɔʃ,fɔʒ
fɔθ,fɔð
fib,fib
fid,fid
fig,fig
fiv,fiv
fiz,fiz
fiʒ,fiʒ
fið,fið
feɪb,feɪb
feɪd,feɪd
feɪg,feɪg
feɪv,feɪv
feɪz,feɪz
feɪʒ,feɪʒ
feɪð,feɪð
fub,fub
fud,fud
fug,fug
fuv,fuv
fuz,fuz
fuʒ,fuʒ
fuð,fuð
foʊb,foʊb
foʊd,foʊd
foʊg,foʊg
foʊv,foʊv
foʊz,foʊz
foʊʒ,foʊʒ
foʊð,foʊð
fɪb,fɪb
fɪd,fɪd
fɪg,fɪg
fɪv,fɪv
fɪz,fɪz
fɪʒ,fɪʒ
fɪð,fɪð
fɛb,fɛb
fɛd,fɛd
fɛg,fɛg
fɛv,fɛv
fɛz,fɛz
fɛʒ,fɛʒ
fɛð,fɛð
fʊb,fʊb
fʊd,fʊd
fʊg,fʊg
fʊv,fʊv
fʊz,fʊz
fʊʒ,fʊʒ
fʊð,fʊð
fɔb,fɔb
fɔd,fɔd
fɔg,fɔg
fɔv,fɔv
fɔz,fɔz
fɔʒ,fɔʒ
fɔð,fɔð
sip,sib
sit,sid
sik,sig
sif,siv
sis,siz
siʃ,siʒ
siθ,sið
seɪp,seɪb
seɪt,seɪd
seɪk,seɪg
seɪf,seɪv
seɪs,seɪz
seɪʃ,seɪʒ
seɪθ,seɪð
sup,sub
sut,sud
suk,sug
suf,suv
sus,suz
suʃ,suʒ
suθ,suð
soʊp,soʊb
soʊt,soʊd
soʊk,soʊg
soʊf,soʊv
soʊs,soʊz
soʊʃ,soʊʒ
soʊθ,soʊð
sɪp,sɪb
sɪt,sɪd
sɪk,sɪg
sɪf,sɪv
sɪs,sɪz
sɪʃ,sɪʒ
sɪθ,sɪð
sɛp,sɛb
sɛt,sɛd
sɛk,sɛg
sɛf,sɛv
sɛs,sɛz
sɛʃ,sɛʒ
sɛθ,sɛð
sʊp,sʊb
sʊt,sʊd
sʊk,sʊg
sʊf,sʊv
sʊs,sʊz
sʊʃ,sʊʒ
sʊθ,sʊð
sɔp,sɔb
sɔt,sɔd
sɔk,sɔg
sɔf,sɔv
sɔs,sɔz
sɔʃ,sɔʒ
sɔθ,sɔð
sib,sib
sid,sid
sig,sig
siv,siv
siz,siz
siʒ,siʒ
sið,sið
seɪb,seɪb
seɪd,seɪd
seɪg,seɪg
seɪv,seɪv
seɪz,seɪz
seɪʒ,seɪʒ
seɪð,seɪð
sub,sub
sud,sud
sug,sug
suv,suv
suz,suz
suʒ,suʒ
suð,suð
soʊb,soʊb
soʊd,soʊd
soʊg,soʊg
soʊv,soʊv
soʊz,soʊz
soʊʒ,soʊʒ
soʊð,soʊð
sɪb,sɪb
sɪd,sɪd
sɪg,sɪg
sɪv,sɪv
sɪz,sɪz
sɪʒ,sɪʒ
sɪð,sɪð
sɛb,sɛb
sɛd,sɛd
sɛg,sɛg
sɛv,sɛv
sɛz,sɛz
sɛʒ,sɛʒ
sɛð,sɛð
sʊb,sʊb
sʊd,sʊd
sʊg,sʊg
sʊv,sʊv
sʊz,sʊz
sʊʒ,sʊʒ
sʊð,sʊð
sɔb,sɔb
sɔd,sɔd
sɔg,sɔg
sɔv,sɔv
sɔz,sɔz
sɔʒ,sɔʒ
sɔð,sɔð
vip,vib
vit,vid
vik,vig
vif,viv
vis,viz
viʃ,viʒ
viθ,við
veɪp,veɪb
veɪt,veɪd
veɪk,veɪg
veɪf,veɪv
veɪs,veɪz
veɪʃ,veɪʒ
veɪθ,veɪð
vup,vub
vut,vud
vuk,vug
vuf,vuv
vus,vuz
vuʃ,vuʒ
vuθ,vuð
voʊp,voʊb
voʊt,voʊd
voʊk,voʊg
voʊf,voʊv
voʊs,voʊz
voʊʃ,voʊʒ
voʊθ,voʊð
vɪp,vɪb
vɪt,vɪd
vɪk,vɪg
vɪf,vɪv
vɪs,vɪz
vɪʃ,vɪʒ
vɪθ,vɪð
vɛp,vɛb
vɛt,vɛd
vɛk,vɛg
vɛf,vɛv
vɛs,vɛz
vɛʃ,vɛʒ
vɛθ,vɛð
vʊp,vʊb
vʊt,vʊd
vʊk,vʊg
vʊf,vʊv
vʊs,vʊz
vʊʃ,vʊʒ
vʊθ,vʊð
vɔp,vɔb
vɔt,vɔd
vɔk,vɔg
vɔf,vɔv
vɔs,vɔz
vɔʃ,vɔʒ
vɔθ,vɔð
vib,vib
vid,vid
vig,vig
viv,viv
viz,viz
viʒ,viʒ
við,við
veɪb,veɪb
veɪd,veɪd
veɪg,veɪg
veɪv,veɪv
veɪz,veɪz
veɪʒ,veɪʒ
veɪð,veɪð
vub,vub
vud,vud
vug,vug
vuv,vuv
vuz,vuz
vuʒ,vuʒ
vuð,vuð
voʊb,voʊb
voʊd,voʊd
voʊg,voʊg
voʊv,voʊv
voʊz,voʊz
voʊʒ,voʊʒ
voʊð,voʊð
vɪb,vɪb
vɪd,vɪd
vɪg,vɪg
vɪv,vɪv
vɪz,vɪz
vɪʒ,vɪʒ
vɪð,vɪð
vɛb,vɛb
vɛd,vɛd
vɛg,vɛg
vɛv,vɛv
vɛz,vɛz
vɛʒ,vɛʒ
vɛð,vɛð
vʊb,vʊb
vʊd,vʊd
vʊg,vʊg
vʊv,vʊv
vʊz,vʊz
vʊʒ,vʊʒ
vʊð,vʊð
vɔb,vɔb
vɔd,vɔd
vɔg,vɔg
vɔv,vɔv
vɔz,vɔz
vɔʒ,vɔʒ
vɔð,vɔð
zip,zib
zit,zid
zik,zig
zif,ziv
zis,ziz
ziʃ,ziʒ
ziθ,zið
zeɪp,zeɪb
zeɪt,zeɪd
zeɪk,zeɪg
zeɪf,zeɪv
zeɪs,zeɪz
zeɪʃ,zeɪʒ
zeɪθ,zeɪð
zup,zub
zut,zud
zuk,zug
zuf,zuv
zus,zuz
zuʃ,zuʒ
zuθ,zuð
zoʊp,zoʊb
zoʊt,zoʊd
zoʊk,zoʊg
zoʊf,zoʊv
zoʊs,zoʊz
zoʊʃ,zoʊʒ
zoʊθ,zoʊð
zɪp,zɪb
zɪt,zɪd
zɪk,zɪg
zɪf,zɪv
zɪs,zɪz
zɪʃ,zɪʒ
zɪθ,zɪð
zɛp,zɛb
zɛt,zɛd
zɛk,zɛg
zɛf,zɛv
zɛs,zɛz
zɛʃ,zɛʒ
zɛθ,zɛð
zʊp,zʊb
zʊt,zʊd
zʊk,zʊg
zʊf,zʊv
zʊs,zʊz
zʊʃ,zʊʒ
zʊθ,zʊð
zɔp,zɔb
zɔt,zɔd
zɔk,zɔg
zɔf,zɔv
zɔs,zɔz
zɔʃ,zɔʒ
zɔθ,zɔð
zib,zib
zid,zid
zig,zig
ziv,ziv
ziz,ziz
ziʒ,ziʒ
zið,zið
zeɪb,zeɪb
zeɪd,zeɪd
zeɪg,zeɪg
zeɪv,zeɪv
zeɪz,zeɪz
zeɪʒ,zeɪʒ
zeɪð,zeɪð
zub,zub
zud,zud
zug,zug
zuv,zuv
zuz,zuz
zuʒ,zuʒ
zuð,zuð
zoʊb,zoʊb
zoʊd,zoʊd
zoʊg,zoʊg
zoʊv,zoʊv
zoʊz,zoʊz
zoʊʒ,zoʊʒ
zoʊð,zoʊð
zɪb,zɪb
zɪd,zɪd
zɪg,zɪg
zɪv,zɪv
zɪz,zɪz
zɪʒ,zɪʒ
zɪð,zɪð
zɛb,zɛb
zɛd,zɛd
zɛg,zɛg
zɛv,zɛv
zɛz,zɛz
zɛʒ,zɛʒ
zɛð,zɛð
zʊb,zʊb
zʊd,zʊd
zʊg,zʊg
zʊv,zʊv
zʊz,zʊz
zʊʒ,zʊʒ
zʊð,zʊð
zɔb,zɔb
zɔd,zɔd
zɔg,zɔg
zɔv,zɔv
zɔz,zɔz
zɔʒ,zɔʒ
zɔð,zɔð
ʃip,ʃib
ʃit,ʃid
ʃik,ʃig
ʃif,ʃiv
ʃis,ʃiz
ʃiʃ,ʃiʒ
ʃiθ,ʃið
ʃeɪp,ʃeɪb
ʃeɪt,ʃeɪd
ʃeɪk,ʃeɪg
ʃeɪf,ʃeɪv
ʃeɪs,ʃeɪz
ʃeɪʃ,ʃeɪʒ
ʃeɪθ,ʃeɪð
ʃup,ʃub
ʃut,ʃud
ʃuk,ʃug
ʃuf,ʃuv
ʃus,ʃuz
ʃuʃ,ʃuʒ
ʃuθ,ʃuð
ʃoʊp,ʃoʊb
ʃoʊt,ʃoʊd
ʃoʊk,ʃoʊg
ʃoʊf,ʃoʊv
ʃoʊs,ʃoʊz
ʃoʊʃ,ʃoʊʒ
ʃoʊθ,ʃoʊð
ʃɪp,ʃɪb
ʃɪt,ʃɪd
ʃɪk,ʃɪg
ʃɪf,ʃɪv
ʃɪs,ʃɪz
ʃɪʃ,ʃɪʒ
ʃɪθ,ʃɪð
ʃɛp,ʃɛb
ʃɛt,ʃɛd
ʃɛk,ʃɛg
ʃɛf,ʃɛv
ʃɛs,ʃɛz
ʃɛʃ,ʃɛʒ
ʃɛθ,ʃɛð
ʃʊp,ʃʊb
ʃʊt,ʃʊd
ʃʊk,ʃʊg
ʃʊf,ʃʊv
ʃʊs,ʃʊz
ʃʊʃ,ʃʊʒ
ʃʊθ,ʃʊð
ʃɔp,ʃɔb
ʃɔt,ʃɔd
ʃɔk,ʃɔg
ʃɔf,ʃɔv
ʃɔs,ʃɔz
ʃɔʃ,ʃɔʒ
ʃɔθ,ʃɔð
ʃib,ʃib
ʃid,ʃid
ʃig,ʃig
ʃiv,ʃiv
ʃiz,ʃiz
ʃiʒ,ʃiʒ
ʃið,ʃið
ʃeɪb,ʃeɪb
ʃeɪd,ʃeɪd
ʃeɪg,ʃeɪg
ʃeɪv,ʃeɪv
ʃeɪz,ʃeɪz
ʃeɪʒ,ʃeɪʒ
ʃeɪð,ʃeɪð
ʃub,ʃub
ʃud,ʃud
ʃug,ʃug
ʃuv,ʃuv
ʃuz,ʃuz
ʃuʒ,ʃuʒ
ʃuð,ʃuð
ʃoʊb,ʃoʊb
ʃoʊd,ʃoʊd
ʃoʊg,ʃoʊg
ʃoʊv,ʃoʊv
ʃoʊz,ʃoʊz
ʃoʊʒ,ʃoʊʒ
ʃoʊð,ʃoʊð
ʃɪb,ʃɪb
ʃɪd,ʃɪd
ʃɪg,ʃɪg
ʃɪv,ʃɪv
ʃɪz,ʃɪz
ʃɪʒ,ʃɪʒ
ʃɪð,ʃɪð
ʃɛb,ʃɛb
ʃɛd,ʃɛd
ʃɛg,ʃɛg
ʃɛv,ʃɛv
ʃɛz,ʃɛz
ʃɛʒ,ʃɛʒ
ʃɛð,ʃɛð
ʃʊb,ʃʊb
ʃʊd,ʃʊd
ʃʊg,ʃʊg
ʃʊv,ʃʊv
ʃʊz,ʃʊz
ʃʊʒ,ʃʊʒ
ʃʊð,ʃʊð
ʃɔb,ʃɔb
ʃɔd,ʃɔd
ʃɔg,ʃɔg
ʃɔv,ʃɔv
ʃɔz,ʃɔz
ʃɔʒ,ʃɔʒ
ʃɔð,ʃɔð
ʒip,ʒib
ʒit,ʒid
ʒik,ʒig
ʒif,ʒiv
ʒis,ʒiz
ʒiʃ,ʒiʒ
ʒiθ,ʒið
ʒeɪp,ʒeɪb
ʒeɪt,ʒeɪd
ʒeɪk,ʒeɪg
ʒeɪf,ʒeɪv
ʒeɪs,ʒeɪz
ʒeɪʃ,ʒeɪʒ
ʒeɪθ,ʒeɪð
ʒup,ʒub
ʒut,ʒud
ʒuk,ʒug
ʒuf,ʒuv
ʒus,ʒuz
ʒuʃ,ʒuʒ
ʒuθ,ʒuð
ʒoʊp,ʒoʊb
ʒoʊt,ʒoʊd
ʒoʊk,ʒoʊg
