ur_syll,sr_syll,ur_string,sr_string
u.di,i.di,udi,idi
u.gi,i.gi,ugi,igi
u.fi,i.fi,ufi,ifi
u.si,i.si,usi,isi
u.vi,i.vi,uvi,ivi
u.zi,i.zi,uzi,izi
u.ʃi,i.ʃi,uʃi,iʃi
u.ʒi,i.ʒi,uʒi,iʒi
u.θi,i.θi,uθi,iθi
u.ði,i.ði,uði,iði
u.hi,i.hi,uhi,ihi
u.me,i.me,ume,ime
u.ne,i.ne,une,ine
u.pe,i.pe,upe,ipe
u.te,i.te,ute,ite
u.ke,i.ke,uke,ike
u.be,i.be,ube,ibe
u.de,i.de,ude,ide
u.ge,i.ge,uge,ige
u.fe,i.fe,ufe,ife
u.se,i.se,use,ise
u.ve,i.ve,uve,ive
u.ze,i.ze,uze,ize
u.ʃe,i.ʃe,uʃe,iʃe
u.ʒe,i.ʒe,uʒe,iʒe
u.θe,i.θe,uθe,iθe
u.ðe,i.ðe,uðe,iðe
u.he,i.he,uhe,ihe
u.mu,i.mu,umu,imu
u.nu,i.nu,unu,inu
u.pu,i.pu,upu,ipu
u.tu,i.tu,utu,itu
u.ku,i.ku,uku,iku
u.bu,i.bu,ubu,ibu
u.du,i.du,udu,idu
u.gu,i.gu,ugu,igu
u.fu,i.fu,ufu,ifu
u.su,i.su,usu,isu
u.vu,i.vu,uvu,ivu
u.zu,i.zu,uzu,izu
u.ʃu,i.ʃu,uʃu,iʃu
u.ʒu,i.ʒu,uʒu,iʒu
u.θu,i.θu,uθu,iθu
u.ðu,i.ðu,uðu,iðu
u.hu,i.hu,uhu,ihu
u.mo,i.mo,umo,imo
u.no,i.no,uno,ino
u.po,i.po,upo,ipo
u.to,i.to,uto,ito
u.ko,i.ko,uko,iko
u.bo,i.bo,ubo,ibo
u.do,i.do,udo,ido
u.go,i.go,ugo,igo
u.fo,i.fo,ufo,ifo
u.so,i.so,uso,iso
u.vo,i.vo,uvo,ivo
u.zo,i.zo,uzo,izo
u.ʃo,i.ʃo,uʃo,iʃo
u.ʒo,i.ʒo,uʒo,iʒo
u.θo,i.θo,uθo,iθo
u.ðo,i.ðo,uðo,iðo
u.ho,i.ho,uho,iho
o.mi,e.mi,omi,emi
o.ni,e.ni,oni,eni
o.pi,e.pi,opi,epi
o.ti,e.ti,oti,eti
o.ki,e.ki,oki,eki
o.bi,e.bi,obi,ebi
o.di,e.di,odi,edi
o.gi,e.gi,ogi,egi
o.fi,e.fi,ofi,efi
o.si,e.si,osi,esi
o.vi,e.vi,ovi,evi
o.zi,e.zi,ozi,ezi
o.ʃi,e.ʃi,oʃi,eʃi
o.ʒi,e.ʒi,oʒi,eʒi
o.θi,e.θi,oθi,eθi
o.ði,e.ði,oði,eði
o.hi,e.hi,ohi,ehi
o.me,e.me,ome,eme
o.ne,e.ne,one,ene
o.pe,e.pe,ope,epe
o.te,e.te,ote,ete
o.ke,e.ke,oke,eke
o.be,e.be,obe,ebe
o.de,e.de,ode,ede
o.ge,e.ge,oge,ege
o.fe,e.fe,ofe,efe
o.se,e.se,ose,ese
o.ve,e.ve,ove,eve
o.ze,e.ze,oze,eze
o.ʃe,e.ʃe,oʃe,eʃe
o.ʒe,e.ʒe,oʒe,eʒe
o.θe,e.θe,oθe,eθe
o.ðe,e.ðe,oðe,eðe
o.he,e.he,ohe,ehe
o.mu,e.mu,omu,emu
o.nu,e.nu,onu,enu
o.pu,e.pu,opu,epu
o.tu,e.tu,otu,etu
o.ku,e.ku,oku,eku
o.bu,e.bu,obu,ebu
o.du,e.du,odu,edu
o.gu,e.gu,ogu,egu
o.fu,e.fu,ofu,efu
o.su,e.su,osu,esu
o.vu,e.vu,ovu,evu
o.zu,e.zu,ozu,ezu
o.ʃu,e.ʃu,oʃu,eʃu
o.ʒu,e.ʒu,oʒu,eʒu
o.θu,e.θu,oθu,eθu
o.ðu,e.ðu,oðu,eðu
o.hu,e.hu,ohu,ehu
o.mo,e.mo,omo,emo
o.no,e.no,ono,eno
o.po,e.po,opo,epo
o.to,e.to,oto,eto
o.ko,e.ko,oko,eko
o.bo,e.bo,obo,ebo
o.do,e.do,odo,edo
o.go,e.go,ogo,ego
o.fo,e.fo,ofo,efo
o.so,e.so,oso,eso
o.vo,e.vo,ovo,evo
o.zo,e.zo,ozo,ezo
o.ʃo,e.ʃo,oʃo,eʃo
o.ʒo,e.ʒo,oʒo,eʒo
o.θo,e.θo,oθo,eθo
o.ðo,e.ðo,oðo,eðo
o.ho,e.ho,oho,eho
i.mɪm,u.mɪm,imɪm,umɪm
i.mɪn,u.mɪn,imɪn,umɪn
i.mɪŋ,u.mɪŋ,imɪŋ,umɪŋ
i.mɪp,u.mɪp,imɪp,umɪp
i.mɪt,u.mɪt,imɪt,umɪt
i.mɪk,u.mɪk,imɪk,umɪk
i.mɪb,u.mɪb,imɪb,umɪb
i.mɪd,u.mɪd,imɪd,umɪd
i.mɪg,u.mɪg,imɪg,umɪg
i.mɪf,u.mɪf,imɪf,umɪf
i.mɪs,u.mɪs,imɪs,umɪs
i.mɪv,u.mɪv,imɪv,umɪv
i.mɪz,u.mɪz,imɪz,umɪz
i.mɪʃ,u.mɪʃ,imɪʃ,umɪʃ
i.mɪʒ,u.mɪʒ,imɪʒ,umɪʒ
i.mɪθ,u.mɪθ,imɪθ,umɪθ
i.mɪð,u.mɪð,imɪð,umɪð
i.nɪm,u.nɪm,inɪm,unɪm
i.nɪn,u.nɪn,inɪn,unɪn
i.nɪŋ,u.nɪŋ,inɪŋ,unɪŋ
i.nɪp,u.nɪp,inɪp,unɪp
i.nɪt,u.nɪt,inɪt,unɪt
i.nɪk,u.nɪk,inɪk,unɪk
i.nɪb,u.nɪb,inɪb,unɪb
i.nɪd,u.nɪd,inɪd,unɪd
i.nɪg,u.nɪg,inɪg,unɪg
i.nɪf,u.nɪf,inɪf,unɪf
i.nɪs,u.nɪs,inɪs,unɪs
i.nɪv,u.nɪv,inɪv,unɪv
i.nɪz,u.nɪz,inɪz,unɪz
i.nɪʃ,u.nɪʃ,inɪʃ,unɪʃ
i.nɪʒ,u.nɪʒ,inɪʒ,unɪʒ
i.nɪθ,u.nɪθ,inɪθ,unɪθ
i.nɪð,u.nɪð,inɪð,unɪð
i.pɪm,u.pɪm,ipɪm,upɪm
i.pɪn,u.pɪn,ipɪn,upɪn
i.pɪŋ,u.pɪŋ,ipɪŋ,upɪŋ
i.pɪp,u.pɪp,ipɪp,upɪp
i.pɪt,u.pɪt,ipɪt,upɪt
i.pɪk,u.pɪk,ipɪk,upɪk
i.pɪb,u.pɪb,ipɪb,upɪb
i.pɪd,u.pɪd,ipɪd,upɪd
i.pɪg,u.pɪg,ipɪg,upɪg
i.pɪf,u.pɪf,ipɪf,upɪf
i.pɪs,u.pɪs,ipɪs,upɪs
i.pɪv,u.pɪv,ipɪv,upɪv
i.pɪz,u.pɪz,ipɪz,upɪz
i.pɪʃ,u.pɪʃ,ipɪʃ,upɪʃ
i.pɪʒ,u.pɪʒ,ipɪʒ,upɪʒ
i.pɪθ,u.pɪθ,ipɪθ,upɪθ
i.pɪð,u.pɪð,ipɪð,upɪð
i.tɪm,u.tɪm,itɪm,utɪm
i.tɪn,u.tɪn,itɪn,utɪn
i.tɪŋ,u.tɪŋ,itɪŋ,utɪŋ
i.tɪp,u.tɪp,itɪp,utɪp
i.tɪt,u.tɪt,itɪt,utɪt
i.tɪk,u.tɪk,itɪk,utɪk
i.tɪb,u.tɪb,itɪb,utɪb
i.tɪd,u.tɪd,itɪd,utɪd
i.tɪg,u.tɪg,itɪg,utɪg
i.tɪf,u.tɪf,itɪf,utɪf
i.tɪs,u.tɪs,itɪs,utɪs
i.tɪv,u.tɪv,itɪv,utɪv
i.tɪz,u.tɪz,itɪz,utɪz
i.tɪʃ,u.tɪʃ,itɪʃ,utɪʃ
i.tɪʒ,u.tɪʒ,itɪʒ,utɪʒ
i.tɪθ,u.tɪθ,itɪθ,utɪθ
i.tɪð,u.tɪð,itɪð,utɪð
i.kɪm,u.kɪm,ikɪm,ukɪm
i.kɪn,u.kɪn,ikɪn,ukɪn
i.kɪŋ,u.kɪŋ,ikɪŋ,ukɪŋ
i.kɪp,u.kɪp,ikɪp,ukɪp
i.kɪt,u.kɪt,ikɪt,ukɪt
i.kɪk,u.kɪk,ikɪk,ukɪk
i.kɪb,u.kɪb,ikɪb,ukɪb
i.kɪd,u.kɪd,ikɪd,ukɪd
i.kɪg,u.kɪg,ikɪg,ukɪg
i.kɪf,u.kɪf,ikɪf,ukɪf
i.kɪs,u.kɪs,ikɪs,ukɪs
i.kɪv,u.kɪv,ikɪv,ukɪv
i.kɪz,u.kɪz,ikɪz,ukɪz
i.kɪʃ,u.kɪʃ,ikɪʃ,ukɪʃ
i.kɪʒ,u.kɪʒ,ikɪʒ,ukɪʒ
i.kɪθ,u.kɪθ,ikɪθ,ukɪθ
i.kɪð,u.kɪð,ikɪð,ukɪð
i.bɪm,u.bɪm,ibɪm,ubɪm
i.bɪn,u.bɪn,ibɪn,ubɪn
i.bɪŋ,u.bɪŋ,ibɪŋ,ubɪŋ
i.bɪp,u.bɪp,ibɪp,ubɪp
i.bɪt,u.bɪt,ibɪt,ubɪt
i.bɪk,u.bɪk,ibɪk,ubɪk
i.bɪb,u.bɪb,ibɪb,ubɪb
i.bɪd,u.bɪd,ibɪd,ubɪd
i.bɪg,u.bɪg,ibɪg,ubɪg
i.bɪf,u.bɪf,ibɪf,ubɪf
i.bɪs,u.bɪs,ibɪs,ubɪs
i.bɪv,u.bɪv,ibɪv,ubɪv
i.bɪz,u.bɪz,ibɪz,ubɪz
i.bɪʃ,u.bɪʃ,ibɪʃ,ubɪʃ
i.bɪʒ,u.bɪʒ,ibɪʒ,ubɪʒ
i.bɪθ,u.bɪθ,ibɪθ,ubɪθ
i.bɪð,u.bɪð,ibɪð,ubɪð
i.dɪm,u.dɪm,idɪm,udɪm
i.dɪn,u.dɪn,idɪn,udɪn
i.dɪŋ,u.dɪŋ,idɪŋ,udɪŋ
i.dɪp,u.dɪp,idɪp,udɪp
i.dɪt,u.dɪt,idɪt,udɪt
i.dɪk,u.dɪk,idɪk,udɪk
i.dɪb,u.dɪb,idɪb,udɪb
i.dɪd,u.dɪd,idɪd,udɪd
i.dɪg,u.dɪg,idɪg,udɪg
i.dɪf,u.dɪf,idɪf,udɪf
i.dɪs,u.dɪs,idɪs,udɪs
i.dɪv,u.dɪv,idɪv,udɪv
i.dɪz,u.dɪz,idɪz,udɪz
i.dɪʃ,u.dɪʃ,idɪʃ,udɪʃ
i.dɪʒ,u.dɪʒ,idɪʒ,udɪʒ
i.dɪθ,u.dɪθ,idɪθ,udɪθ
i.dɪð,u.dɪð,idɪð,udɪð
i.gɪm,u.gɪm,igɪm,ugɪm
i.gɪn,u.gɪn,igɪn,ugɪn
i.gɪŋ,u.gɪŋ,igɪŋ,ugɪŋ
i.gɪp,u.gɪp,igɪp,ugɪp
i.gɪt,u.gɪt,igɪt,ugɪt
i.gɪk,u.gɪk,igɪk,ugɪk
i.gɪb,u.gɪb,igɪb,ugɪb
i.gɪd,u.gɪd,igɪd,ugɪd
i.gɪg,u.gɪg,igɪg,ugɪg
i.gɪf,u.gɪf,igɪf,ugɪf
i.gɪs,u.gɪs,igɪs,ugɪs
i.gɪv,u.gɪv,igɪv,ugɪv
i.gɪz,u.gɪz,igɪz,ugɪz
i.gɪʃ,u.gɪʃ,igɪʃ,ugɪʃ
i.gɪʒ,u.gɪʒ,igɪʒ,ugɪʒ
i.gɪθ,u.gɪθ,igɪθ,ugɪθ
i.gɪð,u.gɪð,igɪð,ugɪð
i.fɪm,u.fɪm,ifɪm,ufɪm
i.fɪn,u.fɪn,ifɪn,ufɪn
i.fɪŋ,u.fɪŋ,ifɪŋ,ufɪŋ
i.fɪp,u.fɪp,ifɪp,ufɪp
i.fɪt,u.fɪt,ifɪt,ufɪt
i.fɪk,u.fɪk,ifɪk,ufɪk
i.fɪb,u.fɪb,ifɪb,ufɪb
i.fɪd,u.fɪd,ifɪd,ufɪd
i.fɪg,u.fɪg,ifɪg,ufɪg
i.fɪf,u.fɪf,ifɪf,ufɪf
i.fɪs,u.fɪs,ifɪs,ufɪs
i.fɪv,u.fɪv,ifɪv,ufɪv
i.fɪz,u.fɪz,ifɪz,ufɪz
i.fɪʃ,u.fɪʃ,ifɪʃ,ufɪʃ
i.fɪʒ,u.fɪʒ,ifɪʒ,ufɪʒ
i.fɪθ,u.fɪθ,ifɪθ,ufɪθ
i.fɪð,u.fɪð,ifɪð,ufɪð
i.sɪm,u.sɪm,isɪm,usɪm
i.sɪn,u.sɪn,isɪn,usɪn
i.sɪŋ,u.sɪŋ,isɪŋ,usɪŋ
i.sɪp,u.sɪp,isɪp,usɪp
i.sɪt,u.sɪt,isɪt,usɪt
i.sɪk,u.sɪk,isɪk,usɪk
i.sɪb,u.sɪb,isɪb,usɪb
i.sɪd,u.sɪd,isɪd,usɪd
i.sɪg,u.sɪg,isɪg,usɪg
i.sɪf,u.sɪf,isɪf,usɪf
i.sɪs,u.sɪs,isɪs,usɪs
i.sɪv,u.sɪv,isɪv,usɪv
i.sɪz,u.sɪz,isɪz,usɪz
i.sɪʃ,u.sɪʃ,isɪʃ,usɪʃ
i.sɪʒ,u.sɪʒ,isɪʒ,usɪʒ
i.sɪθ,u.sɪθ,isɪθ,usɪθ
i.sɪð,u.sɪð,isɪð,usɪð
i.vɪm,u.vɪm,ivɪm,uvɪm
i.vɪn,u.vɪn,ivɪn,uvɪn
i.vɪŋ,u.vɪŋ,ivɪŋ,uvɪŋ
i.vɪp,u.vɪp,ivɪp,uvɪp
i.vɪt,u.vɪt,ivɪt,uvɪt
i.vɪk,u.vɪk,ivɪk,uvɪk
i.vɪb,u.vɪb,ivɪb,uvɪb
i.vɪd,u.vɪd,ivɪd,uvɪd
i.vɪg,u.vɪg,ivɪg,uvɪg
i.vɪf,u.vɪf,ivɪf,uvɪf
i.vɪs,u.vɪs,ivɪs,uvɪs
i.vɪv,u.vɪv,ivɪv,uvɪv
i.vɪz,u.vɪz,ivɪz,uvɪz
i.vɪʃ,u.vɪʃ,ivɪʃ,uvɪʃ
i.vɪʒ,u.vɪʒ,ivɪʒ,uvɪʒ
i.vɪθ,u.vɪθ,ivɪθ,uvɪθ
i.vɪð,u.vɪð,ivɪð,uvɪð
i.zɪm,u.zɪm,izɪm,uzɪm
i.zɪn,u.zɪn,izɪn,uzɪn
i.zɪŋ,u.zɪŋ,izɪŋ,uzɪŋ
i.zɪp,u.zɪp,izɪp,uzɪp
i.zɪt,u.zɪt,izɪt,uzɪt
i.zɪk,u.zɪk,izɪk,uzɪk
i.zɪb,u.zɪb,izɪb,uzɪb
i.zɪd,u.zɪd,izɪd,uzɪd
i.zɪg,u.zɪg,izɪg,uzɪg
i.zɪf,u.zɪf,izɪf,uzɪf
i.zɪs,u.zɪs,izɪs,uzɪs
i.zɪv,u.zɪv,izɪv,uzɪv
i.zɪz,u.zɪz,izɪz,uzɪz
i.zɪʃ,u.zɪʃ,izɪʃ,uzɪʃ
i.zɪʒ,u.zɪʒ,izɪʒ,uzɪʒ
i.zɪθ,u.zɪθ,izɪθ,uzɪθ
i.zɪð,u.zɪð,izɪð,uzɪð
i.ʃɪm,u.ʃɪm,iʃɪm,uʃɪm
i.ʃɪn,u.ʃɪn,iʃɪn,uʃɪn
i.ʃɪŋ,u.ʃɪŋ,iʃɪŋ,uʃɪŋ
i.ʃɪp,u.ʃɪp,iʃɪp,uʃɪp
i.ʃɪt,u.ʃɪt,iʃɪt,uʃɪt
i.ʃɪk,u.ʃɪk,iʃɪk,uʃɪk
i.ʃɪb,u.ʃɪb,iʃɪb,uʃɪb
i.ʃɪd,u.ʃɪd,iʃɪd,uʃɪd
i.ʃɪg,u.ʃɪg,iʃɪg,uʃɪg
i.ʃɪf,u.ʃɪf,iʃɪf,uʃɪf
i.ʃɪs,u.ʃɪs,iʃɪs,uʃɪs
i.ʃɪv,u.ʃɪv,iʃɪv,uʃɪv
i.ʃɪz,u.ʃɪz,iʃɪz,uʃɪz
i.ʃɪʃ,u.ʃɪʃ,iʃɪʃ,uʃɪʃ
i.ʃɪʒ,u.ʃɪʒ,iʃɪʒ,uʃɪʒ
i.ʃɪθ,u.ʃɪθ,iʃɪθ,uʃɪθ
i.ʃɪð,u.ʃɪð,iʃɪð,uʃɪð
i.ʒɪm,u.ʒɪm,iʒɪm,uʒɪm
i.ʒɪn,u.ʒɪn,iʒɪn,uʒɪn
i.ʒɪŋ,u.ʒɪŋ,iʒɪŋ,uʒɪŋ
i.ʒɪp,u.ʒɪp,iʒɪp,uʒɪp
i.ʒɪt,u.ʒɪt,iʒɪt,uʒɪt
i.ʒɪk,u.ʒɪk,iʒɪk,uʒɪk
i.ʒɪb,u.ʒɪb,iʒɪb,uʒɪb
i.ʒɪd,u.ʒɪd,iʒɪd,uʒɪd
i.ʒɪg,u.ʒɪg,iʒɪg,uʒɪg
i.ʒɪf,u.ʒɪf,iʒɪf,uʒɪf
i.ʒɪs,u.ʒɪs,iʒɪs,uʒɪs
i.ʒɪv,u.ʒɪv,iʒɪv,uʒɪv
i.ʒɪz,u.ʒɪz,iʒɪz,uʒɪz
i.ʒɪʃ,u.ʒɪʃ,iʒɪʃ,uʒɪʃ
i.ʒɪʒ,u.ʒɪʒ,iʒɪʒ,uʒɪʒ
i.ʒɪθ,u.ʒɪθ,iʒɪθ,uʒɪθ
i.ʒɪð,u.ʒɪð,iʒɪð,uʒɪð
i.θɪm,u.θɪm,iθɪm,uθɪm
i.θɪn,u.θɪn,iθɪn,uθɪn
i.θɪŋ,u.θɪŋ,iθɪŋ,uθɪŋ
i.θɪp,u.θɪp,iθɪp,uθɪp
i.θɪt,u.θɪt,iθɪt,uθɪt
i.θɪk,u.θɪk,iθɪk,uθɪk
i.θɪb,u.θɪb,iθɪb,uθɪb
i.θɪd,u.θɪd,iθɪd,uθɪd
i.θɪg,u.θɪg,iθɪg,uθɪg
i.θɪf,u.θɪf,iθɪf,uθɪf
i.θɪs,u.θɪs,iθɪs,uθɪs
i.θɪv,u.θɪv,iθɪv,uθɪv
i.θɪz,u.θɪz,iθɪz,uθɪz
i.θɪʃ,u.θɪʃ,iθɪʃ,uθɪʃ
i.θɪʒ,u.θɪʒ,iθɪʒ,uθɪʒ
i.θɪθ,u.θɪθ,iθɪθ,uθɪθ
i.θɪð,u.θɪð,iθɪð,uθɪð
i.ðɪm,u.ðɪm,iðɪm,uðɪm
i.ðɪn,u.ðɪn,iðɪn,uðɪn
i.ðɪŋ,u.ðɪŋ,iðɪŋ,uðɪŋ
i.ðɪp,u.ðɪp,iðɪp,uðɪp
i.ðɪt,u.ðɪt,iðɪt,uðɪt
i.ðɪk,u.ðɪk,iðɪk,uðɪk
i.ðɪb,u.ðɪb,iðɪb,uðɪb
i.ðɪd,u.ðɪd,iðɪd,uðɪd
i.ðɪg,u.ðɪg,iðɪg,uðɪg
i.ðɪf,u.ðɪf,iðɪf,uðɪf
i.ðɪs,u.ðɪs,iðɪs,uðɪs
i.ðɪv,u.ðɪv,iðɪv,uðɪv
i.ðɪz,u.ðɪz,iðɪz,uðɪz
i.ðɪʃ,u.ðɪʃ,iðɪʃ,uðɪʃ
i.ðɪʒ,u.ðɪʒ,iðɪʒ,uðɪʒ
i.ðɪθ,u.ðɪθ,iðɪθ,uðɪθ
i.ðɪð,u.ðɪð,iðɪð,uðɪð
i.hɪm,u.hɪm,ihɪm,uhɪm
i.hɪn,u.hɪn,ihɪn,uhɪn
i.hɪŋ,u.hɪŋ,ihɪŋ,uhɪŋ
i.hɪp,u.hɪp,ihɪp,uhɪp
i.hɪt,u.hɪt,ihɪt,uhɪt
i.hɪk,u.hɪk,ihɪk,uhɪk
i.hɪb,u.hɪb,ihɪb,uhɪb
i.hɪd,u.hɪd,ihɪd,uhɪd
i.hɪg,u.hɪg,ihɪg,uhɪg
i.hɪf,u.hɪf,ihɪf,uhɪf
i.hɪs,u.hɪs,ihɪs,uhɪs
i.hɪv,u.hɪv,ihɪv,uhɪv
i.hɪz,u.hɪz,ihɪz,uhɪz
i.hɪʃ,u.hɪʃ,ihɪʃ,uhɪʃ
i.hɪʒ,u.hɪʒ,ihɪʒ,uhɪʒ
i.hɪθ,u.hɪθ,ihɪθ,uhɪθ
i.hɪð,u.hɪð,ihɪð,uhɪð
i.mɛm,u.mɛm,imɛm,umɛm
i.mɛn,u.mɛn,imɛn,umɛn
i.mɛŋ,u.mɛŋ,imɛŋ,umɛŋ
i.mɛp,u.mɛp,imɛp,umɛp
i.mɛt,u.mɛt,imɛt,umɛt
i.mɛk,u.mɛk,imɛk,umɛk
i.mɛb,u.mɛb,imɛb,umɛb
i.mɛd,u.mɛd,imɛd,umɛd
i.mɛg,u.mɛg,imɛg,umɛg
i.mɛf,u.mɛf,imɛf,umɛf
i.mɛs,u.mɛs,imɛs,umɛs
i.mɛv,u.mɛv,imɛv,umɛv
i.mɛz,u.mɛz,imɛz,umɛz
i.mɛʃ,u.mɛʃ,imɛʃ,umɛʃ
i.mɛʒ,u.mɛʒ,imɛʒ,umɛʒ
i.mɛθ,u.mɛθ,imɛθ,umɛθ
i.mɛð,u.mɛð,imɛð,umɛð
i.nɛm,u.nɛm,inɛm,unɛm
i.nɛn,u.nɛn,inɛn,unɛn
i.nɛŋ,u.nɛŋ,inɛŋ,unɛŋ
i.nɛp,u.nɛp,inɛp,unɛp
i.nɛt,u.nɛt,inɛt,unɛt
i.nɛk,u.nɛk,inɛk,unɛk
i.nɛb,u.nɛb,inɛb,unɛb
i.nɛd,u.nɛd,inɛd,unɛd
i.nɛg,u.nɛg,inɛg,unɛg
i.nɛf,u.nɛf,inɛf,unɛf
i.nɛs,u.nɛs,inɛs,unɛs
i.nɛv,u.nɛv,inɛv,unɛv
i.nɛz,u.nɛz,inɛz,unɛz
i.nɛʃ,u.nɛʃ,inɛʃ,unɛʃ
i.nɛʒ,u.nɛʒ,inɛʒ,unɛʒ
i.nɛθ,u.nɛθ,inɛθ,unɛθ
i.nɛð,u.nɛð,inɛð,unɛð
i.pɛm,u.pɛm,ipɛm,upɛm
i.pɛn,u.pɛn,ipɛn,upɛn
i.pɛŋ,u.pɛŋ,ipɛŋ,upɛŋ
i.pɛp,u.pɛp,ipɛp,upɛp
i.pɛt,u.pɛt,ipɛt,upɛt
i.pɛk,u.pɛk,ipɛk,upɛk
i.pɛb,u.pɛb,ipɛb,upɛb
i.pɛd,u.pɛd,ipɛd,upɛd
i.pɛg,u.pɛg,ipɛg,upɛg
i.pɛf,u.pɛf,ipɛf,upɛf
i.pɛs,u.pɛs,ipɛs,upɛs
i.pɛv,u.pɛv,ipɛv,upɛv
i.pɛz,u.pɛz,ipɛz,upɛz
i.pɛʃ,u.pɛʃ,ipɛʃ,upɛʃ
i.pɛʒ,u.pɛʒ,ipɛʒ,upɛʒ
