ur_syll,sr_syll,ur_string,sr_string,ur_var,sr_var
i.du,i.di,idu,idi,idu,idi
i.gu,i.gi,igu,igi,igu,igi
i.fu,i.fi,ifu,ifi,ifu,ifi
i.su,i.si,isu,isi,isu,isi
i.vu,i.vi,ivu,ivi,ivu,ivi
i.zu,i.zi,izu,izi,izu,izi
i.ʃu,i.ʃi,iʃu,iʃi,iʃu,iʃi
i.ʒu,i.ʒi,iʒu,iʒi,iʒu,iʒi
i.θu,i.θi,iθu,iθi,iθu,iθi
i.ðu,i.ði,iðu,iði,iðu,iði
i.hu,i.hi,ihu,ihi,ihu,ihi
i.mo,i.me,imo,ime,imoʊ,imeɪ
i.no,i.ne,ino,ine,inoʊ,ineɪ
i.po,i.pe,ipo,ipe,ipoʊ,ipeɪ
i.to,i.te,ito,ite,itoʊ,iteɪ
i.ko,i.ke,iko,ike,ikoʊ,ikeɪ
i.bo,i.be,ibo,ibe,iboʊ,ibeɪ
i.do,i.de,ido,ide,idoʊ,ideɪ
i.go,i.ge,igo,ige,igoʊ,igeɪ
i.fo,i.fe,ifo,ife,ifoʊ,ifeɪ
i.so,i.se,iso,ise,isoʊ,iseɪ
i.vo,i.ve,ivo,ive,ivoʊ,iveɪ
i.zo,i.ze,izo,ize,izoʊ,izeɪ
i.ʃo,i.ʃe,iʃo,iʃe,iʃoʊ,iʃeɪ
i.ʒo,i.ʒe,iʒo,iʒe,iʒoʊ,iʒeɪ
i.θo,i.θe,iθo,iθe,iθoʊ,iθeɪ
i.ðo,i.ðe,iðo,iðe,iðoʊ,iðeɪ
i.ho,i.he,iho,ihe,ihoʊ,iheɪ
e.mi,e.mu,emi,emu,eɪmi,eɪmu
e.ni,e.nu,eni,enu,eɪni,eɪnu
e.pi,e.pu,epi,epu,eɪpi,eɪpu
e.ti,e.tu,eti,etu,eɪti,eɪtu
e.ki,e.ku,eki,eku,eɪki,eɪku
e.bi,e.bu,ebi,ebu,eɪbi,eɪbu
e.di,e.du,edi,edu,eɪdi,eɪdu
e.gi,e.gu,egi,egu,eɪgi,eɪgu
e.fi,e.fu,efi,efu,eɪfi,eɪfu
e.si,e.su,esi,esu,eɪsi,eɪsu
e.vi,e.vu,evi,evu,eɪvi,eɪvu
e.zi,e.zu,ezi,ezu,eɪzi,eɪzu
e.ʃi,e.ʃu,eʃi,eʃu,eɪʃi,eɪʃu
e.ʒi,e.ʒu,eʒi,eʒu,eɪʒi,eɪʒu
e.θi,e.θu,eθi,eθu,eɪθi,eɪθu
e.ði,e.ðu,eði,eðu,eɪði,eɪðu
e.hi,e.hu,ehi,ehu,eɪhi,eɪhu
e.me,e.mo,eme,emo,eɪmeɪ,eɪmoʊ
e.ne,e.no,ene,eno,eɪneɪ,eɪnoʊ
e.pe,e.po,epe,epo,eɪpeɪ,eɪpoʊ
e.te,e.to,ete,eto,eɪteɪ,eɪtoʊ
e.ke,e.ko,eke,eko,eɪkeɪ,eɪkoʊ
e.be,e.bo,ebe,ebo,eɪbeɪ,eɪboʊ
e.de,e.do,ede,edo,eɪdeɪ,eɪdoʊ
e.ge,e.go,ege,ego,eɪgeɪ,eɪgoʊ
e.fe,e.fo,efe,efo,eɪfeɪ,eɪfoʊ
e.se,e.so,ese,eso,eɪseɪ,eɪsoʊ
e.ve,e.vo,eve,evo,eɪveɪ,eɪvoʊ
e.ze,e.zo,eze,ezo,eɪzeɪ,eɪzoʊ
e.ʃe,e.ʃo,eʃe,eʃo,eɪʃeɪ,eɪʃoʊ
e.ʒe,e.ʒo,eʒe,eʒo,eɪʒeɪ,eɪʒoʊ
e.θe,e.θo,eθe,eθo,eɪθeɪ,eɪθoʊ
e.ðe,e.ðo,eðe,eðo,eɪðeɪ,eɪðoʊ
e.he,e.ho,ehe,eho,eɪheɪ,eɪhoʊ
e.mu,e.mi,emu,emi,eɪmu,eɪmi
e.nu,e.ni,enu,eni,eɪnu,eɪni
e.pu,e.pi,epu,epi,eɪpu,eɪpi
e.tu,e.ti,etu,eti,eɪtu,eɪti
e.ku,e.ki,eku,eki,eɪku,eɪki
e.bu,e.bi,ebu,ebi,eɪbu,eɪbi
e.du,e.di,edu,edi,eɪdu,eɪdi
e.gu,e.gi,egu,egi,eɪgu,eɪgi
e.fu,e.fi,efu,efi,eɪfu,eɪfi
e.su,e.si,esu,esi,eɪsu,eɪsi
e.vu,e.vi,evu,evi,eɪvu,eɪvi
e.zu,e.zi,ezu,ezi,eɪzu,eɪzi
e.ʃu,e.ʃi,eʃu,eʃi,eɪʃu,eɪʃi
e.ʒu,e.ʒi,eʒu,eʒi,eɪʒu,eɪʒi
e.θu,e.θi,eθu,eθi,eɪθu,eɪθi
e.ðu,e.ði,eðu,eði,eɪðu,eɪði
e.hu,e.hi,ehu,ehi,eɪhu,eɪhi
e.mo,e.me,emo,eme,eɪmoʊ,eɪmeɪ
e.no,e.ne,eno,ene,eɪnoʊ,eɪneɪ
e.po,e.pe,epo,epe,eɪpoʊ,eɪpeɪ
e.to,e.te,eto,ete,eɪtoʊ,eɪteɪ
e.ko,e.ke,eko,eke,eɪkoʊ,eɪkeɪ
e.bo,e.be,ebo,ebe,eɪboʊ,eɪbeɪ
e.do,e.de,edo,ede,eɪdoʊ,eɪdeɪ
e.go,e.ge,ego,ege,eɪgoʊ,eɪgeɪ
e.fo,e.fe,efo,efe,eɪfoʊ,eɪfeɪ
e.so,e.se,eso,ese,eɪsoʊ,eɪseɪ
e.vo,e.ve,evo,eve,eɪvoʊ,eɪveɪ
e.zo,e.ze,ezo,eze,eɪzoʊ,eɪzeɪ
e.ʃo,e.ʃe,eʃo,eʃe,eɪʃoʊ,eɪʃeɪ
e.ʒo,e.ʒe,eʒo,eʒe,eɪʒoʊ,eɪʒeɪ
e.θo,e.θe,eθo,eθe,eɪθoʊ,eɪθeɪ
e.ðo,e.ðe,eðo,eðe,eɪðoʊ,eɪðeɪ
e.ho,e.he,eho,ehe,eɪhoʊ,eɪheɪ
u.mi,u.mu,umi,umu,umi,umu
u.ni,u.nu,uni,unu,uni,unu
u.pi,u.pu,upi,upu,upi,upu
u.ti,u.tu,uti,utu,uti,utu
u.ki,u.ku,uki,uku,uki,uku
u.bi,u.bu,ubi,ubu,ubi,ubu
u.di,u.du,udi,udu,udi,udu
u.gi,u.gu,ugi,ugu,ugi,ugu
u.fi,u.fu,ufi,ufu,ufi,ufu
u.si,u.su,usi,usu,usi,usu
u.vi,u.vu,uvi,uvu,uvi,uvu
u.zi,u.zu,uzi,uzu,uzi,uzu
u.ʃi,u.ʃu,uʃi,uʃu,uʃi,uʃu
u.ʒi,u.ʒu,uʒi,uʒu,uʒi,uʒu
u.θi,u.θu,uθi,uθu,uθi,uθu
u.ði,u.ðu,uði,uðu,uði,uðu
u.hi,u.hu,uhi,uhu,uhi,uhu
u.me,u.mo,ume,umo,umeɪ,umoʊ
u.ne,u.no,une,uno,uneɪ,unoʊ
u.pe,u.po,upe,upo,upeɪ,upoʊ
u.te,u.to,ute,uto,uteɪ,utoʊ
u.ke,u.ko,uke,uko,ukeɪ,ukoʊ
u.be,u.bo,ube,ubo,ubeɪ,uboʊ
u.de,u.do,ude,udo,udeɪ,udoʊ
u.ge,u.go,uge,ugo,ugeɪ,ugoʊ
u.fe,u.fo,ufe,ufo,ufeɪ,ufoʊ
u.se,u.so,use,uso,useɪ,usoʊ
u.ve,u.vo,uve,uvo,uveɪ,uvoʊ
u.ze,u.zo,uze,uzo,uzeɪ,uzoʊ
u.ʃe,u.ʃo,uʃe,uʃo,uʃeɪ,uʃoʊ
u.ʒe,u.ʒo,uʒe,uʒo,uʒeɪ,uʒoʊ
u.θe,u.θo,uθe,uθo,uθeɪ,uθoʊ
u.ðe,u.ðo,uðe,uðo,uðeɪ,uðoʊ
u.he,u.ho,uhe,uho,uheɪ,uhoʊ
u.mu,u.mi,umu,umi,umu,umi
u.nu,u.ni,unu,uni,unu,uni
u.pu,u.pi,upu,upi,upu,upi
u.tu,u.ti,utu,uti,utu,uti
u.ku,u.ki,uku,uki,uku,uki
u.bu,u.bi,ubu,ubi,ubu,ubi
u.du,u.di,udu,udi,udu,udi
u.gu,u.gi,ugu,ugi,ugu,ugi
u.fu,u.fi,ufu,ufi,ufu,ufi
u.su,u.si,usu,usi,usu,usi
u.vu,u.vi,uvu,uvi,uvu,uvi
u.zu,u.zi,uzu,uzi,uzu,uzi
u.ʃu,u.ʃi,uʃu,uʃi,uʃu,uʃi
u.ʒu,u.ʒi,uʒu,uʒi,uʒu,uʒi
u.θu,u.θi,uθu,uθi,uθu,uθi
u.ðu,u.ði,uðu,uði,uðu,uði
u.hu,u.hi,uhu,uhi,uhu,uhi
u.mo,u.me,umo,ume,umoʊ,umeɪ
u.no,u.ne,uno,une,unoʊ,uneɪ
u.po,u.pe,upo,upe,upoʊ,upeɪ
u.to,u.te,uto,ute,utoʊ,uteɪ
u.ko,u.ke,uko,uke,ukoʊ,ukeɪ
u.bo,u.be,ubo,ube,uboʊ,ubeɪ
u.do,u.de,udo,ude,udoʊ,udeɪ
u.go,u.ge,ugo,uge,ugoʊ,ugeɪ
u.fo,u.fe,ufo,ufe,ufoʊ,ufeɪ
u.so,u.se,uso,use,usoʊ,useɪ
u.vo,u.ve,uvo,uve,uvoʊ,uveɪ
u.zo,u.ze,uzo,uze,uzoʊ,uzeɪ
u.ʃo,u.ʃe,uʃo,uʃe,uʃoʊ,uʃeɪ
u.ʒo,u.ʒe,uʒo,uʒe,uʒoʊ,uʒeɪ
u.θo,u.θe,uθo,uθe,uθoʊ,uθeɪ
u.ðo,u.ðe,uðo,uðe,uðoʊ,uðeɪ
u.ho,u.he,uho,uhe,uhoʊ,uheɪ
o.mi,o.mu,omi,omu,oʊmi,oʊmu
o.ni,o.nu,oni,onu,oʊni,oʊnu
o.pi,o.pu,opi,opu,oʊpi,oʊpu
o.ti,o.tu,oti,otu,oʊti,oʊtu
o.ki,o.ku,oki,oku,oʊki,oʊku
o.bi,o.bu,obi,obu,oʊbi,oʊbu
o.di,o.du,odi,odu,oʊdi,oʊdu
o.gi,o.gu,ogi,ogu,oʊgi,oʊgu
o.fi,o.fu,ofi,ofu,oʊfi,oʊfu
o.si,o.su,osi,osu,oʊsi,oʊsu
o.vi,o.vu,ovi,ovu,oʊvi,oʊvu
o.zi,o.zu,ozi,ozu,oʊzi,oʊzu
o.ʃi,o.ʃu,oʃi,oʃu,oʊʃi,oʊʃu
o.ʒi,o.ʒu,oʒi,oʒu,oʊʒi,oʊʒu
o.θi,o.θu,oθi,oθu,oʊθi,oʊθu
o.ði,o.ðu,oði,oðu,oʊði,oʊðu
o.hi,o.hu,ohi,ohu,oʊhi,oʊhu
o.me,o.mo,ome,omo,oʊmeɪ,oʊmoʊ
o.ne,o.no,one,ono,oʊneɪ,oʊnoʊ
o.pe,o.po,ope,opo,oʊpeɪ,oʊpoʊ
o.te,o.to,ote,oto,oʊteɪ,oʊtoʊ
o.ke,o.ko,oke,oko,oʊkeɪ,oʊkoʊ
o.be,o.bo,obe,obo,oʊbeɪ,oʊboʊ
o.de,o.do,ode,odo,oʊdeɪ,oʊdoʊ
o.ge,o.go,oge,ogo,oʊgeɪ,oʊgoʊ
o.fe,o.fo,ofe,ofo,oʊfeɪ,oʊfoʊ
o.se,o.so,ose,oso,oʊseɪ,oʊsoʊ
o.ve,o.vo,ove,ovo,oʊveɪ,oʊvoʊ
o.ze,o.zo,oze,ozo,oʊzeɪ,oʊzoʊ
o.ʃe,o.ʃo,oʃe,oʃo,oʊʃeɪ,oʊʃoʊ
o.ʒe,o.ʒo,oʒe,oʒo,oʊʒeɪ,oʊʒoʊ
o.θe,o.θo,oθe,oθo,oʊθeɪ,oʊθoʊ
o.ðe,o.ðo,oðe,oðo,oʊðeɪ,oʊðoʊ
o.he,o.ho,ohe,oho,oʊheɪ,oʊhoʊ
o.mu,o.mi,omu,omi,oʊmu,oʊmi
o.nu,o.ni,onu,oni,oʊnu,oʊni
o.pu,o.pi,opu,opi,oʊpu,oʊpi
o.tu,o.ti,otu,oti,oʊtu,oʊti
o.ku,o.ki,oku,oki,oʊku,oʊki
o.bu,o.bi,obu,obi,oʊbu,oʊbi
o.du,o.di,odu,odi,oʊdu,oʊdi
o.gu,o.gi,ogu,ogi,oʊgu,oʊgi
o.fu,o.fi,ofu,ofi,oʊfu,oʊfi
o.su,o.si,osu,osi,oʊsu,oʊsi
o.vu,o.vi,ovu,ovi,oʊvu,oʊvi
o.zu,o.zi,ozu,ozi,oʊzu,oʊzi
o.ʃu,o.ʃi,oʃu,oʃi,oʊʃu,oʊʃi
o.ʒu,o.ʒi,oʒu,oʒi,oʊʒu,oʊʒi
o.θu,o.θi,oθu,oθi,oʊθu,oʊθi
o.ðu,o.ði,oðu,oði,oʊðu,oʊði
o.hu,o.hi,ohu,ohi,oʊhu,oʊhi
o.mo,o.me,omo,ome,oʊmoʊ,oʊmeɪ
o.no,o.ne,ono,one,oʊnoʊ,oʊneɪ
o.po,o.pe,opo,ope,oʊpoʊ,oʊpeɪ
o.to,o.te,oto,ote,oʊtoʊ,oʊteɪ
o.ko,o.ke,oko,oke,oʊkoʊ,oʊkeɪ
o.bo,o.be,obo,obe,oʊboʊ,oʊbeɪ
o.do,o.de,odo,ode,oʊdoʊ,oʊdeɪ
o.go,o.ge,ogo,oge,oʊgoʊ,oʊgeɪ
o.fo,o.fe,ofo,ofe,oʊfoʊ,oʊfeɪ
o.so,o.se,oso,ose,oʊsoʊ,oʊseɪ
o.vo,o.ve,ovo,ove,oʊvoʊ,oʊveɪ
o.zo,o.ze,ozo,oze,oʊzoʊ,oʊzeɪ
o.ʃo,o.ʃe,oʃo,oʃe,oʊʃoʊ,oʊʃeɪ
o.ʒo,o.ʒe,oʒo,oʒe,oʊʒoʊ,oʊʒeɪ
o.θo,o.θe,oθo,oθe,oʊθoʊ,oʊθeɪ
o.ðo,o.ðe,oðo,oðe,oʊðoʊ,oʊðeɪ
o.ho,o.he,oho,ohe,oʊhoʊ,oʊheɪ
i.mɪm,i.mʊm,imɪm,imʊm,imɪm,imʊm
i.mɪn,i.mʊn,imɪn,imʊn,imɪn,imʊn
i.mɪŋ,i.mʊŋ,imɪŋ,imʊŋ,imɪŋ,imʊŋ
i.mɪp,i.mʊp,imɪp,imʊp,imɪp,imʊp
i.mɪt,i.mʊt,imɪt,imʊt,imɪt,imʊt
i.mɪk,i.mʊk,imɪk,imʊk,imɪk,imʊk
i.mɪb,i.mʊb,imɪb,imʊb,imɪb,imʊb
i.mɪd,i.mʊd,imɪd,imʊd,imɪd,imʊd
i.mɪg,i.mʊg,imɪg,imʊg,imɪg,imʊg
i.mɪf,i.mʊf,imɪf,imʊf,imɪf,imʊf
i.mɪs,i.mʊs,imɪs,imʊs,imɪs,imʊs
i.mɪv,i.mʊv,imɪv,imʊv,imɪv,imʊv
i.mɪz,i.mʊz,imɪz,imʊz,imɪz,imʊz
i.mɪʃ,i.mʊʃ,imɪʃ,imʊʃ,imɪʃ,imʊʃ
i.mɪʒ,i.mʊʒ,imɪʒ,imʊʒ,imɪʒ,imʊʒ
i.mɪθ,i.mʊθ,imɪθ,imʊθ,imɪθ,imʊθ
i.mɪð,i.mʊð,imɪð,imʊð,imɪð,imʊð
i.nɪm,i.nʊm,inɪm,inʊm,inɪm,inʊm
i.nɪn,i.nʊn,inɪn,inʊn,inɪn,inʊn
i.nɪŋ,i.nʊŋ,inɪŋ,inʊŋ,inɪŋ,inʊŋ
i.nɪp,i.nʊp,inɪp,inʊp,inɪp,inʊp
i.nɪt,i.nʊt,inɪt,inʊt,inɪt,inʊt
i.nɪk,i.nʊk,inɪk,inʊk,inɪk,inʊk
i.nɪb,i.nʊb,inɪb,inʊb,inɪb,inʊb
i.nɪd,i.nʊd,inɪd,inʊd,inɪd,inʊd
i.nɪg,i.nʊg,inɪg,inʊg,inɪg,inʊg
i.nɪf,i.nʊf,inɪf,inʊf,inɪf,inʊf
i.nɪs,i.nʊs,inɪs,inʊs,inɪs,inʊs
i.nɪv,i.nʊv,inɪv,inʊv,inɪv,inʊv
i.nɪz,i.nʊz,inɪz,inʊz,inɪz,inʊz
i.nɪʃ,i.nʊʃ,inɪʃ,inʊʃ,inɪʃ,inʊʃ
i.nɪʒ,i.nʊʒ,inɪʒ,inʊʒ,inɪʒ,inʊʒ
i.nɪθ,i.nʊθ,inɪθ,inʊθ,inɪθ,inʊθ
i.nɪð,i.nʊð,inɪð,inʊð,inɪð,inʊð
i.pɪm,i.pʊm,ipɪm,ipʊm,ipɪm,ipʊm
i.pɪn,i.pʊn,ipɪn,ipʊn,ipɪn,ipʊn
i.pɪŋ,i.pʊŋ,ipɪŋ,ipʊŋ,ipɪŋ,ipʊŋ
i.pɪp,i.pʊp,ipɪp,ipʊp,ipɪp,ipʊp
i.pɪt,i.pʊt,ipɪt,ipʊt,ipɪt,ipʊt
i.pɪk,i.pʊk,ipɪk,ipʊk,ipɪk,ipʊk
i.pɪb,i.pʊb,ipɪb,ipʊb,ipɪb,ipʊb
i.pɪd,i.pʊd,ipɪd,ipʊd,ipɪd,ipʊd
i.pɪg,i.pʊg,ipɪg,ipʊg,ipɪg,ipʊg
i.pɪf,i.pʊf,ipɪf,ipʊf,ipɪf,ipʊf
i.pɪs,i.pʊs,ipɪs,ipʊs,ipɪs,ipʊs
i.pɪv,i.pʊv,ipɪv,ipʊv,ipɪv,ipʊv
i.pɪz,i.pʊz,ipɪz,ipʊz,ipɪz,ipʊz
i.pɪʃ,i.pʊʃ,ipɪʃ,ipʊʃ,ipɪʃ,ipʊʃ
i.pɪʒ,i.pʊʒ,ipɪʒ,ipʊʒ,ipɪʒ,ipʊʒ
i.pɪθ,i.pʊθ,ipɪθ,ipʊθ,ipɪθ,ipʊθ
i.pɪð,i.pʊð,ipɪð,ipʊð,ipɪð,ipʊð
i.tɪm,i.tʊm,itɪm,itʊm,itɪm,itʊm
i.tɪn,i.tʊn,itɪn,itʊn,itɪn,itʊn
i.tɪŋ,i.tʊŋ,itɪŋ,itʊŋ,itɪŋ,itʊŋ
i.tɪp,i.tʊp,itɪp,itʊp,itɪp,itʊp
i.tɪt,i.tʊt,itɪt,itʊt,itɪt,itʊt
i.tɪk,i.tʊk,itɪk,itʊk,itɪk,itʊk
i.tɪb,i.tʊb,itɪb,itʊb,itɪb,itʊb
i.tɪd,i.tʊd,itɪd,itʊd,itɪd,itʊd
i.tɪg,i.tʊg,itɪg,itʊg,itɪg,itʊg
i.tɪf,i.tʊf,itɪf,itʊf,itɪf,itʊf
i.tɪs,i.tʊs,itɪs,itʊs,itɪs,itʊs
i.tɪv,i.tʊv,itɪv,itʊv,itɪv,itʊv
i.tɪz,i.tʊz,itɪz,itʊz,itɪz,itʊz
i.tɪʃ,i.tʊʃ,itɪʃ,itʊʃ,itɪʃ,itʊʃ
i.tɪʒ,i.tʊʒ,itɪʒ,itʊʒ,itɪʒ,itʊʒ
i.tɪθ,i.tʊθ,itɪθ,itʊθ,itɪθ,itʊθ
i.tɪð,i.tʊð,itɪð,itʊð,itɪð,itʊð
i.kɪm,i.kʊm,ikɪm,ikʊm,ikɪm,ikʊm
i.kɪn,i.kʊn,ikɪn,ikʊn,ikɪn,ikʊn
i.kɪŋ,i.kʊŋ,ikɪŋ,ikʊŋ,ikɪŋ,ikʊŋ
i.kɪp,i.kʊp,ikɪp,ikʊp,ikɪp,ikʊp
i.kɪt,i.kʊt,ikɪt,ikʊt,ikɪt,ikʊt
i.kɪk,i.kʊk,ikɪk,ikʊk,ikɪk,ikʊk
i.kɪb,i.kʊb,ikɪb,ikʊb,ikɪb,ikʊb
i.kɪd,i.kʊd,ikɪd,ikʊd,ikɪd,ikʊd
i.kɪg,i.kʊg,ikɪg,ikʊg,ikɪg,ikʊg
i.kɪf,i.kʊf,ikɪf,ikʊf,ikɪf,ikʊf
i.kɪs,i.kʊs,ikɪs,ikʊs,ikɪs,ikʊs
i.kɪv,i.kʊv,ikɪv,ikʊv,ikɪv,ikʊv
i.kɪz,i.kʊz,ikɪz,ikʊz,ikɪz,ikʊz
i.kɪʃ,i.kʊʃ,ikɪʃ,ikʊʃ,ikɪʃ,ikʊʃ
i.kɪʒ,i.kʊʒ,ikɪʒ,ikʊʒ,ikɪʒ,ikʊʒ
i.kɪθ,i.kʊθ,ikɪθ,ikʊθ,ikɪθ,ikʊθ
i.kɪð,i.kʊð,ikɪð,ikʊð,ikɪð,ikʊð
i.bɪm,i.bʊm,ibɪm,ibʊm,ibɪm,ibʊm
i.bɪn,i.bʊn,ibɪn,ibʊn,ibɪn,ibʊn
i.bɪŋ,i.bʊŋ,ibɪŋ,ibʊŋ,ibɪŋ,ibʊŋ
i.bɪp,i.bʊp,ibɪp,ibʊp,ibɪp,ibʊp
i.bɪt,i.bʊt,ibɪt,ibʊt,ibɪt,ibʊt
i.bɪk,i.bʊk,ibɪk,ibʊk,ibɪk,ibʊk
i.bɪb,i.bʊb,ibɪb,ibʊb,ibɪb,ibʊb
i.bɪd,i.bʊd,ibɪd,ibʊd,ibɪd,ibʊd
i.bɪg,i.bʊg,ibɪg,ibʊg,ibɪg,ibʊg
i.bɪf,i.bʊf,ibɪf,ibʊf,ibɪf,ibʊf
i.bɪs,i.bʊs,ibɪs,ibʊs,ibɪs,ibʊs
i.bɪv,i.bʊv,ibɪv,ibʊv,ibɪv,ibʊv
i.bɪz,i.bʊz,ibɪz,ibʊz,ibɪz,ibʊz
i.bɪʃ,i.bʊʃ,ibɪʃ,ibʊʃ,ibɪʃ,ibʊʃ
i.bɪʒ,i.bʊʒ,ibɪʒ,ibʊʒ,ibɪʒ,ibʊʒ
i.bɪθ,i.bʊθ,ibɪθ,ibʊθ,ibɪθ,ibʊθ
i.bɪð,i.bʊð,ibɪð,ibʊð,ibɪð,ibʊð
i.dɪm,i.dʊm,idɪm,idʊm,idɪm,idʊm
i.dɪn,i.dʊn,idɪn,idʊn,idɪn,idʊn
i.dɪŋ,i.dʊŋ,idɪŋ,idʊŋ,idɪŋ,idʊŋ
i.dɪp,i.dʊp,idɪp,idʊp,idɪp,idʊp
i.dɪt,i.dʊt,idɪt,idʊt,idɪt,idʊt
i.dɪk,i.dʊk,idɪk,idʊk,idɪk,idʊk
i.dɪb,i.dʊb,idɪb,idʊb,idɪb,idʊb
i.dɪd,i.dʊd,idɪd,idʊd,idɪd,idʊd
i.dɪg,i.dʊg,idɪg,idʊg,idɪg,idʊg
i.dɪf,i.dʊf,idɪf,idʊf,idɪf,idʊf
i.dɪs,i.dʊs,idɪs,idʊs,idɪs,idʊs
i.dɪv,i.dʊv,idɪv,idʊv,idɪv,idʊv
i.dɪz,i.dʊz,idɪz,idʊz,idɪz,idʊz
i.dɪʃ,i.dʊʃ,idɪʃ,idʊʃ,idɪʃ,idʊʃ
i.dɪʒ,i.dʊʒ,idɪʒ,idʊʒ,idɪʒ,idʊʒ
i.dɪθ,i.dʊθ,idɪθ,idʊθ,idɪθ,idʊθ
i.dɪð,i.dʊð,idɪð,idʊð,idɪð,idʊð
i.gɪm,i.gʊm,igɪm,igʊm,igɪm,igʊm
i.gɪn,i.gʊn,igɪn,igʊn,igɪn,igʊn
i.gɪŋ,i.gʊŋ,igɪŋ,igʊŋ,igɪŋ,igʊŋ
i.gɪp,i.gʊp,igɪp,igʊp,igɪp,igʊp
i.gɪt,i.gʊt,igɪt,igʊt,igɪt,igʊt
i.gɪk,i.gʊk,igɪk,igʊk,igɪk,igʊk
i.gɪb,i.gʊb,igɪb,igʊb,igɪb,igʊb
i.gɪd,i.gʊd,igɪd,igʊd,igɪd,igʊd
i.gɪg,i.gʊg,igɪg,igʊg,igɪg,igʊg
i.gɪf,i.gʊf,igɪf,igʊf,igɪf,igʊf
i.gɪs,i.gʊs,igɪs,igʊs,igɪs,igʊs
i.gɪv,i.gʊv,igɪv,igʊv,igɪv,igʊv
i.gɪz,i.gʊz,igɪz,igʊz,igɪz,igʊz
i.gɪʃ,i.gʊʃ,igɪʃ,igʊʃ,igɪʃ,igʊʃ
i.gɪʒ,i.gʊʒ,igɪʒ,igʊʒ,igɪʒ,igʊʒ
i.gɪθ,i.gʊθ,igɪθ,igʊθ,igɪθ,igʊθ
i.gɪð,i.gʊð,igɪð,igʊð,igɪð,igʊð
i.fɪm,i.fʊm,ifɪm,ifʊm,ifɪm,ifʊm
i.fɪn,i.fʊn,ifɪn,ifʊn,ifɪn,ifʊn
i.fɪŋ,i.fʊŋ,ifɪŋ,ifʊŋ,ifɪŋ,ifʊŋ
i.fɪp,i.fʊp,ifɪp,ifʊp,ifɪp,ifʊp
i.fɪt,i.fʊt,ifɪt,ifʊt,ifɪt,ifʊt
i.fɪk,i.fʊk,ifɪk,ifʊk,ifɪk,ifʊk
i.fɪb,i.fʊb,ifɪb,ifʊb,ifɪb,ifʊb
i.fɪd,i.fʊd,ifɪd,ifʊd,ifɪd,ifʊd
i.fɪg,i.fʊg,ifɪg,ifʊg,ifɪg,ifʊg
i.fɪf,i.fʊf,ifɪf,ifʊf,ifɪf,ifʊf
i.fɪs,i.fʊs,ifɪs,ifʊs,ifɪs,ifʊs
i.fɪv,i.fʊv,ifɪv,ifʊv,ifɪv,ifʊv
i.fɪz,i.fʊz,ifɪz,ifʊz,ifɪz,ifʊz
i.fɪʃ,i.fʊʃ,ifɪʃ,ifʊʃ,ifɪʃ,ifʊʃ
i.fɪʒ,i.fʊʒ,ifɪʒ,ifʊʒ,ifɪʒ,ifʊʒ
i.fɪθ,i.fʊθ,ifɪθ,ifʊθ,ifɪθ,ifʊθ
