ur_syll,sr_syll,ur_string,sr_string,ur_var,sr_var
u.ko,i.ko,uko,iko,ukoʊ,ikoʊ
u.bo,i.bo,ubo,ibo,uboʊ,iboʊ
u.do,i.do,udo,ido,udoʊ,idoʊ
u.go,i.go,ugo,igo,ugoʊ,igoʊ
u.fo,i.fo,ufo,ifo,ufoʊ,ifoʊ
u.so,i.so,uso,iso,usoʊ,isoʊ
u.vo,i.vo,uvo,ivo,uvoʊ,ivoʊ
u.zo,i.zo,uzo,izo,uzoʊ,izoʊ
u.ʃo,i.ʃo,uʃo,iʃo,uʃoʊ,iʃoʊ
u.ʒo,i.ʒo,uʒo,iʒo,uʒoʊ,iʒoʊ
u.θo,i.θo,uθo,iθo,uθoʊ,iθoʊ
u.ðo,i.ðo,uðo,iðo,uðoʊ,iðoʊ
u.ho,i.ho,uho,iho,uhoʊ,ihoʊ
o.mi,e.mi,omi,emi,oʊmi,eɪmi
o.ni,e.ni,oni,eni,oʊni,eɪni
o.pi,e.pi,opi,epi,oʊpi,eɪpi
o.ti,e.ti,oti,eti,oʊti,eɪti
o.ki,e.ki,oki,eki,oʊki,eɪki
o.bi,e.bi,obi,ebi,oʊbi,eɪbi
o.di,e.di,odi,edi,oʊdi,eɪdi
o.gi,e.gi,ogi,egi,oʊgi,eɪgi
o.fi,e.fi,ofi,efi,oʊfi,eɪfi
o.si,e.si,osi,esi,oʊsi,eɪsi
o.vi,e.vi,ovi,evi,oʊvi,eɪvi
o.zi,e.zi,ozi,ezi,oʊzi,eɪzi
o.ʃi,e.ʃi,oʃi,eʃi,oʊʃi,eɪʃi
o.ʒi,e.ʒi,oʒi,eʒi,oʊʒi,eɪʒi
o.θi,e.θi,oθi,eθi,oʊθi,eɪθi
o.ði,e.ði,oði,eði,oʊði,eɪði
o.hi,e.hi,ohi,ehi,oʊhi,eɪhi
o.me,e.me,ome,eme,oʊmeɪ,eɪmeɪ
o.ne,e.ne,one,ene,oʊneɪ,eɪneɪ
o.pe,e.pe,ope,epe,oʊpeɪ,eɪpeɪ
o.te,e.te,ote,ete,oʊteɪ,eɪteɪ
o.ke,e.ke,oke,eke,oʊkeɪ,eɪkeɪ
o.be,e.be,obe,ebe,oʊbeɪ,eɪbeɪ
o.de,e.de,ode,ede,oʊdeɪ,eɪdeɪ
o.ge,e.ge,oge,ege,oʊgeɪ,eɪgeɪ
o.fe,e.fe,ofe,efe,oʊfeɪ,eɪfeɪ
o.se,e.se,ose,ese,oʊseɪ,eɪseɪ
o.ve,e.ve,ove,eve,oʊveɪ,eɪveɪ
o.ze,e.ze,oze,eze,oʊzeɪ,eɪzeɪ
o.ʃe,e.ʃe,oʃe,eʃe,oʊʃeɪ,eɪʃeɪ
o.ʒe,e.ʒe,oʒe,eʒe,oʊʒeɪ,eɪʒeɪ
o.θe,e.θe,oθe,eθe,oʊθeɪ,eɪθeɪ
o.ðe,e.ðe,oðe,eðe,oʊðeɪ,eɪðeɪ
o.he,e.he,ohe,ehe,oʊheɪ,eɪheɪ
o.mu,e.mu,omu,emu,oʊmu,eɪmu
o.nu,e.nu,onu,enu,oʊnu,eɪnu
o.pu,e.pu,opu,epu,oʊpu,eɪpu
o.tu,e.tu,otu,etu,oʊtu,eɪtu
o.ku,e.ku,oku,eku,oʊku,eɪku
o.bu,e.bu,obu,ebu,oʊbu,eɪbu
o.du,e.du,odu,edu,oʊdu,eɪdu
o.gu,e.gu,ogu,egu,oʊgu,eɪgu
o.fu,e.fu,ofu,efu,oʊfu,eɪfu
o.su,e.su,osu,esu,oʊsu,eɪsu
o.vu,e.vu,ovu,evu,oʊvu,eɪvu
o.zu,e.zu,ozu,ezu,oʊzu,eɪzu
o.ʃu,e.ʃu,oʃu,eʃu,oʊʃu,eɪʃu
o.ʒu,e.ʒu,oʒu,eʒu,oʊʒu,eɪʒu
o.θu,e.θu,oθu,eθu,oʊθu,eɪθu
o.ðu,e.ðu,oðu,eðu,oʊðu,eɪðu
o.hu,e.hu,ohu,ehu,oʊhu,eɪhu
o.mo,e.mo,omo,emo,oʊmoʊ,eɪmoʊ
o.no,e.no,ono,eno,oʊnoʊ,eɪnoʊ
o.po,e.po,opo,epo,oʊpoʊ,eɪpoʊ
o.to,e.to,oto,eto,oʊtoʊ,eɪtoʊ
o.ko,e.ko,oko,eko,oʊkoʊ,eɪkoʊ
o.bo,e.bo,obo,ebo,oʊboʊ,eɪboʊ
o.do,e.do,odo,edo,oʊdoʊ,eɪdoʊ
o.go,e.go,ogo,ego,oʊgoʊ,eɪgoʊ
o.fo,e.fo,ofo,efo,oʊfoʊ,eɪfoʊ
o.so,e.so,oso,eso,oʊsoʊ,eɪsoʊ
o.vo,e.vo,ovo,evo,oʊvoʊ,eɪvoʊ
o.zo,e.zo,ozo,ezo,oʊzoʊ,eɪzoʊ
o.ʃo,e.ʃo,oʃo,eʃo,oʊʃoʊ,eɪʃoʊ
o.ʒo,e.ʒo,oʒo,eʒo,oʊʒoʊ,eɪʒoʊ
o.θo,e.θo,oθo,eθo,oʊθoʊ,eɪθoʊ
o.ðo,e.ðo,oðo,eðo,oʊðoʊ,eɪðoʊ
o.ho,e.ho,oho,eho,oʊhoʊ,eɪhoʊ
i.mɪm,u.mɪm,imɪm,umɪm,imɪm,umɪm
i.mɪn,u.mɪn,imɪn,umɪn,imɪn,umɪn
i.mɪŋ,u.mɪŋ,imɪŋ,umɪŋ,imɪŋ,umɪŋ
i.mɪp,u.mɪp,imɪp,umɪp,imɪp,umɪp
i.mɪt,u.mɪt,imɪt,umɪt,imɪt,umɪt
i.mɪk,u.mɪk,imɪk,umɪk,imɪk,umɪk
i.mɪb,u.mɪb,imɪb,umɪb,imɪb,umɪb
i.mɪd,u.mɪd,imɪd,umɪd,imɪd,umɪd
i.mɪg,u.mɪg,imɪg,umɪg,imɪg,umɪg
i.mɪf,u.mɪf,imɪf,umɪf,imɪf,umɪf
i.mɪs,u.mɪs,imɪs,umɪs,imɪs,umɪs
i.mɪv,u.mɪv,imɪv,umɪv,imɪv,umɪv
i.mɪz,u.mɪz,imɪz,umɪz,imɪz,umɪz
i.mɪʃ,u.mɪʃ,imɪʃ,umɪʃ,imɪʃ,umɪʃ
i.mɪʒ,u.mɪʒ,imɪʒ,umɪʒ,imɪʒ,umɪʒ
i.mɪθ,u.mɪθ,imɪθ,umɪθ,imɪθ,umɪθ
i.mɪð,u.mɪð,imɪð,umɪð,imɪð,umɪð
i.nɪm,u.nɪm,inɪm,unɪm,inɪm,unɪm
i.nɪn,u.nɪn,inɪn,unɪn,inɪn,unɪn
i.nɪŋ,u.nɪŋ,inɪŋ,unɪŋ,inɪŋ,unɪŋ
i.nɪp,u.nɪp,inɪp,unɪp,inɪp,unɪp
i.nɪt,u.nɪt,inɪt,unɪt,inɪt,unɪt
i.nɪk,u.nɪk,inɪk,unɪk,inɪk,unɪk
i.nɪb,u.nɪb,inɪb,unɪb,inɪb,unɪb
i.nɪd,u.nɪd,inɪd,unɪd,inɪd,unɪd
i.nɪg,u.nɪg,inɪg,unɪg,inɪg,unɪg
i.nɪf,u.nɪf,inɪf,unɪf,inɪf,unɪf
i.nɪs,u.nɪs,inɪs,unɪs,inɪs,unɪs
i.nɪv,u.nɪv,inɪv,unɪv,inɪv,unɪv
i.nɪz,u.nɪz,inɪz,unɪz,inɪz,unɪz
i.nɪʃ,u.nɪʃ,inɪʃ,unɪʃ,inɪʃ,unɪʃ
i.nɪʒ,u.nɪʒ,inɪʒ,unɪʒ,inɪʒ,unɪʒ
i.nɪθ,u.nɪθ,inɪθ,unɪθ,inɪθ,unɪθ
i.nɪð,u.nɪð,inɪð,unɪð,inɪð,unɪð
i.pɪm,u.pɪm,ipɪm,upɪm,ipɪm,upɪm
i.pɪn,u.pɪn,ipɪn,upɪn,ipɪn,upɪn
i.pɪŋ,u.pɪŋ,ipɪŋ,upɪŋ,ipɪŋ,upɪŋ
i.pɪp,u.pɪp,ipɪp,upɪp,ipɪp,upɪp
i.pɪt,u.pɪt,ipɪt,upɪt,ipɪt,upɪt
i.pɪk,u.pɪk,ipɪk,upɪk,ipɪk,upɪk
i.pɪb,u.pɪb,ipɪb,upɪb,ipɪb,upɪb
i.pɪd,u.pɪd,ipɪd,upɪd,ipɪd,upɪd
i.pɪg,u.pɪg,ipɪg,upɪg,ipɪg,upɪg
i.pɪf,u.pɪf,ipɪf,upɪf,ipɪf,upɪf
i.pɪs,u.pɪs,ipɪs,upɪs,ipɪs,upɪs
i.pɪv,u.pɪv,ipɪv,upɪv,ipɪv,upɪv
i.pɪz,u.pɪz,ipɪz,upɪz,ipɪz,upɪz
i.pɪʃ,u.pɪʃ,ipɪʃ,upɪʃ,ipɪʃ,upɪʃ
i.pɪʒ,u.pɪʒ,ipɪʒ,upɪʒ,ipɪʒ,upɪʒ
i.pɪθ,u.pɪθ,ipɪθ,upɪθ,ipɪθ,upɪθ
i.pɪð,u.pɪð,ipɪð,upɪð,ipɪð,upɪð
i.tɪm,u.tɪm,itɪm,utɪm,itɪm,utɪm
i.tɪn,u.tɪn,itɪn,utɪn,itɪn,utɪn
i.tɪŋ,u.tɪŋ,itɪŋ,utɪŋ,itɪŋ,utɪŋ
i.tɪp,u.tɪp,itɪp,utɪp,itɪp,utɪp
i.tɪt,u.tɪt,itɪt,utɪt,itɪt,utɪt
i.tɪk,u.tɪk,itɪk,utɪk,itɪk,utɪk
i.tɪb,u.tɪb,itɪb,utɪb,itɪb,utɪb
i.tɪd,u.tɪd,itɪd,utɪd,itɪd,utɪd
i.tɪg,u.tɪg,itɪg,utɪg,itɪg,utɪg
i.tɪf,u.tɪf,itɪf,utɪf,itɪf,utɪf
i.tɪs,u.tɪs,itɪs,utɪs,itɪs,utɪs
i.tɪv,u.tɪv,itɪv,utɪv,itɪv,utɪv
i.tɪz,u.tɪz,itɪz,utɪz,itɪz,utɪz
i.tɪʃ,u.tɪʃ,itɪʃ,utɪʃ,itɪʃ,utɪʃ
i.tɪʒ,u.tɪʒ,itɪʒ,utɪʒ,itɪʒ,utɪʒ
i.tɪθ,u.tɪθ,itɪθ,utɪθ,itɪθ,utɪθ
i.tɪð,u.tɪð,itɪð,utɪð,itɪð,utɪð
i.kɪm,u.kɪm,ikɪm,ukɪm,ikɪm,ukɪm
i.kɪn,u.kɪn,ikɪn,ukɪn,ikɪn,ukɪn
i.kɪŋ,u.kɪŋ,ikɪŋ,ukɪŋ,ikɪŋ,ukɪŋ
i.kɪp,u.kɪp,ikɪp,ukɪp,ikɪp,ukɪp
i.kɪt,u.kɪt,ikɪt,ukɪt,ikɪt,ukɪt
i.kɪk,u.kɪk,ikɪk,ukɪk,ikɪk,ukɪk
i.kɪb,u.kɪb,ikɪb,ukɪb,ikɪb,ukɪb
i.kɪd,u.kɪd,ikɪd,ukɪd,ikɪd,ukɪd
i.kɪg,u.kɪg,ikɪg,ukɪg,ikɪg,ukɪg
i.kɪf,u.kɪf,ikɪf,ukɪf,ikɪf,ukɪf
i.kɪs,u.kɪs,ikɪs,ukɪs,ikɪs,ukɪs
i.kɪv,u.kɪv,ikɪv,ukɪv,ikɪv,ukɪv
i.kɪz,u.kɪz,ikɪz,ukɪz,ikɪz,ukɪz
i.kɪʃ,u.kɪʃ,ikɪʃ,ukɪʃ,ikɪʃ,ukɪʃ
i.kɪʒ,u.kɪʒ,ikɪʒ,ukɪʒ,ikɪʒ,ukɪʒ
i.kɪθ,u.kɪθ,ikɪθ,ukɪθ,ikɪθ,ukɪθ
i.kɪð,u.kɪð,ikɪð,ukɪð,ikɪð,ukɪð
i.bɪm,u.bɪm,ibɪm,ubɪm,ibɪm,ubɪm
i.bɪn,u.bɪn,ibɪn,ubɪn,ibɪn,ubɪn
i.bɪŋ,u.bɪŋ,ibɪŋ,ubɪŋ,ibɪŋ,ubɪŋ
i.bɪp,u.bɪp,ibɪp,ubɪp,ibɪp,ubɪp
i.bɪt,u.bɪt,ibɪt,ubɪt,ibɪt,ubɪt
i.bɪk,u.bɪk,ibɪk,ubɪk,ibɪk,ubɪk
i.bɪb,u.bɪb,ibɪb,ubɪb,ibɪb,ubɪb
i.bɪd,u.bɪd,ibɪd,ubɪd,ibɪd,ubɪd
i.bɪg,u.bɪg,ibɪg,ubɪg,ibɪg,ubɪg
i.bɪf,u.bɪf,ibɪf,ubɪf,ibɪf,ubɪf
i.bɪs,u.bɪs,ibɪs,ubɪs,ibɪs,ubɪs
i.bɪv,u.bɪv,ibɪv,ubɪv,ibɪv,ubɪv
i.bɪz,u.bɪz,ibɪz,ubɪz,ibɪz,ubɪz
i.bɪʃ,u.bɪʃ,ibɪʃ,ubɪʃ,ibɪʃ,ubɪʃ
i.bɪʒ,u.bɪʒ,ibɪʒ,ubɪʒ,ibɪʒ,ubɪʒ
i.bɪθ,u.bɪθ,ibɪθ,ubɪθ,ibɪθ,ubɪθ
i.bɪð,u.bɪð,ibɪð,ubɪð,ibɪð,ubɪð
i.dɪm,u.dɪm,idɪm,udɪm,idɪm,udɪm
i.dɪn,u.dɪn,idɪn,udɪn,idɪn,udɪn
i.dɪŋ,u.dɪŋ,idɪŋ,udɪŋ,idɪŋ,udɪŋ
i.dɪp,u.dɪp,idɪp,udɪp,idɪp,udɪp
i.dɪt,u.dɪt,idɪt,udɪt,idɪt,udɪt
i.dɪk,u.dɪk,idɪk,udɪk,idɪk,udɪk
i.dɪb,u.dɪb,idɪb,udɪb,idɪb,udɪb
i.dɪd,u.dɪd,idɪd,udɪd,idɪd,udɪd
i.dɪg,u.dɪg,idɪg,udɪg,idɪg,udɪg
i.dɪf,u.dɪf,idɪf,udɪf,idɪf,udɪf
i.dɪs,u.dɪs,idɪs,udɪs,idɪs,udɪs
i.dɪv,u.dɪv,idɪv,udɪv,idɪv,udɪv
i.dɪz,u.dɪz,idɪz,udɪz,idɪz,udɪz
i.dɪʃ,u.dɪʃ,idɪʃ,udɪʃ,idɪʃ,udɪʃ
i.dɪʒ,u.dɪʒ,idɪʒ,udɪʒ,idɪʒ,udɪʒ
i.dɪθ,u.dɪθ,idɪθ,udɪθ,idɪθ,udɪθ
i.dɪð,u.dɪð,idɪð,udɪð,idɪð,udɪð
i.gɪm,u.gɪm,igɪm,ugɪm,igɪm,ugɪm
i.gɪn,u.gɪn,igɪn,ugɪn,igɪn,ugɪn
i.gɪŋ,u.gɪŋ,igɪŋ,ugɪŋ,igɪŋ,ugɪŋ
i.gɪp,u.gɪp,igɪp,ugɪp,igɪp,ugɪp
i.gɪt,u.gɪt,igɪt,ugɪt,igɪt,ugɪt
i.gɪk,u.gɪk,igɪk,ugɪk,igɪk,ugɪk
i.gɪb,u.gɪb,igɪb,ugɪb,igɪb,ugɪb
i.gɪd,u.gɪd,igɪd,ugɪd,igɪd,ugɪd
i.gɪg,u.gɪg,igɪg,ugɪg,igɪg,ugɪg
i.gɪf,u.gɪf,igɪf,ugɪf,igɪf,ugɪf
i.gɪs,u.gɪs,igɪs,ugɪs,igɪs,ugɪs
i.gɪv,u.gɪv,igɪv,ugɪv,igɪv,ugɪv
i.gɪz,u.gɪz,igɪz,ugɪz,igɪz,ugɪz
i.gɪʃ,u.gɪʃ,igɪʃ,ugɪʃ,igɪʃ,ugɪʃ
i.gɪʒ,u.gɪʒ,igɪʒ,ugɪʒ,igɪʒ,ugɪʒ
i.gɪθ,u.gɪθ,igɪθ,ugɪθ,igɪθ,ugɪθ
i.gɪð,u.gɪð,igɪð,ugɪð,igɪð,ugɪð
i.fɪm,u.fɪm,ifɪm,ufɪm,ifɪm,ufɪm
i.fɪn,u.fɪn,ifɪn,ufɪn,ifɪn,ufɪn
i.fɪŋ,u.fɪŋ,ifɪŋ,ufɪŋ,ifɪŋ,ufɪŋ
i.fɪp,u.fɪp,ifɪp,ufɪp,ifɪp,ufɪp
i.fɪt,u.fɪt,ifɪt,ufɪt,ifɪt,ufɪt
i.fɪk,u.fɪk,ifɪk,ufɪk,ifɪk,ufɪk
i.fɪb,u.fɪb,ifɪb,ufɪb,ifɪb,ufɪb
i.fɪd,u.fɪd,ifɪd,ufɪd,ifɪd,ufɪd
i.fɪg,u.fɪg,ifɪg,ufɪg,ifɪg,ufɪg
i.fɪf,u.fɪf,ifɪf,ufɪf,ifɪf,ufɪf
i.fɪs,u.fɪs,ifɪs,ufɪs,ifɪs,ufɪs
i.fɪv,u.fɪv,ifɪv,ufɪv,ifɪv,ufɪv
i.fɪz,u.fɪz,ifɪz,ufɪz,ifɪz,ufɪz
i.fɪʃ,u.fɪʃ,ifɪʃ,ufɪʃ,ifɪʃ,ufɪʃ
i.fɪʒ,u.fɪʒ,ifɪʒ,ufɪʒ,ifɪʒ,ufɪʒ
i.fɪθ,u.fɪθ,ifɪθ,ufɪθ,ifɪθ,ufɪθ
