stem,ur_ref,sr_ref,ur,sr
eɪ,eɪdu,eɪdi,edu,edi
eɪ,eɪgu,eɪgi,egu,egi
eɪ,eɪfu,eɪfi,efu,efi
eɪ,eɪsu,eɪsi,esu,esi
eɪ,eɪvu,eɪvi,evu,evi
eɪ,eɪzu,eɪzi,ezu,ezi
eɪ,eɪʃu,eɪʃi,eʃu,eʃi
eɪ,eɪʒu,eɪʒi,eʒu,eʒi
eɪ,eɪθu,eɪθi,eθu,eθi
eɪ,eɪðu,eɪði,eðu,eði
eɪ,eɪhu,eɪhi,ehu,ehi
u,umeɪ,umoʊ,ume,umo
u,uneɪ,unoʊ,une,uno
u,upeɪ,upoʊ,upe,upo
u,uteɪ,utoʊ,ute,uto
u,ukeɪ,ukoʊ,uke,uko
u,ubeɪ,uboʊ,ube,ubo
u,udeɪ,udoʊ,ude,udo
u,ugeɪ,ugoʊ,uge,ugo
u,ufeɪ,ufoʊ,ufe,ufo
u,useɪ,usoʊ,use,uso
u,uveɪ,uvoʊ,uve,uvo
u,uzeɪ,uzoʊ,uze,uzo
u,uʃeɪ,uʃoʊ,uʃe,uʃo
u,uʒeɪ,uʒoʊ,uʒe,uʒo
u,uθeɪ,uθoʊ,uθe,uθo
u,uðeɪ,uðoʊ,uðe,uðo
u,uheɪ,uhoʊ,uhe,uho
u,umoʊ,umoʊ,umo,umo
u,unoʊ,unoʊ,uno,uno
u,upoʊ,upoʊ,upo,upo
u,utoʊ,utoʊ,uto,uto
u,ukoʊ,ukoʊ,uko,uko
u,uboʊ,uboʊ,ubo,ubo
u,udoʊ,udoʊ,udo,udo
u,ugoʊ,ugoʊ,ugo,ugo
u,ufoʊ,ufoʊ,ufo,ufo
u,usoʊ,usoʊ,uso,uso
u,uvoʊ,uvoʊ,uvo,uvo
u,uzoʊ,uzoʊ,uzo,uzo
u,uʃoʊ,uʃoʊ,uʃo,uʃo
u,uʒoʊ,uʒoʊ,uʒo,uʒo
u,uθoʊ,uθoʊ,uθo,uθo
u,uðoʊ,uðoʊ,uðo,uðo
u,uhoʊ,uhoʊ,uho,uho
oʊ,oʊmi,oʊmu,omi,omu
oʊ,oʊni,oʊnu,oni,onu
oʊ,oʊpi,oʊpu,opi,opu
oʊ,oʊti,oʊtu,oti,otu
oʊ,oʊki,oʊku,oki,oku
oʊ,oʊbi,oʊbu,obi,obu
oʊ,oʊdi,oʊdu,odi,odu
oʊ,oʊgi,oʊgu,ogi,ogu
oʊ,oʊfi,oʊfu,ofi,ofu
oʊ,oʊsi,oʊsu,osi,osu
oʊ,oʊvi,oʊvu,ovi,ovu
oʊ,oʊzi,oʊzu,ozi,ozu
oʊ,oʊʃi,oʊʃu,oʃi,oʃu
oʊ,oʊʒi,oʊʒu,oʒi,oʒu
oʊ,oʊθi,oʊθu,oθi,oθu
oʊ,oʊði,oʊðu,oði,oðu
oʊ,oʊhi,oʊhu,ohi,ohu
oʊ,oʊmu,oʊmu,omu,omu
oʊ,oʊnu,oʊnu,onu,onu
oʊ,oʊpu,oʊpu,opu,opu
oʊ,oʊtu,oʊtu,otu,otu
oʊ,oʊku,oʊku,oku,oku
oʊ,oʊbu,oʊbu,obu,obu
oʊ,oʊdu,oʊdu,odu,odu
oʊ,oʊgu,oʊgu,ogu,ogu
oʊ,oʊfu,oʊfu,ofu,ofu
oʊ,oʊsu,oʊsu,osu,osu
oʊ,oʊvu,oʊvu,ovu,ovu
oʊ,oʊzu,oʊzu,ozu,ozu
oʊ,oʊʃu,oʊʃu,oʃu,oʃu
oʊ,oʊʒu,oʊʒu,oʒu,oʒu
oʊ,oʊθu,oʊθu,oθu,oθu
oʊ,oʊðu,oʊðu,oðu,oðu
oʊ,oʊhu,oʊhu,ohu,ohu
i,imɪm,imɪm,imɪm,imɪm
i,imɪn,imɪn,imɪn,imɪn
i,imɪŋ,imɪŋ,imɪŋ,imɪŋ
i,imɪp,imɪp,imɪp,imɪp
i,imɪt,imɪt,imɪt,imɪt
i,imɪk,imɪk,imɪk,imɪk
i,imɪb,imɪb,imɪb,imɪb
i,imɪd,imɪd,imɪd,imɪd
i,imɪg,imɪg,imɪg,imɪg
i,imɪf,imɪf,imɪf,imɪf
i,imɪs,imɪs,imɪs,imɪs
i,imɪv,imɪv,imɪv,imɪv
i,imɪz,imɪz,imɪz,imɪz
i,imɪʃ,imɪʃ,imɪʃ,imɪʃ
i,imɪʒ,imɪʒ,imɪʒ,imɪʒ
i,imɪθ,imɪθ,imɪθ,imɪθ
i,imɪð,imɪð,imɪð,imɪð
i,inɪm,inɪm,inɪm,inɪm
i,inɪn,inɪn,inɪn,inɪn
i,inɪŋ,inɪŋ,inɪŋ,inɪŋ
i,inɪp,inɪp,inɪp,inɪp
i,inɪt,inɪt,inɪt,inɪt
i,inɪk,inɪk,inɪk,inɪk
i,inɪb,inɪb,inɪb,inɪb
i,inɪd,inɪd,inɪd,inɪd
i,inɪg,inɪg,inɪg,inɪg
i,inɪf,inɪf,inɪf,inɪf
i,inɪs,inɪs,inɪs,inɪs
i,inɪv,inɪv,inɪv,inɪv
i,inɪz,inɪz,inɪz,inɪz
i,inɪʃ,inɪʃ,inɪʃ,inɪʃ
i,inɪʒ,inɪʒ,inɪʒ,inɪʒ
i,inɪθ,inɪθ,inɪθ,inɪθ
i,inɪð,inɪð,inɪð,inɪð
i,ipɪm,ipɪm,ipɪm,ipɪm
i,ipɪn,ipɪn,ipɪn,ipɪn
i,ipɪŋ,ipɪŋ,ipɪŋ,ipɪŋ
i,ipɪp,ipɪp,ipɪp,ipɪp
i,ipɪt,ipɪt,ipɪt,ipɪt
i,ipɪk,ipɪk,ipɪk,ipɪk
i,ipɪb,ipɪb,ipɪb,ipɪb
i,ipɪd,ipɪd,ipɪd,ipɪd
i,ipɪg,ipɪg,ipɪg,ipɪg
i,ipɪf,ipɪf,ipɪf,ipɪf
i,ipɪs,ipɪs,ipɪs,ipɪs
i,ipɪv,ipɪv,ipɪv,ipɪv
i,ipɪz,ipɪz,ipɪz,ipɪz
i,ipɪʃ,ipɪʃ,ipɪʃ,ipɪʃ
i,ipɪʒ,ipɪʒ,ipɪʒ,ipɪʒ
i,ipɪθ,ipɪθ,ipɪθ,ipɪθ
i,ipɪð,ipɪð,ipɪð,ipɪð
i,itɪm,itɪm,itɪm,itɪm
i,itɪn,itɪn,itɪn,itɪn
i,itɪŋ,itɪŋ,itɪŋ,itɪŋ
i,itɪp,itɪp,itɪp,itɪp
i,itɪt,itɪt,itɪt,itɪt
i,itɪk,itɪk,itɪk,itɪk
i,itɪb,itɪb,itɪb,itɪb
i,itɪd,itɪd,itɪd,itɪd
i,itɪg,itɪg,itɪg,itɪg
i,itɪf,itɪf,itɪf,itɪf
i,itɪs,itɪs,itɪs,itɪs
i,itɪv,itɪv,itɪv,itɪv
i,itɪz,itɪz,itɪz,itɪz
i,itɪʃ,itɪʃ,itɪʃ,itɪʃ
i,itɪʒ,itɪʒ,itɪʒ,itɪʒ
i,itɪθ,itɪθ,itɪθ,itɪθ
i,itɪð,itɪð,itɪð,itɪð
i,ikɪm,ikɪm,ikɪm,ikɪm
i,ikɪn,ikɪn,ikɪn,ikɪn
i,ikɪŋ,ikɪŋ,ikɪŋ,ikɪŋ
i,ikɪp,ikɪp,ikɪp,ikɪp
i,ikɪt,ikɪt,ikɪt,ikɪt
i,ikɪk,ikɪk,ikɪk,ikɪk
i,ikɪb,ikɪb,ikɪb,ikɪb
i,ikɪd,ikɪd,ikɪd,ikɪd
i,ikɪg,ikɪg,ikɪg,ikɪg
i,ikɪf,ikɪf,ikɪf,ikɪf
i,ikɪs,ikɪs,ikɪs,ikɪs
i,ikɪv,ikɪv,ikɪv,ikɪv
i,ikɪz,ikɪz,ikɪz,ikɪz
i,ikɪʃ,ikɪʃ,ikɪʃ,ikɪʃ
i,ikɪʒ,ikɪʒ,ikɪʒ,ikɪʒ
i,ikɪθ,ikɪθ,ikɪθ,ikɪθ
i,ikɪð,ikɪð,ikɪð,ikɪð
i,ibɪm,ibɪm,ibɪm,ibɪm
i,ibɪn,ibɪn,ibɪn,ibɪn
i,ibɪŋ,ibɪŋ,ibɪŋ,ibɪŋ
i,ibɪp,ibɪp,ibɪp,ibɪp
i,ibɪt,ibɪt,ibɪt,ibɪt
i,ibɪk,ibɪk,ibɪk,ibɪk
i,ibɪb,ibɪb,ibɪb,ibɪb
i,ibɪd,ibɪd,ibɪd,ibɪd
i,ibɪg,ibɪg,ibɪg,ibɪg
i,ibɪf,ibɪf,ibɪf,ibɪf
i,ibɪs,ibɪs,ibɪs,ibɪs
i,ibɪv,ibɪv,ibɪv,ibɪv
i,ibɪz,ibɪz,ibɪz,ibɪz
i,ibɪʃ,ibɪʃ,ibɪʃ,ibɪʃ
i,ibɪʒ,ibɪʒ,ibɪʒ,ibɪʒ
i,ibɪθ,ibɪθ,ibɪθ,ibɪθ
i,ibɪð,ibɪð,ibɪð,ibɪð
i,idɪm,idɪm,idɪm,idɪm
i,idɪn,idɪn,idɪn,idɪn
i,idɪŋ,idɪŋ,idɪŋ,idɪŋ
i,idɪp,idɪp,idɪp,idɪp
i,idɪt,idɪt,idɪt,idɪt
i,idɪk,idɪk,idɪk,idɪk
i,idɪb,idɪb,idɪb,idɪb
i,idɪd,idɪd,idɪd,idɪd
i,idɪg,idɪg,idɪg,idɪg
i,idɪf,idɪf,idɪf,idɪf
i,idɪs,idɪs,idɪs,idɪs
i,idɪv,idɪv,idɪv,idɪv
i,idɪz,idɪz,idɪz,idɪz
i,idɪʃ,idɪʃ,idɪʃ,idɪʃ
i,idɪʒ,idɪʒ,idɪʒ,idɪʒ
i,idɪθ,idɪθ,idɪθ,idɪθ
i,idɪð,idɪð,idɪð,idɪð
i,igɪm,igɪm,igɪm,igɪm
i,igɪn,igɪn,igɪn,igɪn
i,igɪŋ,igɪŋ,igɪŋ,igɪŋ
i,igɪp,igɪp,igɪp,igɪp
i,igɪt,igɪt,igɪt,igɪt
i,igɪk,igɪk,igɪk,igɪk
i,igɪb,igɪb,igɪb,igɪb
i,igɪd,igɪd,igɪd,igɪd
i,igɪg,igɪg,igɪg,igɪg
i,igɪf,igɪf,igɪf,igɪf
i,igɪs,igɪs,igɪs,igɪs
i,igɪv,igɪv,igɪv,igɪv
i,igɪz,igɪz,igɪz,igɪz
i,igɪʃ,igɪʃ,igɪʃ,igɪʃ
i,igɪʒ,igɪʒ,igɪʒ,igɪʒ
i,igɪθ,igɪθ,igɪθ,igɪθ
i,igɪð,igɪð,igɪð,igɪð
i,ifɪm,ifɪm,ifɪm,ifɪm
i,ifɪn,ifɪn,ifɪn,ifɪn
i,ifɪŋ,ifɪŋ,ifɪŋ,ifɪŋ
i,ifɪp,ifɪp,ifɪp,ifɪp
i,ifɪt,ifɪt,ifɪt,ifɪt
i,ifɪk,ifɪk,ifɪk,ifɪk
i,ifɪb,ifɪb,ifɪb,ifɪb
i,ifɪd,ifɪd,ifɪd,ifɪd
i,ifɪg,ifɪg,ifɪg,ifɪg
i,ifɪf,ifɪf,ifɪf,ifɪf
i,ifɪs,ifɪs,ifɪs,ifɪs
i,ifɪv,ifɪv,ifɪv,ifɪv
i,ifɪz,ifɪz,ifɪz,ifɪz
i,ifɪʃ,ifɪʃ,ifɪʃ,ifɪʃ
i,ifɪʒ,ifɪʒ,ifɪʒ,ifɪʒ
i,ifɪθ,ifɪθ,ifɪθ,ifɪθ
i,ifɪð,ifɪð,ifɪð,ifɪð
i,isɪm,isɪm,isɪm,isɪm
i,isɪn,isɪn,isɪn,isɪn
i,isɪŋ,isɪŋ,isɪŋ,isɪŋ
i,isɪp,isɪp,isɪp,isɪp
i,isɪt,isɪt,isɪt,isɪt
i,isɪk,isɪk,isɪk,isɪk
i,isɪb,isɪb,isɪb,isɪb
i,isɪd,isɪd,isɪd,isɪd
i,isɪg,isɪg,isɪg,isɪg
i,isɪf,isɪf,isɪf,isɪf
i,isɪs,isɪs,isɪs,isɪs
i,isɪv,isɪv,isɪv,isɪv
i,isɪz,isɪz,isɪz,isɪz
i,isɪʃ,isɪʃ,isɪʃ,isɪʃ
i,isɪʒ,isɪʒ,isɪʒ,isɪʒ
i,isɪθ,isɪθ,isɪθ,isɪθ
i,isɪð,isɪð,isɪð,isɪð
i,ivɪm,ivɪm,ivɪm,ivɪm
i,ivɪn,ivɪn,ivɪn,ivɪn
i,ivɪŋ,ivɪŋ,ivɪŋ,ivɪŋ
i,ivɪp,ivɪp,ivɪp,ivɪp
i,ivɪt,ivɪt,ivɪt,ivɪt
i,ivɪk,ivɪk,ivɪk,ivɪk
i,ivɪb,ivɪb,ivɪb,ivɪb
i,ivɪd,ivɪd,ivɪd,ivɪd
i,ivɪg,ivɪg,ivɪg,ivɪg
i,ivɪf,ivɪf,ivɪf,ivɪf
i,ivɪs,ivɪs,ivɪs,ivɪs
i,ivɪv,ivɪv,ivɪv,ivɪv
i,ivɪz,ivɪz,ivɪz,ivɪz
i,ivɪʃ,ivɪʃ,ivɪʃ,ivɪʃ
i,ivɪʒ,ivɪʒ,ivɪʒ,ivɪʒ
i,ivɪθ,ivɪθ,ivɪθ,ivɪθ
i,ivɪð,ivɪð,ivɪð,ivɪð
i,izɪm,izɪm,izɪm,izɪm
i,izɪn,izɪn,izɪn,izɪn
i,izɪŋ,izɪŋ,izɪŋ,izɪŋ
i,izɪp,izɪp,izɪp,izɪp
i,izɪt,izɪt,izɪt,izɪt
i,izɪk,izɪk,izɪk,izɪk
i,izɪb,izɪb,izɪb,izɪb
i,izɪd,izɪd,izɪd,izɪd
i,izɪg,izɪg,izɪg,izɪg
i,izɪf,izɪf,izɪf,izɪf
i,izɪs,izɪs,izɪs,izɪs
i,izɪv,izɪv,izɪv,izɪv
i,izɪz,izɪz,izɪz,izɪz
i,izɪʃ,izɪʃ,izɪʃ,izɪʃ
i,izɪʒ,izɪʒ,izɪʒ,izɪʒ
i,izɪθ,izɪθ,izɪθ,izɪθ
i,izɪð,izɪð,izɪð,izɪð
i,iʃɪm,iʃɪm,iʃɪm,iʃɪm
i,iʃɪn,iʃɪn,iʃɪn,iʃɪn
i,iʃɪŋ,iʃɪŋ,iʃɪŋ,iʃɪŋ
i,iʃɪp,iʃɪp,iʃɪp,iʃɪp
i,iʃɪt,iʃɪt,iʃɪt,iʃɪt
i,iʃɪk,iʃɪk,iʃɪk,iʃɪk
i,iʃɪb,iʃɪb,iʃɪb,iʃɪb
i,iʃɪd,iʃɪd,iʃɪd,iʃɪd
i,iʃɪg,iʃɪg,iʃɪg,iʃɪg
i,iʃɪf,iʃɪf,iʃɪf,iʃɪf
i,iʃɪs,iʃɪs,iʃɪs,iʃɪs
i,iʃɪv,iʃɪv,iʃɪv,iʃɪv
i,iʃɪz,iʃɪz,iʃɪz,iʃɪz
i,iʃɪʃ,iʃɪʃ,iʃɪʃ,iʃɪʃ
i,iʃɪʒ,iʃɪʒ,iʃɪʒ,iʃɪʒ
i,iʃɪθ,iʃɪθ,iʃɪθ,iʃɪθ
i,iʃɪð,iʃɪð,iʃɪð,iʃɪð
i,iʒɪm,iʒɪm,iʒɪm,iʒɪm
i,iʒɪn,iʒɪn,iʒɪn,iʒɪn
i,iʒɪŋ,iʒɪŋ,iʒɪŋ,iʒɪŋ
i,iʒɪp,iʒɪp,iʒɪp,iʒɪp
i,iʒɪt,iʒɪt,iʒɪt,iʒɪt
i,iʒɪk,iʒɪk,iʒɪk,iʒɪk
i,iʒɪb,iʒɪb,iʒɪb,iʒɪb
i,iʒɪd,iʒɪd,iʒɪd,iʒɪd
i,iʒɪg,iʒɪg,iʒɪg,iʒɪg
i,iʒɪf,iʒɪf,iʒɪf,iʒɪf
i,iʒɪs,iʒɪs,iʒɪs,iʒɪs
i,iʒɪv,iʒɪv,iʒɪv,iʒɪv
i,iʒɪz,iʒɪz,iʒɪz,iʒɪz
i,iʒɪʃ,iʒɪʃ,iʒɪʃ,iʒɪʃ
i,iʒɪʒ,iʒɪʒ,iʒɪʒ,iʒɪʒ
i,iʒɪθ,iʒɪθ,iʒɪθ,iʒɪθ
i,iʒɪð,iʒɪð,iʒɪð,iʒɪð
i,iθɪm,iθɪm,iθɪm,iθɪm
i,iθɪn,iθɪn,iθɪn,iθɪn
i,iθɪŋ,iθɪŋ,iθɪŋ,iθɪŋ
i,iθɪp,iθɪp,iθɪp,iθɪp
i,iθɪt,iθɪt,iθɪt,iθɪt
i,iθɪk,iθɪk,iθɪk,iθɪk
i,iθɪb,iθɪb,iθɪb,iθɪb
i,iθɪd,iθɪd,iθɪd,iθɪd
i,iθɪg,iθɪg,iθɪg,iθɪg
i,iθɪf,iθɪf,iθɪf,iθɪf
i,iθɪs,iθɪs,iθɪs,iθɪs
i,iθɪv,iθɪv,iθɪv,iθɪv
i,iθɪz,iθɪz,iθɪz,iθɪz
i,iθɪʃ,iθɪʃ,iθɪʃ,iθɪʃ
i,iθɪʒ,iθɪʒ,iθɪʒ,iθɪʒ
i,iθɪθ,iθɪθ,iθɪθ,iθɪθ
i,iθɪð,iθɪð,iθɪð,iθɪð
i,iðɪm,iðɪm,iðɪm,iðɪm
i,iðɪn,iðɪn,iðɪn,iðɪn
i,iðɪŋ,iðɪŋ,iðɪŋ,iðɪŋ
i,iðɪp,iðɪp,iðɪp,iðɪp
i,iðɪt,iðɪt,iðɪt,iðɪt
i,iðɪk,iðɪk,iðɪk,iðɪk
i,iðɪb,iðɪb,iðɪb,iðɪb
i,iðɪd,iðɪd,iðɪd,iðɪd
i,iðɪg,iðɪg,iðɪg,iðɪg
i,iðɪf,iðɪf,iðɪf,iðɪf
i,iðɪs,iðɪs,iðɪs,iðɪs
i,iðɪv,iðɪv,iðɪv,iðɪv
i,iðɪz,iðɪz,iðɪz,iðɪz
i,iðɪʃ,iðɪʃ,iðɪʃ,iðɪʃ
i,iðɪʒ,iðɪʒ,iðɪʒ,iðɪʒ
i,iðɪθ,iðɪθ,iðɪθ,iðɪθ
i,iðɪð,iðɪð,iðɪð,iðɪð
i,ihɪm,ihɪm,ihɪm,ihɪm
i,ihɪn,ihɪn,ihɪn,ihɪn
i,ihɪŋ,ihɪŋ,ihɪŋ,ihɪŋ
i,ihɪp,ihɪp,ihɪp,ihɪp
i,ihɪt,ihɪt,ihɪt,ihɪt
i,ihɪk,ihɪk,ihɪk,ihɪk
i,ihɪb,ihɪb,ihɪb,ihɪb
i,ihɪd,ihɪd,ihɪd,ihɪd
i,ihɪg,ihɪg,ihɪg,ihɪg
i,ihɪf,ihɪf,ihɪf,ihɪf
i,ihɪs,ihɪs,ihɪs,ihɪs
i,ihɪv,ihɪv,ihɪv,ihɪv
i,ihɪz,ihɪz,ihɪz,ihɪz
i,ihɪʃ,ihɪʃ,ihɪʃ,ihɪʃ
i,ihɪʒ,ihɪʒ,ihɪʒ,ihɪʒ
i,ihɪθ,ihɪθ,ihɪθ,ihɪθ
i,ihɪð,ihɪð,ihɪð,ihɪð
i,imɛm,imɛm,imɛm,imɛm
i,imɛn,imɛn,imɛn,imɛn
i,imɛŋ,imɛŋ,imɛŋ,imɛŋ
i,imɛp,imɛp,imɛp,imɛp
i,imɛt,imɛt,imɛt,imɛt
i,imɛk,imɛk,imɛk,imɛk
i,imɛb,imɛb,imɛb,imɛb
i,imɛd,imɛd,imɛd,imɛd
i,imɛg,imɛg,imɛg,imɛg
i,imɛf,imɛf,imɛf,imɛf
i,imɛs,imɛs,imɛs,imɛs
i,imɛv,imɛv,imɛv,imɛv
i,imɛz,imɛz,imɛz,imɛz
i,imɛʃ,imɛʃ,imɛʃ,imɛʃ
i,imɛʒ,imɛʒ,imɛʒ,imɛʒ
i,imɛθ,imɛθ,imɛθ,imɛθ
i,imɛð,imɛð,imɛð,imɛð
i,inɛm,inɛm,inɛm,inɛm
i,inɛn,inɛn,inɛn,inɛn
i,inɛŋ,inɛŋ,inɛŋ,inɛŋ
i,inɛp,inɛp,inɛp,inɛp
i,inɛt,inɛt,inɛt,inɛt
i,inɛk,inɛk,inɛk,inɛk
i,inɛb,inɛb,inɛb,inɛb
i,inɛd,inɛd,inɛd,inɛd
i,inɛg,inɛg,inɛg,inɛg
i,inɛf,inɛf,inɛf,inɛf
i,inɛs,inɛs,inɛs,inɛs
i,inɛv,inɛv,inɛv,inɛv
i,inɛz,inɛz,inɛz,inɛz
i,inɛʃ,inɛʃ,inɛʃ,inɛʃ
i,inɛʒ,inɛʒ,inɛʒ,inɛʒ
i,inɛθ,inɛθ,inɛθ,inɛθ
i,inɛð,inɛð,inɛð,inɛð
i,ipɛm,ipɛm,ipɛm,ipɛm
i,ipɛn,ipɛn,ipɛn,ipɛn
i,ipɛŋ,ipɛŋ,ipɛŋ,ipɛŋ
i,ipɛp,ipɛp,ipɛp,ipɛp
i,ipɛt,ipɛt,ipɛt,ipɛt
i,ipɛk,ipɛk,ipɛk,ipɛk
i,ipɛb,ipɛb,ipɛb,ipɛb
i,ipɛd,ipɛd,ipɛd,ipɛd
i,ipɛg,ipɛg,ipɛg,ipɛg
i,ipɛf,ipɛf,ipɛf,ipɛf
i,ipɛs,ipɛs,ipɛs,ipɛs
i,ipɛv,ipɛv,ipɛv,ipɛv
i,ipɛz,ipɛz,ipɛz,ipɛz
i,ipɛʃ,ipɛʃ,ipɛʃ,ipɛʃ
i,ipɛʒ,ipɛʒ,ipɛʒ,ipɛʒ
i,ipɛθ,ipɛθ,ipɛθ,ipɛθ
i,ipɛð,ipɛð,ipɛð,ipɛð
i,itɛm,itɛm,itɛm,itɛm
i,itɛn,itɛn,itɛn,itɛn
i,itɛŋ,itɛŋ,itɛŋ,itɛŋ
i,itɛp,itɛp,itɛp,itɛp
i,itɛt,itɛt,itɛt,itɛt
i,itɛk,itɛk,itɛk,itɛk
i,itɛb,itɛb,itɛb,itɛb
i,itɛd,itɛd,itɛd,itɛd
i,itɛg,itɛg,itɛg,itɛg
i,itɛf,itɛf,itɛf,itɛf
i,itɛs,itɛs,itɛs,itɛs
i,itɛv,itɛv,itɛv,itɛv
i,itɛz,itɛz,itɛz,itɛz
i,itɛʃ,itɛʃ,itɛʃ,itɛʃ
i,itɛʒ,itɛʒ,itɛʒ,itɛʒ
i,itɛθ,itɛθ,itɛθ,itɛθ
i,itɛð,itɛð,itɛð,itɛð
i,ikɛm,ikɛm,ikɛm,ikɛm
i,ikɛn,ikɛn,ikɛn,ikɛn
i,ikɛŋ,ikɛŋ,ikɛŋ,ikɛŋ
i,ikɛp,ikɛp,ikɛp,ikɛp
i,ikɛt,ikɛt,ikɛt,ikɛt
i,ikɛk,ikɛk,ikɛk,ikɛk
i,ikɛb,ikɛb,ikɛb,ikɛb
i,ikɛd,ikɛd,ikɛd,ikɛd
i,ikɛg,ikɛg,ikɛg,ikɛg
i,ikɛf,ikɛf,ikɛf,ikɛf
i,ikɛs,ikɛs,ikɛs,ikɛs
i,ikɛv,ikɛv,ikɛv,ikɛv
i,ikɛz,ikɛz,ikɛz,ikɛz
i,ikɛʃ,ikɛʃ,ikɛʃ,ikɛʃ
i,ikɛʒ,ikɛʒ,ikɛʒ,ikɛʒ
i,ikɛθ,ikɛθ,ikɛθ,ikɛθ
i,ikɛð,ikɛð,ikɛð,ikɛð
i,ibɛm,ibɛm,ibɛm,ibɛm
i,ibɛn,ibɛn,ibɛn,ibɛn
i,ibɛŋ,ibɛŋ,ibɛŋ,ibɛŋ
i,ibɛp,ibɛp,ibɛp,ibɛp
i,ibɛt,ibɛt,ibɛt,ibɛt
i,ibɛk,ibɛk,ibɛk,ibɛk
i,ibɛb,ibɛb,ibɛb,ibɛb
i,ibɛd,ibɛd,ibɛd,ibɛd
i,ibɛg,ibɛg,ibɛg,ibɛg
i,ibɛf,ibɛf,ibɛf,ibɛf
i,ibɛs,ibɛs,ibɛs,ibɛs
i,ibɛv,ibɛv,ibɛv,ibɛv
i,ibɛz,ibɛz,ibɛz,ibɛz
i,ibɛʃ,ibɛʃ,ibɛʃ,ibɛʃ
i,ibɛʒ,ibɛʒ,ibɛʒ,ibɛʒ
i,ibɛθ,ibɛθ,ibɛθ,ibɛθ
i,ibɛð,ibɛð,ibɛð,ibɛð
i,idɛm,idɛm,idɛm,idɛm
i,idɛn,idɛn,idɛn,idɛn
i,idɛŋ,idɛŋ,idɛŋ,idɛŋ
i,idɛp,idɛp,idɛp,idɛp
i,idɛt,idɛt,idɛt,idɛt
i,idɛk,idɛk,idɛk,idɛk
i,idɛb,idɛb,idɛb,idɛb
i,idɛd,idɛd,idɛd,idɛd
i,idɛg,idɛg,idɛg,idɛg
i,idɛf,idɛf,idɛf,idɛf
i,idɛs,idɛs,idɛs,idɛs
i,idɛv,idɛv,idɛv,idɛv
i,idɛz,idɛz,idɛz,idɛz
i,idɛʃ,idɛʃ,idɛʃ,idɛʃ
i,idɛʒ,idɛʒ,idɛʒ,idɛʒ
i,idɛθ,idɛθ,idɛθ,idɛθ
i,idɛð,idɛð,idɛð,idɛð
i,igɛm,igɛm,igɛm,igɛm
i,igɛn,igɛn,igɛn,igɛn
i,igɛŋ,igɛŋ,igɛŋ,igɛŋ
i,igɛp,igɛp,igɛp,igɛp
i,igɛt,igɛt,igɛt,igɛt
