ur_syll,sr_syll,ur_string,sr_string
i.pɪð,i.pʊð,ipɪð,ipʊð
i.tɪm,i.tʊm,itɪm,itʊm
i.tɪn,i.tʊn,itɪn,itʊn
i.tɪŋ,i.tʊŋ,itɪŋ,itʊŋ
i.tɪp,i.tʊp,itɪp,itʊp
i.tɪt,i.tʊt,itɪt,itʊt
i.tɪk,i.tʊk,itɪk,itʊk
i.tɪb,i.tʊb,itɪb,itʊb
i.tɪd,i.tʊd,itɪd,itʊd
i.tɪg,i.tʊg,itɪg,itʊg
i.tɪf,i.tʊf,itɪf,itʊf
i.tɪs,i.tʊs,itɪs,itʊs
i.tɪv,i.tʊv,itɪv,itʊv
i.tɪz,i.tʊz,itɪz,itʊz
i.tɪʃ,i.tʊʃ,itɪʃ,itʊʃ
i.tɪʒ,i.tʊʒ,itɪʒ,itʊʒ
i.tɪθ,i.tʊθ,itɪθ,itʊθ
i.tɪð,i.tʊð,itɪð,itʊð
i.kɪm,i.kʊm,ikɪm,ikʊm
i.kɪn,i.kʊn,ikɪn,ikʊn
i.kɪŋ,i.kʊŋ,ikɪŋ,ikʊŋ
i.kɪp,i.kʊp,ikɪp,ikʊp
i.kɪt,i.kʊt,ikɪt,ikʊt
i.kɪk,i.kʊk,ikɪk,ikʊk
i.kɪb,i.kʊb,ikɪb,ikʊb
i.kɪd,i.kʊd,ikɪd,ikʊd
i.kɪg,i.kʊg,ikɪg,ikʊg
i.kɪf,i.kʊf,ikɪf,ikʊf
i.kɪs,i.kʊs,ikɪs,ikʊs
i.kɪv,i.kʊv,ikɪv,ikʊv
i.kɪz,i.kʊz,ikɪz,ikʊz
i.kɪʃ,i.kʊʃ,ikɪʃ,ikʊʃ
i.kɪʒ,i.kʊʒ,ikɪʒ,ikʊʒ
i.kɪθ,i.kʊθ,ikɪθ,ikʊθ
i.kɪð,i.kʊð,ikɪð,ikʊð
i.bɪm,i.bʊm,ibɪm,ibʊm
i.bɪn,i.bʊn,ibɪn,ibʊn
i.bɪŋ,i.bʊŋ,ibɪŋ,ibʊŋ
i.bɪp,i.bʊp,ibɪp,ibʊp
i.bɪt,i.bʊt,ibɪt,ibʊt
i.bɪk,i.bʊk,ibɪk,ibʊk
i.bɪb,i.bʊb,ibɪb,ibʊb
i.bɪd,i.bʊd,ibɪd,ibʊd
i.bɪg,i.bʊg,ibɪg,ibʊg
i.bɪf,i.bʊf,ibɪf,ibʊf
i.bɪs,i.bʊs,ibɪs,ibʊs
i.bɪv,i.bʊv,ibɪv,ibʊv
i.bɪz,i.bʊz,ibɪz,ibʊz
i.bɪʃ,i.bʊʃ,ibɪʃ,ibʊʃ
i.bɪʒ,i.bʊʒ,ibɪʒ,ibʊʒ
i.bɪθ,i.bʊθ,ibɪθ,ibʊθ
i.bɪð,i.bʊð,ibɪð,ibʊð
i.dɪm,i.dʊm,idɪm,idʊm
i.dɪn,i.dʊn,idɪn,idʊn
i.dɪŋ,i.dʊŋ,idɪŋ,idʊŋ
i.dɪp,i.dʊp,idɪp,idʊp
i.dɪt,i.dʊt,idɪt,idʊt
i.dɪk,i.dʊk,idɪk,idʊk
i.dɪb,i.dʊb,idɪb,idʊb
i.dɪd,i.dʊd,idɪd,idʊd
i.dɪg,i.dʊg,idɪg,idʊg
i.dɪf,i.dʊf,idɪf,idʊf
i.dɪs,i.dʊs,idɪs,idʊs
i.dɪv,i.dʊv,idɪv,idʊv
i.dɪz,i.dʊz,idɪz,idʊz
i.dɪʃ,i.dʊʃ,idɪʃ,idʊʃ
i.dɪʒ,i.dʊʒ,idɪʒ,idʊʒ
i.dɪθ,i.dʊθ,idɪθ,idʊθ
i.dɪð,i.dʊð,idɪð,idʊð
i.gɪm,i.gʊm,igɪm,igʊm
i.gɪn,i.gʊn,igɪn,igʊn
i.gɪŋ,i.gʊŋ,igɪŋ,igʊŋ
i.gɪp,i.gʊp,igɪp,igʊp
i.gɪt,i.gʊt,igɪt,igʊt
i.gɪk,i.gʊk,igɪk,igʊk
i.gɪb,i.gʊb,igɪb,igʊb
i.gɪd,i.gʊd,igɪd,igʊd
i.gɪg,i.gʊg,igɪg,igʊg
i.gɪf,i.gʊf,igɪf,igʊf
i.gɪs,i.gʊs,igɪs,igʊs
i.gɪv,i.gʊv,igɪv,igʊv
i.gɪz,i.gʊz,igɪz,igʊz
i.gɪʃ,i.gʊʃ,igɪʃ,igʊʃ
i.gɪʒ,i.gʊʒ,igɪʒ,igʊʒ
i.gɪθ,i.gʊθ,igɪθ,igʊθ
i.gɪð,i.gʊð,igɪð,igʊð
i.fɪm,i.fʊm,ifɪm,ifʊm
i.fɪn,i.fʊn,ifɪn,ifʊn
i.fɪŋ,i.fʊŋ,ifɪŋ,ifʊŋ
i.fɪp,i.fʊp,ifɪp,ifʊp
i.fɪt,i.fʊt,ifɪt,ifʊt
i.fɪk,i.fʊk,ifɪk,ifʊk
i.fɪb,i.fʊb,ifɪb,ifʊb
i.fɪd,i.fʊd,ifɪd,ifʊd
i.fɪg,i.fʊg,ifɪg,ifʊg
i.fɪf,i.fʊf,ifɪf,ifʊf
i.fɪs,i.fʊs,ifɪs,ifʊs
i.fɪv,i.fʊv,ifɪv,ifʊv
i.fɪz,i.fʊz,ifɪz,ifʊz
i.fɪʃ,i.fʊʃ,ifɪʃ,ifʊʃ
i.fɪʒ,i.fʊʒ,ifɪʒ,ifʊʒ
i.fɪθ,i.fʊθ,ifɪθ,ifʊθ
i.fɪð,i.fʊð,ifɪð,ifʊð
i.sɪm,i.sʊm,isɪm,isʊm
i.sɪn,i.sʊn,isɪn,isʊn
i.sɪŋ,i.sʊŋ,isɪŋ,isʊŋ
i.sɪp,i.sʊp,isɪp,isʊp
i.sɪt,i.sʊt,isɪt,isʊt
i.sɪk,i.sʊk,isɪk,isʊk
i.sɪb,i.sʊb,isɪb,isʊb
i.sɪd,i.sʊd,isɪd,isʊd
i.sɪg,i.sʊg,isɪg,isʊg
i.sɪf,i.sʊf,isɪf,isʊf
i.sɪs,i.sʊs,isɪs,isʊs
i.sɪv,i.sʊv,isɪv,isʊv
i.sɪz,i.sʊz,isɪz,isʊz
i.sɪʃ,i.sʊʃ,isɪʃ,isʊʃ
i.sɪʒ,i.sʊʒ,isɪʒ,isʊʒ
i.sɪθ,i.sʊθ,isɪθ,isʊθ
i.sɪð,i.sʊð,isɪð,isʊð
i.vɪm,i.vʊm,ivɪm,ivʊm
i.vɪn,i.vʊn,ivɪn,ivʊn
i.vɪŋ,i.vʊŋ,ivɪŋ,ivʊŋ
i.vɪp,i.vʊp,ivɪp,ivʊp
i.vɪt,i.vʊt,ivɪt,ivʊt
i.vɪk,i.vʊk,ivɪk,ivʊk
i.vɪb,i.vʊb,ivɪb,ivʊb
i.vɪd,i.vʊd,ivɪd,ivʊd
i.vɪg,i.vʊg,ivɪg,ivʊg
i.vɪf,i.vʊf,ivɪf,ivʊf
i.vɪs,i.vʊs,ivɪs,ivʊs
i.vɪv,i.vʊv,ivɪv,ivʊv
i.vɪz,i.vʊz,ivɪz,ivʊz
i.vɪʃ,i.vʊʃ,ivɪʃ,ivʊʃ
i.vɪʒ,i.vʊʒ,ivɪʒ,ivʊʒ
i.vɪθ,i.vʊθ,ivɪθ,ivʊθ
i.vɪð,i.vʊð,ivɪð,ivʊð
i.zɪm,i.zʊm,izɪm,izʊm
i.zɪn,i.zʊn,izɪn,izʊn
i.zɪŋ,i.zʊŋ,izɪŋ,izʊŋ
i.zɪp,i.zʊp,izɪp,izʊp
i.zɪt,i.zʊt,izɪt,izʊt
i.zɪk,i.zʊk,izɪk,izʊk
i.zɪb,i.zʊb,izɪb,izʊb
i.zɪd,i.zʊd,izɪd,izʊd
i.zɪg,i.zʊg,izɪg,izʊg
i.zɪf,i.zʊf,izɪf,izʊf
i.zɪs,i.zʊs,izɪs,izʊs
i.zɪv,i.zʊv,izɪv,izʊv
i.zɪz,i.zʊz,izɪz,izʊz
i.zɪʃ,i.zʊʃ,izɪʃ,izʊʃ
i.zɪʒ,i.zʊʒ,izɪʒ,izʊʒ
i.zɪθ,i.zʊθ,izɪθ,izʊθ
i.zɪð,i.zʊð,izɪð,izʊð
i.ʃɪm,i.ʃʊm,iʃɪm,iʃʊm
i.ʃɪn,i.ʃʊn,iʃɪn,iʃʊn
i.ʃɪŋ,i.ʃʊŋ,iʃɪŋ,iʃʊŋ
i.ʃɪp,i.ʃʊp,iʃɪp,iʃʊp
i.ʃɪt,i.ʃʊt,iʃɪt,iʃʊt
i.ʃɪk,i.ʃʊk,iʃɪk,iʃʊk
i.ʃɪb,i.ʃʊb,iʃɪb,iʃʊb
i.ʃɪd,i.ʃʊd,iʃɪd,iʃʊd
i.ʃɪg,i.ʃʊg,iʃɪg,iʃʊg
i.ʃɪf,i.ʃʊf,iʃɪf,iʃʊf
i.ʃɪs,i.ʃʊs,iʃɪs,iʃʊs
i.ʃɪv,i.ʃʊv,iʃɪv,iʃʊv
i.ʃɪz,i.ʃʊz,iʃɪz,iʃʊz
i.ʃɪʃ,i.ʃʊʃ,iʃɪʃ,iʃʊʃ
i.ʃɪʒ,i.ʃʊʒ,iʃɪʒ,iʃʊʒ
i.ʃɪθ,i.ʃʊθ,iʃɪθ,iʃʊθ
i.ʃɪð,i.ʃʊð,iʃɪð,iʃʊð
i.ʒɪm,i.ʒʊm,iʒɪm,iʒʊm
i.ʒɪn,i.ʒʊn,iʒɪn,iʒʊn
i.ʒɪŋ,i.ʒʊŋ,iʒɪŋ,iʒʊŋ
i.ʒɪp,i.ʒʊp,iʒɪp,iʒʊp
i.ʒɪt,i.ʒʊt,iʒɪt,iʒʊt
i.ʒɪk,i.ʒʊk,iʒɪk,iʒʊk
i.ʒɪb,i.ʒʊb,iʒɪb,iʒʊb
i.ʒɪd,i.ʒʊd,iʒɪd,iʒʊd
i.ʒɪg,i.ʒʊg,iʒɪg,iʒʊg
i.ʒɪf,i.ʒʊf,iʒɪf,iʒʊf
i.ʒɪs,i.ʒʊs,iʒɪs,iʒʊs
i.ʒɪv,i.ʒʊv,iʒɪv,iʒʊv
i.ʒɪz,i.ʒʊz,iʒɪz,iʒʊz
i.ʒɪʃ,i.ʒʊʃ,iʒɪʃ,iʒʊʃ
i.ʒɪʒ,i.ʒʊʒ,iʒɪʒ,iʒʊʒ
i.ʒɪθ,i.ʒʊθ,iʒɪθ,iʒʊθ
i.ʒɪð,i.ʒʊð,iʒɪð,iʒʊð
i.θɪm,i.θʊm,iθɪm,iθʊm
i.θɪn,i.θʊn,iθɪn,iθʊn
i.θɪŋ,i.θʊŋ,iθɪŋ,iθʊŋ
i.θɪp,i.θʊp,iθɪp,iθʊp
i.θɪt,i.θʊt,iθɪt,iθʊt
i.θɪk,i.θʊk,iθɪk,iθʊk
i.θɪb,i.θʊb,iθɪb,iθʊb
i.θɪd,i.θʊd,iθɪd,iθʊd
i.θɪg,i.θʊg,iθɪg,iθʊg
i.θɪf,i.θʊf,iθɪf,iθʊf
i.θɪs,i.θʊs,iθɪs,iθʊs
i.θɪv,i.θʊv,iθɪv,iθʊv
i.θɪz,i.θʊz,iθɪz,iθʊz
i.θɪʃ,i.θʊʃ,iθɪʃ,iθʊʃ
i.θɪʒ,i.θʊʒ,iθɪʒ,iθʊʒ
i.θɪθ,i.θʊθ,iθɪθ,iθʊθ
i.θɪð,i.θʊð,iθɪð,iθʊð
i.ðɪm,i.ðʊm,iðɪm,iðʊm
i.ðɪn,i.ðʊn,iðɪn,iðʊn
i.ðɪŋ,i.ðʊŋ,iðɪŋ,iðʊŋ
i.ðɪp,i.ðʊp,iðɪp,iðʊp
i.ðɪt,i.ðʊt,iðɪt,iðʊt
i.ðɪk,i.ðʊk,iðɪk,iðʊk
i.ðɪb,i.ðʊb,iðɪb,iðʊb
i.ðɪd,i.ðʊd,iðɪd,iðʊd
i.ðɪg,i.ðʊg,iðɪg,iðʊg
i.ðɪf,i.ðʊf,iðɪf,iðʊf
i.ðɪs,i.ðʊs,iðɪs,iðʊs
i.ðɪv,i.ðʊv,iðɪv,iðʊv
i.ðɪz,i.ðʊz,iðɪz,iðʊz
i.ðɪʃ,i.ðʊʃ,iðɪʃ,iðʊʃ
i.ðɪʒ,i.ðʊʒ,iðɪʒ,iðʊʒ
i.ðɪθ,i.ðʊθ,iðɪθ,iðʊθ
i.ðɪð,i.ðʊð,iðɪð,iðʊð
i.hɪm,i.hʊm,ihɪm,ihʊm
i.hɪn,i.hʊn,ihɪn,ihʊn
i.hɪŋ,i.hʊŋ,ihɪŋ,ihʊŋ
i.hɪp,i.hʊp,ihɪp,ihʊp
i.hɪt,i.hʊt,ihɪt,ihʊt
i.hɪk,i.hʊk,ihɪk,ihʊk
i.hɪb,i.hʊb,ihɪb,ihʊb
i.hɪd,i.hʊd,ihɪd,ihʊd
i.hɪg,i.hʊg,ihɪg,ihʊg
i.hɪf,i.hʊf,ihɪf,ihʊf
i.hɪs,i.hʊs,ihɪs,ihʊs
i.hɪv,i.hʊv,ihɪv,ihʊv
i.hɪz,i.hʊz,ihɪz,ihʊz
i.hɪʃ,i.hʊʃ,ihɪʃ,ihʊʃ
i.hɪʒ,i.hʊʒ,ihɪʒ,ihʊʒ
i.hɪθ,i.hʊθ,ihɪθ,ihʊθ
i.hɪð,i.hʊð,ihɪð,ihʊð
i.mɛm,i.mɔm,imɛm,imɔm
i.mɛn,i.mɔn,imɛn,imɔn
i.mɛŋ,i.mɔŋ,imɛŋ,imɔŋ
i.mɛp,i.mɔp,imɛp,imɔp
i.mɛt,i.mɔt,imɛt,imɔt
i.mɛk,i.mɔk,imɛk,imɔk
i.mɛb,i.mɔb,imɛb,imɔb
i.mɛd,i.mɔd,imɛd,imɔd
i.mɛg,i.mɔg,imɛg,imɔg
i.mɛf,i.mɔf,imɛf,imɔf
i.mɛs,i.mɔs,imɛs,imɔs
i.mɛv,i.mɔv,imɛv,imɔv
i.mɛz,i.mɔz,imɛz,imɔz
i.mɛʃ,i.mɔʃ,imɛʃ,imɔʃ
i.mɛʒ,i.mɔʒ,imɛʒ,imɔʒ
i.mɛθ,i.mɔθ,imɛθ,imɔθ
i.mɛð,i.mɔð,imɛð,imɔð
i.nɛm,i.nɔm,inɛm,inɔm
i.nɛn,i.nɔn,inɛn,inɔn
i.nɛŋ,i.nɔŋ,inɛŋ,inɔŋ
i.nɛp,i.nɔp,inɛp,inɔp
i.nɛt,i.nɔt,inɛt,inɔt
i.nɛk,i.nɔk,inɛk,inɔk
i.nɛb,i.nɔb,inɛb,inɔb
i.nɛd,i.nɔd,inɛd,inɔd
i.nɛg,i.nɔg,inɛg,inɔg
i.nɛf,i.nɔf,inɛf,inɔf
i.nɛs,i.nɔs,inɛs,inɔs
i.nɛv,i.nɔv,inɛv,inɔv
i.nɛz,i.nɔz,inɛz,inɔz
i.nɛʃ,i.nɔʃ,inɛʃ,inɔʃ
i.nɛʒ,i.nɔʒ,inɛʒ,inɔʒ
i.nɛθ,i.nɔθ,inɛθ,inɔθ
i.nɛð,i.nɔð,inɛð,inɔð
i.pɛm,i.pɔm,ipɛm,ipɔm
i.pɛn,i.pɔn,ipɛn,ipɔn
i.pɛŋ,i.pɔŋ,ipɛŋ,ipɔŋ
i.pɛp,i.pɔp,ipɛp,ipɔp
i.pɛt,i.pɔt,ipɛt,ipɔt
i.pɛk,i.pɔk,ipɛk,ipɔk
i.pɛb,i.pɔb,ipɛb,ipɔb
i.pɛd,i.pɔd,ipɛd,ipɔd
i.pɛg,i.pɔg,ipɛg,ipɔg
i.pɛf,i.pɔf,ipɛf,ipɔf
i.pɛs,i.pɔs,ipɛs,ipɔs
i.pɛv,i.pɔv,ipɛv,ipɔv
i.pɛz,i.pɔz,ipɛz,ipɔz
i.pɛʃ,i.pɔʃ,ipɛʃ,ipɔʃ
i.pɛʒ,i.pɔʒ,ipɛʒ,ipɔʒ
