stem,ur_ref,sr_ref,ur,sr
i,ipɪŋ,ipʊŋ,ipɪŋ,ipʊŋ
i,ipɪp,ipʊp,ipɪp,ipʊp
i,ipɪt,ipʊt,ipɪt,ipʊt
i,ipɪk,ipʊk,ipɪk,ipʊk
i,ipɪb,ipʊb,ipɪb,ipʊb
i,ipɪd,ipʊd,ipɪd,ipʊd
i,ipɪg,ipʊg,ipɪg,ipʊg
i,ipɪf,ipʊf,ipɪf,ipʊf
i,ipɪs,ipʊs,ipɪs,ipʊs
i,ipɪv,ipʊv,ipɪv,ipʊv
i,ipɪz,ipʊz,ipɪz,ipʊz
i,ipɪʃ,ipʊʃ,ipɪʃ,ipʊʃ
i,ipɪʒ,ipʊʒ,ipɪʒ,ipʊʒ
i,ipɪθ,ipʊθ,ipɪθ,ipʊθ
i,ipɪð,ipʊð,ipɪð,ipʊð
i,itɪm,itʊm,itɪm,itʊm
i,itɪn,itʊn,itɪn,itʊn
i,itɪŋ,itʊŋ,itɪŋ,itʊŋ
i,itɪp,itʊp,itɪp,itʊp
i,itɪt,itʊt,itɪt,itʊt
i,itɪk,itʊk,itɪk,itʊk
i,itɪb,itʊb,itɪb,itʊb
i,itɪd,itʊd,itɪd,itʊd
i,itɪg,itʊg,itɪg,itʊg
i,itɪf,itʊf,itɪf,itʊf
i,itɪs,itʊs,itɪs,itʊs
i,itɪv,itʊv,itɪv,itʊv
i,itɪz,itʊz,itɪz,itʊz
i,itɪʃ,itʊʃ,itɪʃ,itʊʃ
i,itɪʒ,itʊʒ,itɪʒ,itʊʒ
i,itɪθ,itʊθ,itɪθ,itʊθ
i,itɪð,itʊð,itɪð,itʊð
i,ikɪm,ikʊm,ikɪm,ikʊm
i,ikɪn,ikʊn,ikɪn,ikʊn
i,ikɪŋ,ikʊŋ,ikɪŋ,ikʊŋ
i,ikɪp,ikʊp,ikɪp,ikʊp
i,ikɪt,ikʊt,ikɪt,ikʊt
i,ikɪk,ikʊk,ikɪk,ikʊk
i,ikɪb,ikʊb,ikɪb,ikʊb
i,ikɪd,ikʊd,ikɪd,ikʊd
i,ikɪg,ikʊg,ikɪg,ikʊg
i,ikɪf,ikʊf,ikɪf,ikʊf
i,ikɪs,ikʊs,ikɪs,ikʊs
i,ikɪv,ikʊv,ikɪv,ikʊv
i,ikɪz,ikʊz,ikɪz,ikʊz
i,ikɪʃ,ikʊʃ,ikɪʃ,ikʊʃ
i,ikɪʒ,ikʊʒ,ikɪʒ,ikʊʒ
i,ikɪθ,ikʊθ,ikɪθ,ikʊθ
i,ikɪð,ikʊð,ikɪð,ikʊð
i,ibɪm,ibʊm,ibɪm,ibʊm
i,ibɪn,ibʊn,ibɪn,ibʊn
i,ibɪŋ,ibʊŋ,ibɪŋ,ibʊŋ
i,ibɪp,ibʊp,ibɪp,ibʊp
i,ibɪt,ibʊt,ibɪt,ibʊt
i,ibɪk,ibʊk,ibɪk,ibʊk
i,ibɪb,ibʊb,ibɪb,ibʊb
i,ibɪd,ibʊd,ibɪd,ibʊd
i,ibɪg,ibʊg,ibɪg,ibʊg
i,ibɪf,ibʊf,ibɪf,ibʊf
i,ibɪs,ibʊs,ibɪs,ibʊs
i,ibɪv,ibʊv,ibɪv,ibʊv
i,ibɪz,ibʊz,ibɪz,ibʊz
i,ibɪʃ,ibʊʃ,ibɪʃ,ibʊʃ
i,ibɪʒ,ibʊʒ,ibɪʒ,ibʊʒ
i,ibɪθ,ibʊθ,ibɪθ,ibʊθ
i,ibɪð,ibʊð,ibɪð,ibʊð
i,idɪm,idʊm,idɪm,idʊm
i,idɪn,idʊn,idɪn,idʊn
i,idɪŋ,idʊŋ,idɪŋ,idʊŋ
i,idɪp,idʊp,idɪp,idʊp
i,idɪt,idʊt,idɪt,idʊt
i,idɪk,idʊk,idɪk,idʊk
i,idɪb,idʊb,idɪb,idʊb
i,idɪd,idʊd,idɪd,idʊd
i,idɪg,idʊg,idɪg,idʊg
i,idɪf,idʊf,idɪf,idʊf
i,idɪs,idʊs,idɪs,idʊs
i,idɪv,idʊv,idɪv,idʊv
i,idɪz,idʊz,idɪz,idʊz
i,idɪʃ,idʊʃ,idɪʃ,idʊʃ
i,idɪʒ,idʊʒ,idɪʒ,idʊʒ
i,idɪθ,idʊθ,idɪθ,idʊθ
i,idɪð,idʊð,idɪð,idʊð
i,igɪm,igʊm,igɪm,igʊm
i,igɪn,igʊn,igɪn,igʊn
i,igɪŋ,igʊŋ,igɪŋ,igʊŋ
i,igɪp,igʊp,igɪp,igʊp
i,igɪt,igʊt,igɪt,igʊt
i,igɪk,igʊk,igɪk,igʊk
i,igɪb,igʊb,igɪb,igʊb
i,igɪd,igʊd,igɪd,igʊd
i,igɪg,igʊg,igɪg,igʊg
i,igɪf,igʊf,igɪf,igʊf
i,igɪs,igʊs,igɪs,igʊs
i,igɪv,igʊv,igɪv,igʊv
i,igɪz,igʊz,igɪz,igʊz
i,igɪʃ,igʊʃ,igɪʃ,igʊʃ
i,igɪʒ,igʊʒ,igɪʒ,igʊʒ
i,igɪθ,igʊθ,igɪθ,igʊθ
i,igɪð,igʊð,igɪð,igʊð
i,ifɪm,ifʊm,ifɪm,ifʊm
i,ifɪn,ifʊn,ifɪn,ifʊn
i,ifɪŋ,ifʊŋ,ifɪŋ,ifʊŋ
i,ifɪp,ifʊp,ifɪp,ifʊp
i,ifɪt,ifʊt,ifɪt,ifʊt
i,ifɪk,ifʊk,ifɪk,ifʊk
i,ifɪb,ifʊb,ifɪb,ifʊb
i,ifɪd,ifʊd,ifɪd,ifʊd
i,ifɪg,ifʊg,ifɪg,ifʊg
i,ifɪf,ifʊf,ifɪf,ifʊf
i,ifɪs,ifʊs,ifɪs,ifʊs
i,ifɪv,ifʊv,ifɪv,ifʊv
i,ifɪz,ifʊz,ifɪz,ifʊz
i,ifɪʃ,ifʊʃ,ifɪʃ,ifʊʃ
i,ifɪʒ,ifʊʒ,ifɪʒ,ifʊʒ
i,ifɪθ,ifʊθ,ifɪθ,ifʊθ
i,ifɪð,ifʊð,ifɪð,ifʊð
i,isɪm,isʊm,isɪm,isʊm
i,isɪn,isʊn,isɪn,isʊn
i,isɪŋ,isʊŋ,isɪŋ,isʊŋ
i,isɪp,isʊp,isɪp,isʊp
i,isɪt,isʊt,isɪt,isʊt
i,isɪk,isʊk,isɪk,isʊk
i,isɪb,isʊb,isɪb,isʊb
i,isɪd,isʊd,isɪd,isʊd
i,isɪg,isʊg,isɪg,isʊg
i,isɪf,isʊf,isɪf,isʊf
i,isɪs,isʊs,isɪs,isʊs
i,isɪv,isʊv,isɪv,isʊv
i,isɪz,isʊz,isɪz,isʊz
i,isɪʃ,isʊʃ,isɪʃ,isʊʃ
i,isɪʒ,isʊʒ,isɪʒ,isʊʒ
i,isɪθ,isʊθ,isɪθ,isʊθ
i,isɪð,isʊð,isɪð,isʊð
i,ivɪm,ivʊm,ivɪm,ivʊm
i,ivɪn,ivʊn,ivɪn,ivʊn
i,ivɪŋ,ivʊŋ,ivɪŋ,ivʊŋ
i,ivɪp,ivʊp,ivɪp,ivʊp
i,ivɪt,ivʊt,ivɪt,ivʊt
i,ivɪk,ivʊk,ivɪk,ivʊk
i,ivɪb,ivʊb,ivɪb,ivʊb
i,ivɪd,ivʊd,ivɪd,ivʊd
i,ivɪg,ivʊg,ivɪg,ivʊg
i,ivɪf,ivʊf,ivɪf,ivʊf
i,ivɪs,ivʊs,ivɪs,ivʊs
i,ivɪv,ivʊv,ivɪv,ivʊv
i,ivɪz,ivʊz,ivɪz,ivʊz
i,ivɪʃ,ivʊʃ,ivɪʃ,ivʊʃ
i,ivɪʒ,ivʊʒ,ivɪʒ,ivʊʒ
i,ivɪθ,ivʊθ,ivɪθ,ivʊθ
i,ivɪð,ivʊð,ivɪð,ivʊð
i,izɪm,izʊm,izɪm,izʊm
i,izɪn,izʊn,izɪn,izʊn
i,izɪŋ,izʊŋ,izɪŋ,izʊŋ
i,izɪp,izʊp,izɪp,izʊp
i,izɪt,izʊt,izɪt,izʊt
i,izɪk,izʊk,izɪk,izʊk
i,izɪb,izʊb,izɪb,izʊb
i,izɪd,izʊd,izɪd,izʊd
i,izɪg,izʊg,izɪg,izʊg
i,izɪf,izʊf,izɪf,izʊf
i,izɪs,izʊs,izɪs,izʊs
i,izɪv,izʊv,izɪv,izʊv
i,izɪz,izʊz,izɪz,izʊz
i,izɪʃ,izʊʃ,izɪʃ,izʊʃ
i,izɪʒ,izʊʒ,izɪʒ,izʊʒ
i,izɪθ,izʊθ,izɪθ,izʊθ
i,izɪð,izʊð,izɪð,izʊð
i,iʃɪm,iʃʊm,iʃɪm,iʃʊm
i,iʃɪn,iʃʊn,iʃɪn,iʃʊn
i,iʃɪŋ,iʃʊŋ,iʃɪŋ,iʃʊŋ
i,iʃɪp,iʃʊp,iʃɪp,iʃʊp
i,iʃɪt,iʃʊt,iʃɪt,iʃʊt
i,iʃɪk,iʃʊk,iʃɪk,iʃʊk
i,iʃɪb,iʃʊb,iʃɪb,iʃʊb
i,iʃɪd,iʃʊd,iʃɪd,iʃʊd
i,iʃɪg,iʃʊg,iʃɪg,iʃʊg
i,iʃɪf,iʃʊf,iʃɪf,iʃʊf
i,iʃɪs,iʃʊs,iʃɪs,iʃʊs
i,iʃɪv,iʃʊv,iʃɪv,iʃʊv
i,iʃɪz,iʃʊz,iʃɪz,iʃʊz
i,iʃɪʃ,iʃʊʃ,iʃɪʃ,iʃʊʃ
i,iʃɪʒ,iʃʊʒ,iʃɪʒ,iʃʊʒ
i,iʃɪθ,iʃʊθ,iʃɪθ,iʃʊθ
i,iʃɪð,iʃʊð,iʃɪð,iʃʊð
i,iʒɪm,iʒʊm,iʒɪm,iʒʊm
i,iʒɪn,iʒʊn,iʒɪn,iʒʊn
i,iʒɪŋ,iʒʊŋ,iʒɪŋ,iʒʊŋ
i,iʒɪp,iʒʊp,iʒɪp,iʒʊp
i,iʒɪt,iʒʊt,iʒɪt,iʒʊt
i,iʒɪk,iʒʊk,iʒɪk,iʒʊk
i,iʒɪb,iʒʊb,iʒɪb,iʒʊb
i,iʒɪd,iʒʊd,iʒɪd,iʒʊd
i,iʒɪg,iʒʊg,iʒɪg,iʒʊg
i,iʒɪf,iʒʊf,iʒɪf,iʒʊf
i,iʒɪs,iʒʊs,iʒɪs,iʒʊs
i,iʒɪv,iʒʊv,iʒɪv,iʒʊv
i,iʒɪz,iʒʊz,iʒɪz,iʒʊz
i,iʒɪʃ,iʒʊʃ,iʒɪʃ,iʒʊʃ
i,iʒɪʒ,iʒʊʒ,iʒɪʒ,iʒʊʒ
i,iʒɪθ,iʒʊθ,iʒɪθ,iʒʊθ
i,iʒɪð,iʒʊð,iʒɪð,iʒʊð
i,iθɪm,iθʊm,iθɪm,iθʊm
i,iθɪn,iθʊn,iθɪn,iθʊn
i,iθɪŋ,iθʊŋ,iθɪŋ,iθʊŋ
i,iθɪp,iθʊp,iθɪp,iθʊp
i,iθɪt,iθʊt,iθɪt,iθʊt
i,iθɪk,iθʊk,iθɪk,iθʊk
i,iθɪb,iθʊb,iθɪb,iθʊb
i,iθɪd,iθʊd,iθɪd,iθʊd
i,iθɪg,iθʊg,iθɪg,iθʊg
i,iθɪf,iθʊf,iθɪf,iθʊf
i,iθɪs,iθʊs,iθɪs,iθʊs
i,iθɪv,iθʊv,iθɪv,iθʊv
i,iθɪz,iθʊz,iθɪz,iθʊz
i,iθɪʃ,iθʊʃ,iθɪʃ,iθʊʃ
i,iθɪʒ,iθʊʒ,iθɪʒ,iθʊʒ
i,iθɪθ,iθʊθ,iθɪθ,iθʊθ
i,iθɪð,iθʊð,iθɪð,iθʊð
i,iðɪm,iðʊm,iðɪm,iðʊm
i,iðɪn,iðʊn,iðɪn,iðʊn
i,iðɪŋ,iðʊŋ,iðɪŋ,iðʊŋ
i,iðɪp,iðʊp,iðɪp,iðʊp
i,iðɪt,iðʊt,iðɪt,iðʊt
i,iðɪk,iðʊk,iðɪk,iðʊk
i,iðɪb,iðʊb,iðɪb,iðʊb
i,iðɪd,iðʊd,iðɪd,iðʊd
i,iðɪg,iðʊg,iðɪg,iðʊg
i,iðɪf,iðʊf,iðɪf,iðʊf
i,iðɪs,iðʊs,iðɪs,iðʊs
i,iðɪv,iðʊv,iðɪv,iðʊv
i,iðɪz,iðʊz,iðɪz,iðʊz
i,iðɪʃ,iðʊʃ,iðɪʃ,iðʊʃ
i,iðɪʒ,iðʊʒ,iðɪʒ,iðʊʒ
i,iðɪθ,iðʊθ,iðɪθ,iðʊθ
i,iðɪð,iðʊð,iðɪð,iðʊð
i,ihɪm,ihʊm,ihɪm,ihʊm
i,ihɪn,ihʊn,ihɪn,ihʊn
i,ihɪŋ,ihʊŋ,ihɪŋ,ihʊŋ
i,ihɪp,ihʊp,ihɪp,ihʊp
i,ihɪt,ihʊt,ihɪt,ihʊt
i,ihɪk,ihʊk,ihɪk,ihʊk
i,ihɪb,ihʊb,ihɪb,ihʊb
i,ihɪd,ihʊd,ihɪd,ihʊd
i,ihɪg,ihʊg,ihɪg,ihʊg
i,ihɪf,ihʊf,ihɪf,ihʊf
i,ihɪs,ihʊs,ihɪs,ihʊs
i,ihɪv,ihʊv,ihɪv,ihʊv
i,ihɪz,ihʊz,ihɪz,ihʊz
i,ihɪʃ,ihʊʃ,ihɪʃ,ihʊʃ
i,ihɪʒ,ihʊʒ,ihɪʒ,ihʊʒ
i,ihɪθ,ihʊθ,ihɪθ,ihʊθ
i,ihɪð,ihʊð,ihɪð,ihʊð
