ur,sr
pub,pup
pud,put
pug,puk
puv,puf
puz,pus
puʒ,puʃ
puð,puθ
pob,pop
pod,pot
pog,pok
pov,pof
poz,pos
poʒ,poʃ
poð,poθ
pɪb,pɪp
pɪd,pɪt
pɪg,pɪk
pɪv,pɪf
pɪz,pɪs
pɪʒ,pɪʃ
pɪð,pɪθ
pɛb,pɛp
pɛd,pɛt
pɛg,pɛk
pɛv,pɛf
pɛz,pɛs
pɛʒ,pɛʃ
pɛð,pɛθ
pʊb,pʊp
pʊd,pʊt
pʊg,pʊk
pʊv,pʊf
pʊz,pʊs
pʊʒ,pʊʃ
pʊð,pʊθ
pɔb,pɔp
pɔd,pɔt
pɔg,pɔk
pɔv,pɔf
pɔz,pɔs
pɔʒ,pɔʃ
pɔð,pɔθ
tip,tip
tit,tit
tik,tik
tif,tif
tis,tis
tiʃ,tiʃ
tiθ,tiθ
tep,tep
tet,tet
tek,tek
tef,tef
tes,tes
teʃ,teʃ
teθ,teθ
tup,tup
tut,tut
tuk,tuk
tuf,tuf
tus,tus
tuʃ,tuʃ
tuθ,tuθ
top,top
tot,tot
tok,tok
tof,tof
tos,tos
toʃ,toʃ
toθ,toθ
tɪp,tɪp
tɪt,tɪt
tɪk,tɪk
tɪf,tɪf
tɪs,tɪs
tɪʃ,tɪʃ
tɪθ,tɪθ
tɛp,tɛp
tɛt,tɛt
tɛk,tɛk
tɛf,tɛf
tɛs,tɛs
tɛʃ,tɛʃ
tɛθ,tɛθ
tʊp,tʊp
tʊt,tʊt
tʊk,tʊk
tʊf,tʊf
tʊs,tʊs
tʊʃ,tʊʃ
tʊθ,tʊθ
tɔp,tɔp
tɔt,tɔt
tɔk,tɔk
tɔf,tɔf
tɔs,tɔs
tɔʃ,tɔʃ
tɔθ,tɔθ
tib,tip
tid,tit
tig,tik
tiv,tif
tiz,tis
tiʒ,tiʃ
tið,tiθ
teb,tep
ted,tet
teg,tek
tev,tef
tez,tes
teʒ,teʃ
teð,teθ
tub,tup
tud,tut
tug,tuk
tuv,tuf
tuz,tus
tuʒ,tuʃ
tuð,tuθ
tob,top
tod,tot
tog,tok
tov,tof
toz,tos
toʒ,toʃ
toð,toθ
tɪb,tɪp
tɪd,tɪt
tɪg,tɪk
tɪv,tɪf
tɪz,tɪs
tɪʒ,tɪʃ
tɪð,tɪθ
tɛb,tɛp
tɛd,tɛt
tɛg,tɛk
tɛv,tɛf
tɛz,tɛs
tɛʒ,tɛʃ
tɛð,tɛθ
tʊb,tʊp
tʊd,tʊt
tʊg,tʊk
tʊv,tʊf
tʊz,tʊs
tʊʒ,tʊʃ
tʊð,tʊθ
tɔb,tɔp
tɔd,tɔt
tɔg,tɔk
tɔv,tɔf
tɔz,tɔs
tɔʒ,tɔʃ
tɔð,tɔθ
kip,kip
kit,kit
kik,kik
kif,kif
kis,kis
kiʃ,kiʃ
kiθ,kiθ
kep,kep
ket,ket
kek,kek
kef,kef
kes,kes
keʃ,keʃ
keθ,keθ
kup,kup
kut,kut
kuk,kuk
kuf,kuf
kus,kus
kuʃ,kuʃ
kuθ,kuθ
kop,kop
kot,kot
kok,kok
kof,kof
kos,kos
koʃ,koʃ
koθ,koθ
kɪp,kɪp
kɪt,kɪt
kɪk,kɪk
kɪf,kɪf
kɪs,kɪs
kɪʃ,kɪʃ
kɪθ,kɪθ
kɛp,kɛp
kɛt,kɛt
kɛk,kɛk
kɛf,kɛf
kɛs,kɛs
kɛʃ,kɛʃ
kɛθ,kɛθ
kʊp,kʊp
kʊt,kʊt
kʊk,kʊk
kʊf,kʊf
kʊs,kʊs
kʊʃ,kʊʃ
kʊθ,kʊθ
kɔp,kɔp
kɔt,kɔt
kɔk,kɔk
kɔf,kɔf
kɔs,kɔs
kɔʃ,kɔʃ
kɔθ,kɔθ
kib,kip
kid,kit
kig,kik
kiv,kif
kiz,kis
kiʒ,kiʃ
kið,kiθ
keb,kep
ked,ket
keg,kek
kev,kef
kez,kes
keʒ,keʃ
keð,keθ
kub,kup
kud,kut
kug,kuk
kuv,kuf
kuz,kus
kuʒ,kuʃ
kuð,kuθ
kob,kop
kod,kot
kog,kok
kov,kof
koz,kos
koʒ,koʃ
koð,koθ
kɪb,kɪp
kɪd,kɪt
kɪg,kɪk
kɪv,kɪf
kɪz,kɪs
kɪʒ,kɪʃ
kɪð,kɪθ
kɛb,kɛp
kɛd,kɛt
kɛg,kɛk
kɛv,kɛf
kɛz,kɛs
kɛʒ,kɛʃ
kɛð,kɛθ
kʊb,kʊp
kʊd,kʊt
kʊg,kʊk
kʊv,kʊf
kʊz,kʊs
kʊʒ,kʊʃ
kʊð,kʊθ
kɔb,kɔp
kɔd,kɔt
kɔg,kɔk
kɔv,kɔf
kɔz,kɔs
kɔʒ,kɔʃ
kɔð,kɔθ
bip,bip
bit,bit
bik,bik
bif,bif
bis,bis
biʃ,biʃ
biθ,biθ
bep,bep
bet,bet
bek,bek
bef,bef
bes,bes
beʃ,beʃ
beθ,beθ
bup,bup
but,but
buk,buk
buf,buf
bus,bus
buʃ,buʃ
buθ,buθ
bop,bop
bot,bot
bok,bok
bof,bof
bos,bos
boʃ,boʃ
boθ,boθ
bɪp,bɪp
bɪt,bɪt
bɪk,bɪk
bɪf,bɪf
bɪs,bɪs
bɪʃ,bɪʃ
bɪθ,bɪθ
bɛp,bɛp
bɛt,bɛt
bɛk,bɛk
bɛf,bɛf
bɛs,bɛs
bɛʃ,bɛʃ
bɛθ,bɛθ
bʊp,bʊp
bʊt,bʊt
bʊk,bʊk
bʊf,bʊf
bʊs,bʊs
bʊʃ,bʊʃ
bʊθ,bʊθ
bɔp,bɔp
bɔt,bɔt
bɔk,bɔk
bɔf,bɔf
bɔs,bɔs
bɔʃ,bɔʃ
bɔθ,bɔθ
bib,bip
bid,bit
big,bik
biv,bif
biz,bis
biʒ,biʃ
bið,biθ
beb,bep
bed,bet
beg,bek
bev,bef
bez,bes
beʒ,beʃ
beð,beθ
bub,bup
bud,but
bug,buk
buv,buf
buz,bus
buʒ,buʃ
buð,buθ
bob,bop
bod,bot
bog,bok
bov,bof
boz,bos
boʒ,boʃ
boð,boθ
bɪb,bɪp
bɪd,bɪt
bɪg,bɪk
bɪv,bɪf
bɪz,bɪs
bɪʒ,bɪʃ
bɪð,bɪθ
bɛb,bɛp
bɛd,bɛt
bɛg,bɛk
bɛv,bɛf
bɛz,bɛs
bɛʒ,bɛʃ
bɛð,bɛθ
bʊb,bʊp
bʊd,bʊt
bʊg,bʊk
bʊv,bʊf
bʊz,bʊs
bʊʒ,bʊʃ
bʊð,bʊθ
bɔb,bɔp
bɔd,bɔt
bɔg,bɔk
bɔv,bɔf
bɔz,bɔs
bɔʒ,bɔʃ
bɔð,bɔθ
dip,dip
dit,dit
dik,dik
dif,dif
dis,dis
diʃ,diʃ
diθ,diθ
dep,dep
det,det
dek,dek
def,def
des,des
deʃ,deʃ
deθ,deθ
dup,dup
dut,dut
duk,duk
duf,duf
dus,dus
duʃ,duʃ
duθ,duθ
dop,dop
dot,dot
dok,dok
dof,dof
dos,dos
doʃ,doʃ
doθ,doθ
dɪp,dɪp
dɪt,dɪt
dɪk,dɪk
dɪf,dɪf
dɪs,dɪs
dɪʃ,dɪʃ
dɪθ,dɪθ
dɛp,dɛp
dɛt,dɛt
dɛk,dɛk
dɛf,dɛf
dɛs,dɛs
dɛʃ,dɛʃ
dɛθ,dɛθ
dʊp,dʊp
dʊt,dʊt
dʊk,dʊk
dʊf,dʊf
dʊs,dʊs
dʊʃ,dʊʃ
dʊθ,dʊθ
dɔp,dɔp
dɔt,dɔt
dɔk,dɔk
dɔf,dɔf
dɔs,dɔs
dɔʃ,dɔʃ
dɔθ,dɔθ
dib,dip
did,dit
dig,dik
div,dif
diz,dis
diʒ,diʃ
dið,diθ
deb,dep
ded,det
deg,dek
dev,def
dez,des
deʒ,deʃ
deð,deθ
dub,dup
dud,dut
dug,duk
duv,duf
duz,dus
duʒ,duʃ
duð,duθ
dob,dop
dod,dot
dog,dok
dov,dof
doz,dos
doʒ,doʃ
doð,doθ
dɪb,dɪp
dɪd,dɪt
dɪg,dɪk
dɪv,dɪf
dɪz,dɪs
dɪʒ,dɪʃ
dɪð,dɪθ
dɛb,dɛp
dɛd,dɛt
dɛg,dɛk
dɛv,dɛf
dɛz,dɛs
dɛʒ,dɛʃ
dɛð,dɛθ
dʊb,dʊp
dʊd,dʊt
dʊg,dʊk
dʊv,dʊf
dʊz,dʊs
dʊʒ,dʊʃ
dʊð,dʊθ
dɔb,dɔp
dɔd,dɔt
dɔg,dɔk
dɔv,dɔf
dɔz,dɔs
dɔʒ,dɔʃ
dɔð,dɔθ
gip,gip
git,git
gik,gik
gif,gif
gis,gis
giʃ,giʃ
giθ,giθ
gep,gep
get,get
gek,gek
gef,gef
ges,ges
geʃ,geʃ
geθ,geθ
gup,gup
gut,gut
guk,guk
guf,guf
gus,gus
guʃ,guʃ
guθ,guθ
gop,gop
got,got
gok,gok
gof,gof
gos,gos
goʃ,goʃ
goθ,goθ
gɪp,gɪp
gɪt,gɪt
gɪk,gɪk
gɪf,gɪf
gɪs,gɪs
gɪʃ,gɪʃ
gɪθ,gɪθ
gɛp,gɛp
gɛt,gɛt
gɛk,gɛk
gɛf,gɛf
gɛs,gɛs
gɛʃ,gɛʃ
gɛθ,gɛθ
gʊp,gʊp
gʊt,gʊt
gʊk,gʊk
gʊf,gʊf
gʊs,gʊs
gʊʃ,gʊʃ
gʊθ,gʊθ
gɔp,gɔp
gɔt,gɔt
gɔk,gɔk
gɔf,gɔf
gɔs,gɔs
gɔʃ,gɔʃ
gɔθ,gɔθ
gib,gip
gid,git
gig,gik
giv,gif
giz,gis
giʒ,giʃ
gið,giθ
geb,gep
ged,get
geg,gek
gev,gef
gez,ges
geʒ,geʃ
geð,geθ
gub,gup
gud,gut
gug,guk
guv,guf
guz,gus
guʒ,guʃ
guð,guθ
gob,gop
god,got
gog,gok
gov,gof
goz,gos
goʒ,goʃ
goð,goθ
gɪb,gɪp
gɪd,gɪt
gɪg,gɪk
gɪv,gɪf
gɪz,gɪs
gɪʒ,gɪʃ
gɪð,gɪθ
gɛb,gɛp
gɛd,gɛt
gɛg,gɛk
gɛv,gɛf
gɛz,gɛs
gɛʒ,gɛʃ
gɛð,gɛθ
gʊb,gʊp
gʊd,gʊt
gʊg,gʊk
gʊv,gʊf
gʊz,gʊs
gʊʒ,gʊʃ
gʊð,gʊθ
gɔb,gɔp
gɔd,gɔt
gɔg,gɔk
gɔv,gɔf
gɔz,gɔs
gɔʒ,gɔʃ
gɔð,gɔθ
fip,fip
fit,fit
fik,fik
fif,fif
fis,fis
fiʃ,fiʃ
fiθ,fiθ
fep,fep
fet,fet
fek,fek
fef,fef
fes,fes
feʃ,feʃ
feθ,feθ
fup,fup
fut,fut
fuk,fuk
fuf,fuf
fus,fus
fuʃ,fuʃ
fuθ,fuθ
fop,fop
fot,fot
fok,fok
fof,fof
fos,fos
foʃ,foʃ
foθ,foθ
fɪp,fɪp
fɪt,fɪt
fɪk,fɪk
fɪf,fɪf
fɪs,fɪs
fɪʃ,fɪʃ
fɪθ,fɪθ
fɛp,fɛp
fɛt,fɛt
fɛk,fɛk
fɛf,fɛf
fɛs,fɛs
fɛʃ,fɛʃ
fɛθ,fɛθ
fʊp,fʊp
fʊt,fʊt
fʊk,fʊk
fʊf,fʊf
fʊs,fʊs
fʊʃ,fʊʃ
fʊθ,fʊθ
fɔp,fɔp
fɔt,fɔt
fɔk,fɔk
fɔf,fɔf
fɔs,fɔs
fɔʃ,fɔʃ
fɔθ,fɔθ
fib,fip
fid,fit
fig,fik
fiv,fif
fiz,fis
fiʒ,fiʃ
fið,fiθ
feb,fep
fed,fet
feg,fek
fev,fef
fez,fes
feʒ,feʃ
feð,feθ
fub,fup
fud,fut
fug,fuk
fuv,fuf
fuz,fus
fuʒ,fuʃ
fuð,fuθ
fob,fop
fod,fot
fog,fok
fov,fof
foz,fos
foʒ,foʃ
foð,foθ
fɪb,fɪp
fɪd,fɪt
fɪg,fɪk
fɪv,fɪf
fɪz,fɪs
fɪʒ,fɪʃ
fɪð,fɪθ
fɛb,fɛp
fɛd,fɛt
fɛg,fɛk
fɛv,fɛf
fɛz,fɛs
fɛʒ,fɛʃ
fɛð,fɛθ
fʊb,fʊp
fʊd,fʊt
fʊg,fʊk
fʊv,fʊf
fʊz,fʊs
fʊʒ,fʊʃ
fʊð,fʊθ
fɔb,fɔp
fɔd,fɔt
fɔg,fɔk
fɔv,fɔf
fɔz,fɔs
fɔʒ,fɔʃ
fɔð,fɔθ
sip,sip
sit,sit
sik,sik
sif,sif
sis,sis
siʃ,siʃ
siθ,siθ
sep,sep
set,set
sek,sek
sef,sef
ses,ses
seʃ,seʃ
seθ,seθ
sup,sup
sut,sut
suk,suk
suf,suf
sus,sus
suʃ,suʃ
suθ,suθ
sop,sop
sot,sot
sok,sok
sof,sof
sos,sos
soʃ,soʃ
soθ,soθ
sɪp,sɪp
sɪt,sɪt
sɪk,sɪk
sɪf,sɪf
sɪs,sɪs
sɪʃ,sɪʃ
sɪθ,sɪθ
sɛp,sɛp
sɛt,sɛt
sɛk,sɛk
sɛf,sɛf
sɛs,sɛs
sɛʃ,sɛʃ
sɛθ,sɛθ
sʊp,sʊp
sʊt,sʊt
sʊk,sʊk
sʊf,sʊf
sʊs,sʊs
sʊʃ,sʊʃ
sʊθ,sʊθ
sɔp,sɔp
sɔt,sɔt
sɔk,sɔk
sɔf,sɔf
sɔs,sɔs
sɔʃ,sɔʃ
sɔθ,sɔθ
sib,sip
sid,sit
sig,sik
siv,sif
siz,sis
siʒ,siʃ
sið,siθ
seb,sep
sed,set
seg,sek
sev,sef
sez,ses
seʒ,seʃ
seð,seθ
sub,sup
sud,sut
sug,suk
suv,suf
suz,sus
suʒ,suʃ
suð,suθ
sob,sop
sod,sot
sog,sok
sov,sof
soz,sos
soʒ,soʃ
soð,soθ
sɪb,sɪp
sɪd,sɪt
sɪg,sɪk
sɪv,sɪf
sɪz,sɪs
sɪʒ,sɪʃ
sɪð,sɪθ
sɛb,sɛp
sɛd,sɛt
sɛg,sɛk
sɛv,sɛf
sɛz,sɛs
sɛʒ,sɛʃ
sɛð,sɛθ
sʊb,sʊp
sʊd,sʊt
sʊg,sʊk
sʊv,sʊf
sʊz,sʊs
sʊʒ,sʊʃ
sʊð,sʊθ
sɔb,sɔp
sɔd,sɔt
sɔg,sɔk
sɔv,sɔf
sɔz,sɔs
sɔʒ,sɔʃ
sɔð,sɔθ
vip,vip
vit,vit
vik,vik
vif,vif
vis,vis
viʃ,viʃ
viθ,viθ
vep,vep
vet,vet
vek,vek
vef,vef
ves,ves
veʃ,veʃ
veθ,veθ
vup,vup
vut,vut
vuk,vuk
vuf,vuf
vus,vus
vuʃ,vuʃ
vuθ,vuθ
vop,vop
vot,vot
vok,vok
vof,vof
vos,vos
voʃ,voʃ
voθ,voθ
vɪp,vɪp
vɪt,vɪt
vɪk,vɪk
vɪf,vɪf
vɪs,vɪs
vɪʃ,vɪʃ
vɪθ,vɪθ
vɛp,vɛp
vɛt,vɛt
vɛk,vɛk
vɛf,vɛf
vɛs,vɛs
vɛʃ,vɛʃ
vɛθ,vɛθ
vʊp,vʊp
vʊt,vʊt
vʊk,vʊk
vʊf,vʊf
vʊs,vʊs
vʊʃ,vʊʃ
vʊθ,vʊθ
vɔp,vɔp
vɔt,vɔt
vɔk,vɔk
vɔf,vɔf
vɔs,vɔs
vɔʃ,vɔʃ
vɔθ,vɔθ
vib,vip
vid,vit
vig,vik
viv,vif
viz,vis
viʒ,viʃ
við,viθ
veb,vep
ved,vet
veg,vek
vev,vef
vez,ves
veʒ,veʃ
veð,veθ
vub,vup
vud,vut
vug,vuk
vuv,vuf
vuz,vus
vuʒ,vuʃ
vuð,vuθ
vob,vop
vod,vot
vog,vok
vov,vof
voz,vos
voʒ,voʃ
voð,voθ
vɪb,vɪp
vɪd,vɪt
vɪg,vɪk
vɪv,vɪf
vɪz,vɪs
vɪʒ,vɪʃ
vɪð,vɪθ
vɛb,vɛp
vɛd,vɛt
vɛg,vɛk
vɛv,vɛf
vɛz,vɛs
vɛʒ,vɛʃ
vɛð,vɛθ
vʊb,vʊp
vʊd,vʊt
vʊg,vʊk
vʊv,vʊf
vʊz,vʊs
vʊʒ,vʊʃ
vʊð,vʊθ
vɔb,vɔp
vɔd,vɔt
vɔg,vɔk
vɔv,vɔf
vɔz,vɔs
vɔʒ,vɔʃ
vɔð,vɔθ
zip,zip
zit,zit
zik,zik
zif,zif
zis,zis
ziʃ,ziʃ
ziθ,ziθ
zep,zep
zet,zet
zek,zek
zef,zef
zes,zes
zeʃ,zeʃ
zeθ,zeθ
zup,zup
zut,zut
zuk,zuk
zuf,zuf
zus,zus
zuʃ,zuʃ
zuθ,zuθ
zop,zop
zot,zot
zok,zok
zof,zof
zos,zos
zoʃ,zoʃ
zoθ,zoθ
zɪp,zɪp
zɪt,zɪt
zɪk,zɪk
zɪf,zɪf
zɪs,zɪs
zɪʃ,zɪʃ
zɪθ,zɪθ
zɛp,zɛp
zɛt,zɛt
zɛk,zɛk
zɛf,zɛf
zɛs,zɛs
zɛʃ,zɛʃ
zɛθ,zɛθ
zʊp,zʊp
zʊt,zʊt
zʊk,zʊk
zʊf,zʊf
zʊs,zʊs
zʊʃ,zʊʃ
zʊθ,zʊθ
zɔp,zɔp
zɔt,zɔt
zɔk,zɔk
zɔf,zɔf
zɔs,zɔs
zɔʃ,zɔʃ
zɔθ,zɔθ
zib,zip
zid,zit
zig,zik
ziv,zif
ziz,zis
ziʒ,ziʃ
zið,ziθ
zeb,zep
zed,zet
zeg,zek
zev,zef
zez,zes
zeʒ,zeʃ
zeð,zeθ
zub,zup
zud,zut
zug,zuk
zuv,zuf
zuz,zus
zuʒ,zuʃ
zuð,zuθ
zob,zop
zod,zot
zog,zok
zov,zof
zoz,zos
zoʒ,zoʃ
zoð,zoθ
zɪb,zɪp
zɪd,zɪt
zɪg,zɪk
zɪv,zɪf
zɪz,zɪs
zɪʒ,zɪʃ
zɪð,zɪθ
zɛb,zɛp
zɛd,zɛt
zɛg,zɛk
zɛv,zɛf
zɛz,zɛs
zɛʒ,zɛʃ
zɛð,zɛθ
zʊb,zʊp
zʊd,zʊt
zʊg,zʊk
zʊv,zʊf
zʊz,zʊs
zʊʒ,zʊʃ
zʊð,zʊθ
zɔb,zɔp
zɔd,zɔt
zɔg,zɔk
zɔv,zɔf
zɔz,zɔs
zɔʒ,zɔʃ
zɔð,zɔθ
ʃip,ʃip
ʃit,ʃit
ʃik,ʃik
ʃif,ʃif
ʃis,ʃis
ʃiʃ,ʃiʃ
ʃiθ,ʃiθ
ʃep,ʃep
ʃet,ʃet
ʃek,ʃek
ʃef,ʃef
ʃes,ʃes
ʃeʃ,ʃeʃ
ʃeθ,ʃeθ
ʃup,ʃup
ʃut,ʃut
ʃuk,ʃuk
ʃuf,ʃuf
ʃus,ʃus
ʃuʃ,ʃuʃ
ʃuθ,ʃuθ
ʃop,ʃop
ʃot,ʃot
ʃok,ʃok
ʃof,ʃof
ʃos,ʃos
ʃoʃ,ʃoʃ
ʃoθ,ʃoθ
ʃɪp,ʃɪp
ʃɪt,ʃɪt
ʃɪk,ʃɪk
ʃɪf,ʃɪf
ʃɪs,ʃɪs
ʃɪʃ,ʃɪʃ
ʃɪθ,ʃɪθ
ʃɛp,ʃɛp
ʃɛt,ʃɛt
ʃɛk,ʃɛk
ʃɛf,ʃɛf
ʃɛs,ʃɛs
ʃɛʃ,ʃɛʃ
ʃɛθ,ʃɛθ
ʃʊp,ʃʊp
ʃʊt,ʃʊt
ʃʊk,ʃʊk
ʃʊf,ʃʊf
ʃʊs,ʃʊs
ʃʊʃ,ʃʊʃ
ʃʊθ,ʃʊθ
ʃɔp,ʃɔp
ʃɔt,ʃɔt
ʃɔk,ʃɔk
ʃɔf,ʃɔf
ʃɔs,ʃɔs
ʃɔʃ,ʃɔʃ
ʃɔθ,ʃɔθ
ʃib,ʃip
ʃid,ʃit
ʃig,ʃik
ʃiv,ʃif
ʃiz,ʃis
ʃiʒ,ʃiʃ
ʃið,ʃiθ
ʃeb,ʃep
ʃed,ʃet
ʃeg,ʃek
ʃev,ʃef
ʃez,ʃes
ʃeʒ,ʃeʃ
ʃeð,ʃeθ
ʃub,ʃup
ʃud,ʃut
ʃug,ʃuk
ʃuv,ʃuf
ʃuz,ʃus
ʃuʒ,ʃuʃ
ʃuð,ʃuθ
ʃob,ʃop
ʃod,ʃot
ʃog,ʃok
ʃov,ʃof
ʃoz,ʃos
ʃoʒ,ʃoʃ
ʃoð,ʃoθ
ʃɪb,ʃɪp
ʃɪd,ʃɪt
ʃɪg,ʃɪk
ʃɪv,ʃɪf
ʃɪz,ʃɪs
ʃɪʒ,ʃɪʃ
ʃɪð,ʃɪθ
ʃɛb,ʃɛp
ʃɛd,ʃɛt
ʃɛg,ʃɛk
ʃɛv,ʃɛf
ʃɛz,ʃɛs
ʃɛʒ,ʃɛʃ
ʃɛð,ʃɛθ
ʃʊb,ʃʊp
ʃʊd,ʃʊt
ʃʊg,ʃʊk
ʃʊv,ʃʊf
ʃʊz,ʃʊs
ʃʊʒ,ʃʊʃ
ʃʊð,ʃʊθ
ʃɔb,ʃɔp
ʃɔd,ʃɔt
ʃɔg,ʃɔk
ʃɔv,ʃɔf
ʃɔz,ʃɔs
ʃɔʒ,ʃɔʃ
ʃɔð,ʃɔθ
ʒip,ʒip
ʒit,ʒit
ʒik,ʒik
ʒif,ʒif
ʒis,ʒis
ʒiʃ,ʒiʃ
ʒiθ,ʒiθ
ʒep,ʒep
ʒet,ʒet
ʒek,ʒek
ʒef,ʒef
ʒes,ʒes
ʒeʃ,ʒeʃ
ʒeθ,ʒeθ
ʒup,ʒup
ʒut,ʒut
ʒuk,ʒuk
ʒuf,ʒuf
ʒus,ʒus
ʒuʃ,ʒuʃ
ʒuθ,ʒuθ
ʒop,ʒop
ʒot,ʒot
ʒok,ʒok
ʒof,ʒof
ʒos,ʒos
ʒoʃ,ʒoʃ
ʒoθ,ʒoθ
ʒɪp,ʒɪp
ʒɪt,ʒɪt
ʒɪk,ʒɪk
ʒɪf,ʒɪf
ʒɪs,ʒɪs
ʒɪʃ,ʒɪʃ
ʒɪθ,ʒɪθ
ʒɛp,ʒɛp
ʒɛt,ʒɛt
ʒɛk,ʒɛk
ʒɛf,ʒɛf
ʒɛs,ʒɛs
ʒɛʃ,ʒɛʃ
ʒɛθ,ʒɛθ
ʒʊp,ʒʊp
ʒʊt,ʒʊt
ʒʊk,ʒʊk
ʒʊf,ʒʊf
ʒʊs,ʒʊs
ʒʊʃ,ʒʊʃ
ʒʊθ,ʒʊθ
ʒɔp,ʒɔp
ʒɔt,ʒɔt
ʒɔk,ʒɔk
ʒɔf,ʒɔf
ʒɔs,ʒɔs
ʒɔʃ,ʒɔʃ
ʒɔθ,ʒɔθ
ʒib,ʒip
ʒid,ʒit
ʒig,ʒik
ʒiv,ʒif
ʒiz,ʒis
ʒiʒ,ʒiʃ
ʒið,ʒiθ
ʒeb,ʒep
ʒed,ʒet
ʒeg,ʒek
ʒev,ʒef
ʒez,ʒes
ʒeʒ,ʒeʃ
ʒeð,ʒeθ
ʒub,ʒup
ʒud,ʒut
ʒug,ʒuk
ʒuv,ʒuf
ʒuz,ʒus
ʒuʒ,ʒuʃ
ʒuð,ʒuθ
ʒob,ʒop
ʒod,ʒot
ʒog,ʒok
ʒov,ʒof
ʒoz,ʒos
ʒoʒ,ʒoʃ
ʒoð,ʒoθ
ʒɪb,ʒɪp
ʒɪd,ʒɪt
ʒɪg,ʒɪk
ʒɪv,ʒɪf
ʒɪz,ʒɪs
ʒɪʒ,ʒɪʃ
ʒɪð,ʒɪθ
ʒɛb,ʒɛp
ʒɛd,ʒɛt
ʒɛg,ʒɛk
ʒɛv,ʒɛf
ʒɛz,ʒɛs
ʒɛʒ,ʒɛʃ
ʒɛð,ʒɛθ
ʒʊb,ʒʊp
ʒʊd,ʒʊt
ʒʊg,ʒʊk
ʒʊv,ʒʊf
ʒʊz,ʒʊs
ʒʊʒ,ʒʊʃ
ʒʊð,ʒʊθ
ʒɔb,ʒɔp
ʒɔd,ʒɔt
ʒɔg,ʒɔk
ʒɔv,ʒɔf
ʒɔz,ʒɔs
ʒɔʒ,ʒɔʃ
ʒɔð,ʒɔθ
θip,θip
θit,θit
θik,θik
θif,θif
θis,θis
θiʃ,θiʃ
θiθ,θiθ
θep,θep
θet,θet
θek,θek
θef,θef
θes,θes
θeʃ,θeʃ
θeθ,θeθ
θup,θup
θut,θut
θuk,θuk
θuf,θuf
θus,θus
